courseID,enrollCode,days,time,loction
AS AM 1,PARK L S,T R,12:30pm - 1:45pm,GIRV 1004
AS AM 1,02493,M,12:00pm - 12:50pm,HSSB 5024
AS AM 1,02501,M,1:00pm - 1:50pm,HSSB 5024
AS AM 1,02519,M,2:00pm - 2:50pm,HSSB 5024
AS AM 1,02527,F,9:00 am - 9:50 am,HSSB 1210
AS AM 1,02535,F,10:00am - 10:50am,HSSB 1236
AS AM 1,02543,F,11:00am - 11:50am,HSSB 5024
AS AM 1,02550,F,12:00pm - 12:50pm,HSSB 1215
AS AM 1,02568,F,1:00pm - 1:50pm,HSSB 1210
AS AM 1,02576,F,2:00pm - 2:50pm,HSSB 1207
AS AM 4,PANDYA S P,T R,11:00am - 12:15pm,EMBARHALL
AS AM 4,02592,F,9:00 am - 9:50 am,HSSB 1207
AS AM 4,02600,F,10:00am - 10:50am,HSSB 1232
AS AM 4,02618,F,11:00am - 11:50am,HSSB 2251
AS AM 4,02626,F,12:00pm - 12:50pm,HSSB 1214
AS AM 4,02634,F,1:00pm - 1:50pm,HSSB 5024
AS AM 4,02642,R,4:00pm - 4:50pm,GIRV 2123
AS AM 4,02659,F,2:00pm - 2:50pm,HSSB 4202
AS AM 4,02667,F,3:00pm - 3:50pm,HSSB 4201
AS AM 4,02675,F,4:00pm - 4:50pm,HSSB 3201
AS AM 4,66050,R,3:00pm - 3:50pm,GIRV 2110
AS AM 5,NINH E K,M W,5:00pm - 6:15pm,GIRV 1004
AS AM 5,02691,F,9:00 am - 9:50 am,HSSB 5024
AS AM 5,02709,F,10:00am - 10:50am,HSSB 1228
AS AM 5,02717,F,11:00am - 11:50am,HSSB 1236
AS AM 5,02725,F,11:00am - 11:50am,ARTS 1349
AS AM 5,02733,F,12:00pm - 12:50pm,ARTS 1353
AS AM 5,02741,F,1:00pm - 1:50pm,ARTS 1353
AS AM 5,02758,R,9:00 am - 9:50 am,HSSB 5024
AS AM 5,02766,R,10:00am - 10:50am,HSSB 5024
AS AM 5,02774,R,11:00am - 11:50am,HSSB 5024
AS AM 100AA,STOHLER J E,T R,2:00pm - 3:15pm,GIRV 1112
AS AM 100BB,WELTY L A,M W,9:30 am - 10:45am,GIRV 1115
AS AM 100CC,ZULUETA B C,T R,9:30 am - 10:45am,GIRV 1112
AS AM 100HH,ZULUETA B C,T R,11:00am - 12:15pm,GIRV 1112
AS AM 110,TAKAMORI A,M W,5:00pm - 6:15pm,GIRV 1115
AS AM 122,TY E,M W,8:00 am - 9:15 am,GIRV 1112
AS AM 128,NINH E K,M W,2:00pm - 3:15pm,GIRV 1112
AS AM 130,PARK J S W,M W,9:30 am - 10:45am,GIRV 1112
AS AM 141,PANDYA S P,T R,2:00pm - 3:15pm,HSSB 1211
AS AM 144,TRAN T N,T R,3:30pm - 4:45pm,PHELP1508
AS AM 154,PARK J S W,M W,11:00am - 12:15pm,GIRV 1112
AS AM 165,TAKAMORI A,M W,3:30pm - 4:45pm,GIRV 1115
AS AM 175,ZHAO X,T,9:00 am - 12:00pm,HSSB 5024
AS AM 197,PARK L S,M W,9:00 am - 10:15am,
AS AM 197,ZULUETA B C,T R,9:00 am - 10:15am,
AS AM 199,T B A,,,T B A
AS AM 199RA,ZHAO X,T,1:00pm - 2:15pm,HSSB 5030
AS AM 199RA,PARK J S W,W,1:00pm - 2:15pm,HSSB 5050
AS AM 199RA,FUJINO D C,R,1:00pm - 2:15pm,HSSB 5034
AS AM 199RA,PARK L S,M,1:00pm - 2:15pm,
