courseID,enrollCode,days,time,loction
CH ST 1B,HURTADO A,M W,12:30pm - 1:45pm,HFH 1104
CH ST 1B,05025,F,2:00pm - 2:50pm,GIRV 2120
CH ST 1B,05033,W,3:00pm - 3:50pm,HSSB 1231
CH ST 1B,05041,W,4:00pm - 4:50pm,HSSB 1228
CH ST 1B,05058,W,5:00pm - 5:50pm,HSSB 4201
CH ST 1B,05066,W,6:00pm - 6:50pm,HSSB 3202
CH ST 1B,05074,F,10:00am - 10:50am,HSSB 3202
CH ST 1B,05082,F,11:00am - 11:50am,HSSB 3202
CH ST 1B,05090,F,12:00pm - 12:50pm,HSSB 2201
CH ST 91JG,ALDANA G V,F,11:00am - 1:50pm,SH 1623
CH ST 99,T B A,,,T B A
CH ST 103,CASILLAS D I,T R,9:30 am - 10:45am,PHELP1448
CH ST 118,ALDANA G V,T R,11:00am - 12:15pm,PHELP1448
CH ST 148,DIAZ-SANCHEZ,M W,9:30 am - 10:45am,PHELP3505
CH ST 148,55046,F,12:00pm - 12:50pm,GIRV 2123
CH ST 148,55053,W,4:00pm - 4:50pm,HSSB 1231
CH ST 148,55061,W,5:00pm - 5:50pm,HSSB 1206
CH ST 149,VILLANUEVA-NI,M W,3:30pm - 4:45pm,PHELP1444
CH ST 151,SANDOVAL C,T R,12:30pm - 1:45pm,PHELP3505
CH ST 151,05165,F,11:00am - 11:50am,HSSB 1211
CH ST 151,05173,F,12:00pm - 12:50pm,HSSB 4201
CH ST 151,05181,F,1:00pm - 1:50pm,HSSB 4201
CH ST 168E,GARCIA M T,T R,2:00pm - 3:15pm,PHELP3505
CH ST 168E,05306,R,4:00pm - 4:50pm,HSSB 1237
CH ST 168E,05314,R,5:00pm - 5:50pm,HSSB 3201
CH ST 168E,05322,R,6:00pm - 6:50pm,HSSB 4201
CH ST 168F,ARMBRUSTER R,M W,9:30 am - 10:45am,NH 1006
CH ST 168F,55111,R,4:00pm - 4:50pm,HSSB 4202
CH ST 168F,55129,R,5:00pm - 5:50pm,HSSB 2201
CH ST 168F,55137,F,10:00am - 10:50am,HSSB 1206
CH ST 170A,MORENO CAMPOS,T R,5:00pm - 6:15pm,SH 1623
CH ST 181,MORENO CAMPOSLOMELI F A||GOMEZ O A||,T R,3:30pm - 4:45pm,CHEM 1171
CH ST 182,GARCIA-MARTIN,T R,5:00pm - 6:15pm,PHELP3505
CH ST 189,FERNANDEZ L,T R,5:00pm - 6:15pm,NH 1111
CH ST 192,RODRIGUEZ C H,T,2:00pm - 4:50pm,SH 1415
CH ST 193,FEMATT V L,M W,2:00pm - 3:15pm,SH 1609
CH ST 195B,MARQUEZ M,M,6:00pm - 8:50pm,GIRV 1106
CH ST 197HB,MARQUEZ MARMBRUSTER R||GARCIA M||,M,12:30pm - 1:45pm,GIRV 1106
CH ST 199,T B A,,,T B A
