courseID,enrollCode,days,time,loction
CLASS 36,T B AGALLUCCI R||CHOW-KAMBITSC||,M W,3:30pm - 4:45pm,NH 1006
CLASS 39,T B AGALLUCCI R||CHOW-KAMBITSC||GALLUCCI R||DUTSCH D||MORALES H L||,M W,5:00pm - 6:15pm,HSSB 1174
CLASS 40,ERICKSON B L,M W F,11:00am - 11:50am,CAMPBHALL
CLASS 40,07740,W,8:00 am - 8:50 am,PHELP1448
CLASS 40,07757,T,8:00 am - 8:50 am,PHELP2514
CLASS 40,07765,T,4:00pm - 4:50pm,PHELP1445
CLASS 40,07773,R,4:00pm - 4:50pm,PHELP1444
CLASS 40,07781,T,8:00 am - 8:50 am,PHELP1448
CLASS 40,07799,R,8:00 am - 8:50 am,GIRV 2129
CLASS 40,07807,F,8:00 am - 8:50 am,PHELP2532
CLASS 40,07815,F,9:00 am - 9:50 am,GIRV 2124
CLASS 40,07823,W,8:00 am - 8:50 am,PHELP1445
CLASS 40,07831,F,10:00am - 10:50am,PHELP2532
CLASS 40,07849,F,1:00pm - 1:50pm,GIRV 2124
CLASS 40,07856,F,8:00 am - 8:50 am,GIRV 2124
CLASS 40,07864,T,5:00pm - 5:50pm,PHELP1440
CLASS 40,07872,R,8:00 am - 8:50 am,PHELP2514
CLASS 40,07880,R,8:00 am - 8:50 am,PHELP1448
CLASS 40,07898,W,8:00 am - 8:50 am,PHELP1444
CLASS 40,07906,T,8:00 am - 8:50 am,PHELP1445
CLASS 40,07914,W,8:00 am - 8:50 am,PHELP2532
CLASS 40,07922,R,8:00 am - 8:50 am,PHELP1445
CLASS 40,07930,T,10:00am - 10:50am,GIRV 1119
CLASS 40,07948,F,8:00 am - 8:50 am,HSSB 1206
CLASS 40,07955,W,3:00pm - 3:50pm,GIRV 2112
CLASS 40,07963,R,10:00am - 10:50am,GIRV 1119
CLASS 40,07971,T,8:00 am - 8:50 am,PHELP2532
CLASS 40,07989,T,9:00 am - 9:50 am,GIRV 2123
CLASS 40,07997,R,8:00 am - 8:50 am,PHELP2532
CLASS 99,GALLUCCI R,,,T B A
CLASS 102,CAPETTINI E,T R,2:00pm - 3:15pm,PSYCH1902
CLASS 145,MORSTEIN-MARX,T R,12:30pm - 1:45pm,GIRV 2129
CLASS 155,ERICKSON B L,M W,12:30pm - 1:45pm,HSSB 3201
CLASS 185,LINDHEIM S H,M W,2:00pm - 3:15pm,HSSB 3201
CLASS 195A,T B A,,,T B A
CLASS 198,T B A,,,T B A
CLASS 199,T B A,,,T B A
CLASS 199RA,T B A,,,T B A
