courseID,enrollCode,days,time,loction
C LIT 30B,MACARTHUR E J,T R,9:30 am - 10:45am,MUSICLLCH
C LIT 30B,57414,F,9:00 am - 9:50 am,387 1011
C LIT 30B,57422,F,9:00 am - 9:50 am,387 1015
C LIT 30B,57430,R,4:00pm - 4:50pm,PHELP3523
C LIT 30B,57448,R,4:00pm - 4:50pm,GIRV 1119
C LIT 30B,57455,F,10:00am - 10:50am,PHELP1508
C LIT 30B,57463,F,10:00am - 10:50am,HSSB 2251
C LIT 30B,57471,F,11:00am - 11:50am,387 1015
C LIT 30B,57489,F,11:00am - 11:50am,387 1011
C LIT 30B,57497,F,12:00pm - 12:50pm,PHELP1508
C LIT 30B,57505,F,12:00pm - 12:50pm,387 1011
C LIT 30B,72611,R,6:00pm - 6:50pm,HSSB 1232
C LIT 30B,72629,R,6:00pm - 6:50pm,HSSB 1231
C LIT 30H,MACARTHUR E J,R,11:00am - 11:50am,GIRV 2135
C LIT 35,VAGT C,T R,11:00am - 12:15pm,BUCHN1930
C LIT 35,04382,W,6:00pm - 6:50pm,SH 1609
C LIT 35,04390,W,7:00pm - 7:50pm,HSSB 1233
C LIT 36,HOLL U,T R,12:30pm - 1:45pm,CHEM 1171
C LIT 36,04416,F,12:00pm - 12:50pm,GIRV 1116
C LIT 36,04424,F,12:00pm - 12:50pm,HSSB 1227
C LIT 36,04432,F,10:00am - 10:50am,HSSB 1237
C LIT 36,04440,F,11:00am - 11:50am,GIRV 2108
C LIT 100,NESCI C,T R,3:30pm - 4:45pm,ARTS 1349
C LIT 101,MAGEARU A,T R,9:30 am - 10:45am,PHELP1445
C LIT 126,AKUDINOBI J,T R,8:00 am - 9:15 am,ED 1213
C LIT 128A,RALEIGH T C,T R,5:00pm - 6:15pm,HSSB 1173
C LIT 170,MIGLIO V G,M W,9:30 am - 10:45am,PHELP1444
C LIT 171,PRIETO E,T R,6:30pm - 7:45pm,BUCHN1910
C LIT 179C,KITTLER W D,M W,2:00pm - 3:15pm,WEBB 1100
C LIT 186LS,NGOH C,M W,5:00pm - 6:15pm,HSSB 2201
C LIT 186PP,NGOH CBENJAMIN R||STARR B J||,T R,11:00am - 12:15pm,GIRV 2110
C LIT 189,LARUE R J,M W,2:00pm - 3:15pm,HSSB 1206
C LIT 192CA,LARUE R JJULLIEN D M||PARK S||TYBJERG D M||,M W,2:00pm - 3:15pm,HSSB 1173
C LIT 193,T B A,,,T B A
C LIT 196H,T B A,,,T B A
C LIT 198,HECHT R,M W,11:00am - 12:15pm,GIRV 1106
C LIT 198H,HOLL U,T,3:00pm - 5:50pm,PHELP6206C
C LIT 199,T B A,,,T B A
