courseID,enrollCode,days,time,loction
CNCSP 97,JIMERSON S R,W,2:00pm - 3:50pm,ED 1213
CNCSP 97,JIMERSON S R,W,4:00pm - 5:50pm,ED 1213
CNCSP 97,DOWDY E T,R,4:00pm - 5:50pm,ED 4205
CNCSP 99,T B A,,,T B A
CNCSP 99RA,T B A,,,T B A
CNCSP 101,VERNON T W,M W,3:30pm - 4:45pm,EMBARHALL
CNCSP 101,09498,W,5:00pm - 5:50pm,ED 1207
CNCSP 101,09506,W,6:00pm - 6:50pm,ED 1207
CNCSP 101,09514,R,9:00 am - 9:50 am,ED 1201
CNCSP 101,09522,R,10:00am - 10:50am,ED 1201
CNCSP 101,09530,R,11:00am - 11:50am,ED 1201
CNCSP 101,09548,R,12:00pm - 12:50pm,ED 1201
CNCSP 101,09555,R,1:00pm - 1:50pm,ED 1201
CNCSP 101,09563,R,2:00pm - 2:50pm,ED 1201
CNCSP 101,09571,R,3:00pm - 3:50pm,ED 1201
CNCSP 101,09589,R,4:00pm - 4:50pm,ED 1201
CNCSP 101,09597,R,5:00pm - 5:50pm,ED 1201
CNCSP 101,09605,R,6:00pm - 6:50pm,ED 1201
CNCSP 110,MORGAN M L,T R,2:00pm - 3:15pm,BUCHN1910
CNCSP 110,09621,T,4:00pm - 4:50pm,ED 1203
CNCSP 110,09639,T,5:00pm - 5:50pm,ED 1203
CNCSP 110,09647,T,6:00pm - 6:50pm,ED 1203
CNCSP 110,09654,T,7:00pm - 7:50pm,ED 1203
CNCSP 110,09662,T,6:00pm - 6:50pm,ED 1207
CNCSP 110,09670,T,7:00pm - 7:50pm,ED 1207
CNCSP 110,57349,R,4:00pm - 4:50pm,ED 1203
CNCSP 110,57356,R,5:00pm - 5:50pm,ED 1203
CNCSP 110,57364,R,6:00pm - 6:50pm,ED 1203
CNCSP 110,57372,R,7:00pm - 7:50pm,ED 1203
CNCSP 110,57380,R,6:00pm - 6:50pm,ED 1207
CNCSP 110,57398,R,7:00pm - 7:50pm,ED 1207
CNCSP 114,FELIX E D,T R,2:00pm - 3:15pm,EMBARHALL
CNCSP 114,09696,T,4:00pm - 4:50pm,ED 1205
CNCSP 114,09704,T,5:00pm - 5:50pm,ED 1205
CNCSP 114,09712,T,6:00pm - 6:50pm,ED 1205
CNCSP 114,09720,T,7:00pm - 7:50pm,ED 1205
CNCSP 114,09738,T,4:00pm - 4:50pm,ED 1207
CNCSP 114,09746,T,5:00pm - 5:50pm,ED 1207
CNCSP 114,57620,R,4:00pm - 4:50pm,ED 1205
CNCSP 114,57638,R,5:00pm - 5:50pm,ED 1205
CNCSP 114,57646,R,6:00pm - 6:50pm,ED 1205
CNCSP 114,57653,R,7:00pm - 7:50pm,ED 1205
CNCSP 114,57661,R,4:00pm - 4:50pm,ED 1207
CNCSP 114,57679,R,5:00pm - 5:50pm,ED 1207
CNCSP 197,JIMERSON S R,W,2:00pm - 3:50pm,ED 1213
CNCSP 197,JIMERSON S R,W,4:00pm - 5:50pm,ED 1213
CNCSP 197,DOWDY E T,R,4:00pm - 5:50pm,ED 4205
CNCSP 197,VERNON T W,,,T B A
CNCSP 197,YANG C,F,12:00pm - 12:50pm,ED 1217
CNCSP 199,T B A,,,T B A
CNCSP 199RA,T B A,,,T B A
