courseID,enrollCode,days,time,loction
DANCE 42D,MOSELEY D,T R,11:00am - 12:15pm,TD-W 1501
DANCE 42E,MOSELEY D,M W,11:00am - 12:15pm,TD-W 1501
DANCE 43A,HAYNES R M,T R,9:30 am - 10:45am,HSSB 1151
DANCE 43B,HAYNES R M,T R,11:00am - 12:15pm,HSSB 1151
DANCE 45,PRESS C M,M W F,10:00am - 10:50am,IV THEA1
DANCE 46,WHITED B S,T R,12:30pm - 1:45pm,HSSB 1151
DANCE 47B,MARTINS N C,M W F,2:00pm - 3:15pm,HSSB 1151
DANCE 47B,MOSELEY D,T R,9:00 am - 10:50am,TD-W 1501
DANCE 47E,MARTINS N C,M W F,12:30pm - 1:45pm,TD-W 1501
DANCE 47E,MOSELEY D,T R,9:00 am - 10:50am,TD-W 1501
DANCE 50,PILAFIAN C,T R,11:00am - 12:50pm,HSSB 1151
DANCE 56B,COLAHAN N,M W F,11:00am - 12:15pm,HSSB 1135
DANCE 56B,COLAHAN N,T R,1:00pm - 2:50pm,HSSB 1135
DANCE 56E,PILAFIAN C,M W F,9:30 am - 10:45am,
DANCE 56E,COLAHAN N,T R,9:00 am - 10:50am,HSSB 1135
DANCE 99,T B A,,,T B A
DANCE 145E,SCHWAN A H,T R,9:00 am - 10:50am,HSSB 1105
DANCE 147B,HUSTON V G,M W F,3:30pm - 4:45pm,TD-W 1501
DANCE 147E,HUSTON V G,M W F,9:30 am - 10:45am,HSSB 1151
DANCE 147PB,HUSTON V G,T R,1:00pm - 2:50pm,TD-W 1501
DANCE 149,T B A,,,T B A
DANCE 151B,PILAFIAN C,M W,11:00am - 12:50pm,HSSB 1151
DANCE 156B,PILAFIAN C,M W F,9:30 am - 10:45am,HSSB 1135
DANCE 156B,COLAHAN N,T R,9:00 am - 10:50am,HSSB 1135
DANCE 156B,COLAHAN N,M W F,2:00pm - 3:15pm,HSSB 1135
DANCE 156B,WHITED B S,T R,3:00pm - 4:50pm,HSSB 1135
DANCE 156E,COLAHAN N,M W F,2:00pm - 3:15pm,HSSB 1135
DANCE 156E,WHITED B S,T R,3:00pm - 4:50pm,HSSB 1135
DANCE 171,MCKENZIE N,T R,11:00am - 12:50pm,TD-W 1502
DANCE 186,MCCARTHY C R,R,5:00pm - 7:00pm,HSSB 1105
DANCE 190,MOSELEY D,M W F,3:30pm - 4:45pm,HSSB 1135
DANCE 191,T B A,,,T B A
DANCE 193H,T B A,,,T B A
DANCE 193HB,T B A,,,T B A
DANCE 194,MARTINS N C,M W F,9:30 am - 10:45am,TD-W 1501
DANCE 194,SCHWAN A H,T R,11:00am - 12:50pm,TD-W 2517
DANCE 199,T B A,,,T B A
