courseID,enrollCode,days,time,loction
EEMB 2,HILLIS G AEVEN T J||LATTO J G||NGUYEN A T||,T R,11:00am - 12:15pm,CAMPBHALL
EEMB 2,,T R,11:00am - 12:15pm,BUCHN1910
EEMB 2L,HILLIS G AEVEN T J||LATTO J G||NGUYEN A T||NGUYEN A T||EVEN T J||,T,8:00 am - 10:50am,BSIF 2211
EEMB 2L,HILLIS G AEVEN T J||LATTO J G||NGUYEN A T||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||,T,8:00 am - 10:50am,BSIF 2112
EEMB 2L,HILLIS G AEVEN T J||LATTO J G||NGUYEN A T||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||,T,1:00pm - 3:50pm,BSIF 2211
EEMB 2L,HILLIS G AEVEN T J||LATTO J G||NGUYEN A T||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||,T,1:00pm - 3:50pm,BSIF 2112
EEMB 2L,HILLIS G AEVEN T J||LATTO J G||NGUYEN A T||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||,T,7:00pm - 9:50pm,BSIF 2211
EEMB 2L,HILLIS G AEVEN T J||LATTO J G||NGUYEN A T||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||,T,7:00pm - 9:50pm,BSIF 2112
EEMB 2L,HILLIS G AEVEN T J||LATTO J G||NGUYEN A T||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||,W,9:00 am - 11:50am,BSIF 2211
EEMB 2L,HILLIS G AEVEN T J||LATTO J G||NGUYEN A T||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||NGUYEN A T||EVEN T J||,W,9:00 am - 11:50am,BSIF 2112
