courseID,enrollCode,days,time,loction
ED 99,T B A,,,T B A
ED 111,ROMO L F,T,11:00am - 12:50pm,ED 1215
ED 111,15990,R,11:00am - 11:50am,ED 1215
ED 118,LUBACH D W,T R,12:30pm - 1:45pm,EMBARHALL
ED 118,16030,F,12:30pm - 1:45pm,SRB 2154
ED 118,16048,F,11:00am - 12:15pm,NH 1105
ED 118,16055,F,11:00am - 12:15pm,ED 4205
ED 118,16063,F,11:00am - 12:15pm,PHELP3505
ED 118,16071,F,11:00am - 12:15pm,PHELP1425
ED 118,58461,F,11:00am - 12:15pm,ED 1215
ED 118,58479,F,11:00am - 12:15pm,ED 1213
ED 118,58487,F,11:00am - 12:15pm,ED 1201
ED 118,58495,F,11:00am - 12:15pm,ED 1203
ED 118,58503,F,11:00am - 12:15pm,ED 1205
ED 120,LUBACH D W,,,T B A
ED 121,BLACKWELL K S,T,10:00am - 11:50am,ED 4205
ED 122,BLACKWELL K S,,,T B A
ED 123,DUQUE J D,M W,9:30 am - 10:45am,ED 1217
ED 123,16121,R,10:00am - 10:50am,ED 1205
ED 123,16139,R,11:00am - 11:50am,ED 1205
ED 123,16147,R,12:00pm - 12:50pm,ED 1205
ED 123,16154,R,1:00pm - 1:50pm,ED 1205
ED 123,SANDOVAL N I,M,6:00pm - 7:50pm,ED 1215
ED 123,58545,T,7:00pm - 7:50pm,ED 1201
ED 123,58552,W,7:00pm - 7:50pm,ED 1201
ED 123,62752,R,7:00pm - 7:50pm,ED 1201
ED 124,ARYA D J,M,4:00pm - 5:50pm,ED 1215
ED 126,VRIESEMA C N,M,9:00 am - 10:50am,TD-W 1701
ED 126,16188,M,12:00pm - 12:50pm,ED 1207
ED 126,16196,M,1:00pm - 1:50pm,ED 1207
ED 126,16204,M,2:00pm - 2:50pm,ED 1207
ED 126,16212,M,3:00pm - 3:50pm,ED 1207
ED 126,16220,T,10:00am - 10:50am,ED 1207
ED 126,16238,T,11:00am - 11:50am,ED 1207
ED 129,FELDWINN D L,M F,3:00pm - 4:50pm,ED 4219
ED 130,ROSS E G,T,4:00pm - 6:50pm,ED 4219
ED 131,LOHWASSER K,T R,1:00pm - 2:50pm,ED 4219
ED 134,OGRAIN C M,M W,9:00 am - 10:50am,ED 4219
ED 173,ARMISTEAD K J,M,5:00pm - 6:15pm,CHEM 1171
ED 173,16295,W,5:00pm - 6:15pm,ED 1205
ED 173,16303,W,9:30 am - 10:45am,ED 1205
ED 173,16311,T,9:30 am - 10:45am,ED 1201
ED 173,16329,W,3:30pm - 4:45pm,ED 1205
ED 176B,FORD K C,T,1:00pm - 2:50pm,ED 1213
ED 191W,SHISHIM M D,T,2:00pm - 3:15pm,WEBB 1100
ED 191W,16352,R,2:00pm - 3:50pm,ED 1215
ED 191W,16360,R,2:00pm - 3:50pm,ED 1217
ED 197,DURAN R P,M,4:00pm - 5:50pm,ED 1207
ED 199,T B A,,,T B A
ED 199RA,T B A,,,T B A
