courseID,enrollCode,days,time,loction
ESS 3,JAMIESON A E,T R,9:30 am - 10:45am,IV THEA2
ESS 3,JAMIESON A E,T R,12:30pm - 1:45pm,LSB 1001
ESS 4A,SLADE A M,T,12:00pm - 1:50pm,RECEN2103
ESS 4A,23028,R,12:00pm - 1:50pm,RECENPVGYM
ESS 9,SLADE A M,W,1:00pm - 2:50pm,RECEN2103
ESS 96,HATCHER K L,,,T B A
ESS 98,HATCHER K L,,,T B A
ESS 100,ORLANDO M D,T R,2:00pm - 3:15pm,RECEN1501
ESS 130,ORLANDO M D,T R,11:00am - 12:15pm,RECEN1501
ESS 131,SLADE A M,T R,9:30 am - 10:45am,PHELP3515
ESS 131,SPAVENTA J A,T R,12:30pm - 1:45pm,RECEN1501
ESS 132,HATCHER K L,M W,12:30pm - 1:45pm,RECEN1501
ESS 132,ORLANDO M D,F,10:00am - 12:30pm,RECEN1501
ESS 140,HATCHER K L,M W,9:30 am - 10:45am,RECEN1501
ESS 160,HATCHER K L,M W,8:00 am - 9:15 am,RECEN1501
ESS 185,HATCHER K L,,,T B A
ESS 193,HATCHER K L,,,T B A
ESS 199,HATCHER K L,,,T B A
ESS 199,HATCHER K L,,,T B A
