courseID,enrollCode,days,time,loction
FR 1,ROBERTS S C,MTWR,12:00pm - 12:50pm,HSSB 1236
FR 1,ROBERTS S C,MTWR,1:00pm - 1:50pm,HSSB 1231
FR 1,ZISERMAN P,MTWR,2:00pm - 2:50pm,HSSB 1231
FR 2,SCHULTZ J M,MTWR,10:00am - 10:50am,HSSB 1233
FR 2,LABATUT M A,MTWR,11:00am - 11:50am,HSSB 2251
FR 2,LABATUT M A,MTWR,1:00pm - 1:50pm,HSSB 1236
FR 2,MENDES BRAGA,MTWR,2:00pm - 2:50pm,HSSB 1224
FR 2,ZISERMAN P,MTWR,12:00pm - 12:50pm,HSSB 1232
FR 3,ZISERMAN PTUDISCO J J||SCHULTZ J M||,MT R,11:00am - 11:50am,PHELP3523
FR 3,,W,11:00am - 11:50am,PHELP3519
FR 3,MENDES BRAGA,MTWR,11:00am - 11:50am,PHELP5309
FR 4,LABATUT M A,MTWR,10:00am - 10:50am,HSSB 1227
FR 5,SCHULTZ J M,MTWR,11:00am - 11:50am,HSSB 1232
FR 5,SCHULTZ J MVIVIAN D A||SCHULTZ J M||,MTWR,1:00pm - 1:50pm,SH 1609
FR 6,MENDES BRAGA,MTWR,10:00am - 10:50am,HSSB 1224
FR 11A,PHILLIPS M E,T R,2:00pm - 3:15pm,HSSB 1206
FR 99,T B A,,,T B A
FR 100,ROBERTS S C,T R,2:00pm - 3:15pm,HSSB 1207
FR 101C,JULLIEN D M,M W,12:30pm - 1:45pm,HSSB 1206
FR 104C,LARUE R J,M W,9:30 am - 10:45am,HSSB 1206
FR 104E,PHILLIPS M E,T R,11:00am - 12:15pm,HSSB 1214
FR 147C,SKENAZI E C,T R,9:30 am - 10:45am,HSSB 1215
FR 154G,PRIETO E,T R,6:30pm - 7:45pm,BUCHN1910
FR 154I,POWERS R T,T R,3:30pm - 4:45pm,PSYCH1902
FR 155A,BROWN C J,M W,2:00pm - 3:15pm,PHELP2536
FR 195H,T B A,,,T B A
FR 197,BROWN C J,M W,11:00am - 12:15pm,PHELP5316
FR 199,T B A,,,T B A
FR 199RA,T B A,,,T B A
