courseID,enrollCode,days,time,loction
GEOG 3A,MONTINI T L,M W F,9:00 am - 9:50 am,EMBARHALL
GEOG 3A,24752,W,2:00pm - 2:50pm,PHELP2525
GEOG 3A,24760,W,5:00pm - 5:50pm,PHELP2525
GEOG 3A,24778,R,5:00pm - 5:50pm,PHELP2525
GEOG 3A,24786,W,3:00pm - 3:50pm,PHELP2525
GEOG 3A,24794,R,1:00pm - 1:50pm,PHELP2525
GEOG 3A,24802,F,11:00am - 11:50am,PHELP2525
GEOG 3A,24810,R,2:00pm - 2:50pm,PHELP2525
GEOG 3A,24828,T,10:00am - 10:50am,PHELP2525
GEOG 5,CHRASTIL E R,M W F,10:00am - 10:50am,MUSICLLCH
GEOG 5,24844,F,11:00am - 11:50am,ELLSN2620
GEOG 5,24851,T,2:00pm - 2:50pm,ELLSN2620
GEOG 5,24869,F,1:00pm - 1:50pm,ELLSN2620
GEOG 5,24877,T,6:00pm - 6:50pm,ELLSN2620
GEOG 5,24885,W,5:00pm - 5:50pm,ELLSN2620
GEOG 5,24893,T,1:00pm - 1:50pm,ELLSN2620
GEOG 5,24901,T,11:00am - 11:50am,ELLSN2620
GEOG 5,24919,R,10:00am - 10:50am,ELLSN2620
GEOG 5,24927,R,11:00am - 11:50am,ELLSN2620
GEOG 5,24935,R,12:00pm - 12:50pm,ELLSN2620
GEOG 8,JONES C,T R,9:30 am - 10:45am,ARTS 1353
GEOG 8,24950,T,12:00pm - 1:50pm,ELLSN3620
GEOG 8,24968,W,12:00pm - 1:50pm,ELLSN3620
GEOG 110,DE CARVALHO L,M W,12:30pm - 1:45pm,ELLSN3621
GEOG 110,25148,T,5:00pm - 5:50pm,ELLSN3620
GEOG 110,25155,W,10:00am - 10:50am,PHELP2525
GEOG 114B,CHADWICK O A,M W,2:00pm - 3:15pm,ELLSN3621
GEOG 114B,58248,F,2:00pm - 4:50pm,PHELP2525
GEOG 115B,CHU V W,M W,9:30 am - 10:45am,PSYCH1902
GEOG 115B,25171,T,9:00 am - 11:50am,ELLSN3620
GEOG 115B,25189,R,5:00pm - 7:50pm,ELLSN2616
GEOG 115B,25197,W,12:00pm - 2:50pm,ELLSN2616
GEOG 116,LOAICIGA H,T R,9:30 am - 10:45am,ELLSN3621
GEOG 116,25213,T,6:00pm - 7:50pm,ELLSN3620
GEOG 116,25221,R,5:00pm - 6:50pm,ELLSN3620
GEOG 119,DING Q,M W,11:00am - 12:15pm,ELLSN3621
GEOG 141A,LOPEZ-CARR D,T R,11:00am - 12:15pm,ELLSN3621
GEOG 141A,58297,F,11:00am - 11:50am,ELLSN2616
GEOG 144,KELLER E A,T R,12:30pm - 1:45pm,GIRV 1119
GEOG 144,58313,F,9:00 am - 11:50am,ELLSN2609
GEOG 144,58321,F,12:00pm - 2:50pm,ELLSN2609
GEOG 149,NIDZIEKO N J,W F,8:00 am - 9:15 am,GIRV 1004
GEOG 150,MONTELLO D R,T,5:00pm - 7:50pm,NH 1006
GEOG 152,CASSELS S L,T R,12:30pm - 1:45pm,ELLSN3621
GEOG 152,25338,R,10:00am - 10:50am,ELLSN2609
GEOG 176B,JANOWICZ K W,M W,12:30pm - 1:45pm,HSSB 1173
GEOG 176B,25353,M,5:00pm - 7:50pm,ELLSN3620
GEOG 176B,25361,W,2:00pm - 4:50pm,ELLSN3620
GEOG 176B,25379,F,9:00 am - 11:50am,ELLSN3620
GEOG 178,JANOWICZ K W,R,12:00pm - 2:50pm,ELLSN3620
GEOG 178,58347,T,2:00pm - 3:50pm,ELLSN3620
GEOG 191,CHURCH R L,M W,2:00pm - 3:15pm,ELLSN2609
GEOG 191,64865,W,11:00am - 11:50am,ELLSN3620
GEOG 193,T B A,,,T B A
GEOG 195KG,GOULIAS K,T R,2:00pm - 3:15pm,ELLSN3621
GEOG 197,SWEENEY S H,W,5:00pm - 6:15pm,ELLSN3621
GEOG 198,T B A,,,T B A
GEOG 199,T B A,,,T B A
GEOG 199RA,T B A,,,T B A
