courseID,enrollCode,days,time,loction
GLOBL 2,THANDI S,T R,5:00pm - 6:15pm,BUCHN1910
GLOBL 2,26039,F,12:00pm - 12:50pm,HSSB 1231
GLOBL 2,26047,T,7:00pm - 7:50pm,HSSB 3202
GLOBL 2,26054,F,10:00am - 10:50am,GIRV 2123
GLOBL 2,26062,F,11:00am - 11:50am,GIRV 2112
GLOBL 2,26070,R,7:00pm - 7:50pm,HSSB 4201
GLOBL 2,26088,W,7:00pm - 7:50pm,HSSB 3202
GLOBL 2,26096,T,7:00pm - 7:50pm,HSSB 3201
GLOBL 2,26104,R,7:00pm - 7:50pm,HSSB 3202
GLOBL 2,26112,W,7:00pm - 7:50pm,HSSB 3201
GLOBL 2,26120,M,7:00pm - 7:50pm,HSSB 3202
GLOBL 2,26138,M,7:00pm - 7:50pm,HSSB 3201
GLOBL 2,26146,R,7:00pm - 7:50pm,HSSB 3201
GLOBL 110,CLITANDRE N T,T R,11:00am - 12:15pm,BUCHN1920
GLOBL 110,26179,T,7:00pm - 7:50pm,SH 1609
GLOBL 110,26187,W,7:00pm - 7:50pm,HSSB 1237
GLOBL 110,26195,R,6:00pm - 6:50pm,PHELP2524
GLOBL 110,26203,T,6:00pm - 6:50pm,HSSB 4202
GLOBL 110,26211,F,11:00am - 11:50am,GIRV 1115
GLOBL 110,26229,F,2:00pm - 2:50pm,HSSB 1231
GLOBL 111,FAUST J M,M W,12:30pm - 1:45pm,GIRV 1116
GLOBL 120,AMAR P E,M W,12:30pm - 1:45pm,BUCHN1920
GLOBL 120,26245,R,7:00pm - 7:50pm,HSSB 1237
GLOBL 120,26252,T,7:00pm - 7:50pm,HSSB 1237
GLOBL 120,26260,W,7:00pm - 7:50pm,HSSB 1236
GLOBL 120,26278,R,6:00pm - 6:50pm,PHELP3519
GLOBL 120,26286,F,1:00pm - 1:50pm,HSSB 1236
GLOBL 120,26294,F,11:00am - 11:50am,GIRV 1112
GLOBL 130,MEHTA A S,M W,2:00pm - 3:15pm,BUCHN1920
GLOBL 130,26419,F,10:00am - 10:50am,PHELP2536
GLOBL 130,26427,W,7:00pm - 7:50pm,HSSB 4202
GLOBL 130,26435,R,6:00pm - 6:50pm,PHELP1508
GLOBL 130,26443,R,7:00pm - 7:50pm,HSSB 4202
GLOBL 130,26450,T,7:00pm - 7:50pm,HSSB 4202
GLOBL 130,26468,W,7:00pm - 7:50pm,HSSB 4201
GLOBL 159,NEDERVEEN PIE,M W,3:30pm - 4:45pm,PHELP3523
GLOBL 161,BARANDIARAN J,T R,9:30 am - 10:45am,HSSB 1174
GLOBL 174,CHEN J,T R,9:30 am - 10:45am,NH 1105
GLOBL 197,KURGAN S,T R,2:00pm - 3:15pm,PHELP1445
GLOBL 197,LEQUESNE T F,M W,12:30pm - 1:45pm,PHELP1445
GLOBL 199,T B A,,,T B A
