courseID,enrollCode,days,time,loction
HIST 2A,DIGESER E D,T R,11:00am - 12:15pm,HFH 1104
HIST 2A,57182,M,12:00pm - 12:50pm,HSSB 1228
HIST 2A,57190,M,4:00pm - 4:50pm,HSSB 2202
HIST 2A,57208,M,3:00pm - 3:50pm,HSSB 2202
HIST 2A,57216,T,4:00pm - 4:50pm,HSSB 3201
HIST 2A,57224,T,5:00pm - 5:50pm,HSSB 2202
HIST 2A,57232,T,6:00pm - 6:50pm,HSSB 2202
HIST 2A,57240,T,2:00pm - 2:50pm,HSSB 2202
HIST 2A,57257,W,3:00pm - 3:50pm,HSSB 4202
HIST 2A,57265,W,2:00pm - 2:50pm,HSSB 4201
HIST 2B,ROBERTS L S,T R,12:30pm - 1:45pm,IV THEA1
HIST 2B,26807,T,4:00pm - 4:50pm,HSSB 2201
HIST 2B,26815,W,5:00pm - 5:50pm,HSSB 3202
HIST 2B,26823,W,6:00pm - 6:50pm,GIRV 2135
HIST 2B,26831,W,7:00pm - 7:50pm,GIRV 2135
HIST 2B,26849,F,8:00 am - 8:50 am,HSSB 1236
HIST 2B,26856,R,4:00pm - 4:50pm,HSSB 2252
HIST 2B,26864,R,8:00 am - 8:50 am,HSSB 2202
HIST 2B,26872,R,6:00pm - 6:50pm,HSSB 2202
HIST 2B,26880,R,7:00pm - 7:50pm,GIRV 2135
HIST 2B,26898,F,9:00 am - 9:50 am,HSSB 2202
HIST 2B,26906,F,10:00am - 10:50am,HSSB 2202
HIST 2B,26914,F,11:00am - 11:50am,HSSB 2201
HIST 2B,26922,F,2:00pm - 2:50pm,HSSB 2202
HIST 2B,26930,F,3:00pm - 3:50pm,GIRV 2135
HIST 2B,26948,F,4:00pm - 4:50pm,GIRV 2135
HIST 2B,26955,M,12:00pm - 12:50pm,GIRV 2135
HIST 2B,26963,M,1:00pm - 1:50pm,HSSB 2202
HIST 2B,26971,M,5:00pm - 5:50pm,HSSB 2202
HIST 2B,26989,M,9:00 am - 9:50 am,GIRV 2135
HIST 2B,26997,M,4:00pm - 4:50pm,GIRV 2135
HIST 2B,27003,M,5:00pm - 5:50pm,GIRV 2135
HIST 2B,57273,T,8:00 am - 8:50 am,HSSB 2202
HIST 2B,57281,F,1:00pm - 1:50pm,HSSB 2202
HIST 2B,57299,M,1:00pm - 1:50pm,ELLSN2816
HIST 4B,SONNINO P M,T R,3:30pm - 4:45pm,CHEM 1179
HIST 4B,27029,T,5:00pm - 5:50pm,GIRV 2135
HIST 4B,27037,F,8:00 am - 8:50 am,ELLSN2816
HIST 4B,27045,R,9:00 am - 9:50 am,HSSB 2202
HIST 4B,27052,T,6:00pm - 6:50pm,GIRV 2135
HIST 4B,27060,W,8:00 am - 8:50 am,GIRV 2135
HIST 4B,27078,W,9:00 am - 9:50 am,GIRV 2135
HIST 4B,27086,F,3:00pm - 3:50pm,ELLSN2816
HIST 4B,27094,W,7:00pm - 7:50pm,ELLSN2816
HIST 4B,27102,R,8:00 am - 8:50 am,ELLSN2816
HIST 4B,27110,F,4:00pm - 4:50pm,ELLSN2816
HIST 4B,27128,W,1:00pm - 1:50pm,HSSB 2202
HIST 4B,27136,R,7:00pm - 7:50pm,ELLSN2816
HIST 4B,27144,R,6:00pm - 6:50pm,GIRV 2135
HIST 4B,27151,R,5:00pm - 5:50pm,GIRV 2135
HIST 4B,27169,R,9:00 am - 9:50 am,ELLSN2816
HIST 4B,27177,W,4:00pm - 4:50pm,HSSB 3202
HIST 4B,27185,W,2:00pm - 2:50pm,HSSB 3202
HIST 4B,27193,W,3:00pm - 3:50pm,HSSB 4201
HIST 8,LAURENT-PERRA,T R,5:00pm - 6:15pm,CHEM 1171
HIST 8,27243,M,7:00pm - 7:50pm,ELLSN2816
HIST 8,27250,T,8:00 am - 8:50 am,ELLSN2816
HIST 8,27268,T,9:00 am - 9:50 am,ELLSN2816
HIST 8,27276,T,10:00am - 10:50am,HSSB 2202
HIST 8,27284,W,12:00pm - 12:50pm,HSSB 1228
HIST 8,27292,W,1:00pm - 1:50pm,ELLSN2816
HIST 9,PLANE A M,T,9:00 am - 11:50am,HSSB 4020
HIST 9,CHATTO U,T R,2:00pm - 3:15pm,GIRV 2124
HIST 17B,STEPHENS C C,T R,3:30pm - 4:45pm,IV THEA1
HIST 17B,27433,M,2:00pm - 2:50pm,HSSB 4201
HIST 17B,27441,M,8:00 am - 8:50 am,GIRV 2135
HIST 17B,27458,M,3:00pm - 3:50pm,HSSB 4201
HIST 17B,27466,T,8:00 am - 8:50 am,HSSB 2201
HIST 17B,27474,M,5:00pm - 5:50pm,GIRV 1108
HIST 17B,27482,T,5:00pm - 5:50pm,HSSB 2201
HIST 17B,27490,T,6:00pm - 6:50pm,HSSB 2201
HIST 17B,27508,W,8:00 am - 8:50 am,HSSB 2202
HIST 17B,27516,F,12:00pm - 12:50pm,GIRV 2135
HIST 17B,27524,W,5:00pm - 5:50pm,HSSB 4041
HIST 17B,27532,T,2:00pm - 2:50pm,GIRV 2135
HIST 17B,27540,R,8:00 am - 8:50 am,GIRV 2135
HIST 17B,27557,M,8:00 am - 8:50 am,HSSB 2251
HIST 17B,27565,R,5:00pm - 5:50pm,HSSB 2202
HIST 17B,27573,R,6:00pm - 6:50pm,HSSB 3201
HIST 17B,27581,F,8:00 am - 8:50 am,HSSB 2202
HIST 17B,27599,F,9:00 am - 9:50 am,HSSB 2201
HIST 17B,27607,M,7:00pm - 7:50pm,HSSB 2251
HIST 17B,27615,F,3:00pm - 3:50pm,HSSB 2202
HIST 17B,27623,W,3:00pm - 3:50pm,HSSB 1232
HIST 17B,27631,F,8:00 am - 8:50 am,HSSB 2251
