courseID,enrollCode,days,time,loction
INT 10,ROOSE H M,M,5:00pm - 6:15pm,PHELP1425
INT 75,PRYSTOWSKY J,T,5:00pm - 7:20pm,EMBARHALL
INT 75,28555,W,12:00pm - 12:50pm,PHELP1425
INT 75,28563,W,11:00am - 11:50am,PHELP1425
INT 75,28571,W,1:00pm - 1:50pm,PHELP1160
INT 75,28589,W,2:00pm - 2:50pm,PHELP1425
INT 80EM,NOVAK M J,T R,12:30pm - 1:45pm,ARTS 1353
INT 80EM,28605,T,4:00pm - 4:50pm,GIRV 2135
INT 80EM,28613,R,2:00pm - 2:50pm,GIRV 2120
INT 80EM,28621,R,3:00pm - 3:50pm,HSSB 4202
INT 84AH,BIBILASHVILI,W,5:00pm - 6:50pm,BRDA 3302
INT 84AQ,BERMUDEZ S,R,2:00pm - 3:50pm,HSSB 2201
INT 84ZB,SIMMS A R,T R,4:00pm - 4:50pm,GIRV 1106
INT 84ZI,MAZER S J,F,12:30pm - 5:20pm,LSB 4307
INT 84ZT,STOPPLE J,M W,8:00 am - 8:50 am,SH 1607
INT 84ZW,WELDEAB S,F,2:00pm - 3:50pm,GIRV 1108
INT 89AA,WELDEAB SCORTIJO A||CASTILLO J L||,W,1:00pm - 2:50pm,GIRV 2116
INT 89AD,WELDEAB SCORTIJO A||CASTILLO J L||POOLE S J||CARLSON C A||,F,2:00pm - 3:50pm,GIRV 2129
INT 94FH,SINGER G H S,T,12:00pm - 12:50pm,ED 4205
INT 94JK,MCCRACKEN E,T,2:00pm - 4:20pm,HSSB 3202
INT 94JV,COOPER D,T,2:00pm - 2:50pm,HSSB 3201
INT 94NU,GARCIA M T,M,9:00 am - 10:50am,HSSB 3202
INT 94PO,SCOTT V,W,4:00pm - 4:50pm,TD-W 1530
INT 94QC,NORRIS A,W,9:00 am - 9:50 am,GIRV 2110
INT 94SH,JAMIESON A E,W,1:00pm - 1:50pm,RECEN2103
INT 94TI,FELBER J,T,4:00pm - 4:50pm,MUSIC2224
INT 94TJ,DUFFY A E,F,10:00am - 11:50am,GIRV 2110
INT 94UI,DONELAN J H,T,10:00am - 10:50am,GIRV 1106
INT 94UO,SAMUELS R D,T,12:00pm - 12:50pm,HSSB 3201
INT 94UP,PATTERSON K A,M,12:00pm - 1:50pm,HSSB 3202
INT 94US,PATTERSON K AGALLUCCI R||ERICKSON B L||,T,9:00 am - 9:50 am,HSSB 3202
INT 94UT,ALVES FERREIR,M W,8:00 am - 8:50 am,HSSB 2201
INT 94VA,SORAPURE M I,W,5:00pm - 5:50pm,SSMS 1005
INT 94VC,FEINSTEIN S C,W,12:00pm - 12:50pm,HSSB 3202
INT 94VD,MCCARTHY C R,W,5:00pm - 5:50pm,HSSB 1105
INT 94VE,LEE H,R,5:00pm - 5:50pm,
INT 94VF,HELLIER-TINOC,T,5:00pm - 5:50pm,HSSB 1143
INT 94VG,MITCHELL G M,T,3:00pm - 4:50pm,TD-W 1530
INT 98RA,T B A,,,T B A
INT 105,FANCHER P J,T,5:00pm - 6:15pm,SH 1432
INT 108,FANCHER P J,T,3:30pm - 4:45pm,PHELP1444
INT CS 120,SMITH S R,T R,2:00pm - 3:15pm,CRST 136
INT 156BE,JARRETT G C,T R,2:00pm - 3:15pm,GIRV 1116
INT 184DH,BLAIN S M,,,T B A
INT 184PD,BLAIN S M,,,T B A
INT 184ZB,WELTER V W,T,11:00am - 12:50pm,GIRV 2135
INT 185CT,BENJAMIN R,W,10:00am - 11:50am,HSSB 5024
INT 185CW,DONNELLY B,M W,5:00pm - 6:15pm,SH 2635
INT 185MT,GENOVA G L,T R,7:00pm - 8:50pm,PHELP1440
INT 185ST,ANDERSON E K,F,3:00pm - 4:50pm,TD-W 2600
INT 185VW,DERWIN S,W,3:00pm - 5:30pm,HSSB 6056
INT 186AC,BARLOW C F,T,3:00pm - 4:50pm,MUSIC1145
INT 186AM,STUART D D,F,2:00pm - 2:50pm,HSSB 2201
INT 186AP,ALDANA G V,W,1:00pm - 1:50pm,SH 1623
INT 186AQ,CASILLAS D I,W,2:00pm - 2:50pm,SH 1713
INT 186AR,MITCHELL G M,T,3:00pm - 4:50pm,TD-W 1530
INT 187AC,MORGAN M L,T,4:30pm - 6:30pm,
INT 187AD,MORGAN M LDUTSCH D||LUPI J P||,M,5:00pm - 6:50pm,GIRV 2123
INT 187AE,MORGAN M LDUTSCH D||LUPI J P||WILTON M B||HENDERSON J G||,R,10:00am - 11:50am,HSSB 4020
INT 190MA,SCHNEIDER B E,F,12:00pm - 1:00pm,GIRV 2110
INT 190MB,SCHNEIDER B E,M,10:00am - 11:00am,GIRV 1106
INT 192DC,ADLER-KASSNER,,,T B A
INT 199DC,ADLER-KASSNER,,,T B A
INT 199H,BLAIN S M,,,T B A
