courseID,enrollCode,days,time,loction
ITAL 1,DE SIMONE T,MTWR,10:00am - 10:50am,PHELP1508
ITAL 1,DE SIMONE T,MTWR,11:00am - 11:50am,GIRV 1116
ITAL 1,CRICKETTE M E,MTWR,1:00pm - 1:50pm,HSSB 2251
ITAL 1,CRICKETTE M E,MTWR,2:00pm - 2:50pm,HSSB 1228
ITAL 1HY,PADULA V,T R,9:30 am - 10:45am,PHELP5309
ITAL 1HY,57943,,,T B A
ITAL 2,BORROMEO C,MTWR,12:00pm - 12:50pm,PHELP5309
ITAL 2,FIORINA C P,MTWR,10:00am - 10:50am,HSSB 1232
ITAL 2,BORROMEO C,MTWR,1:00pm - 1:50pm,PHELP3523
ITAL 2,FIORINA C P,MTWR,11:00am - 11:50am,SH 1609
ITAL 2,DAHL SARNELLI,MTWR,2:00pm - 2:50pm,HSSB 1223
ITAL 3,CRICKETTE M E,MTWR,10:00am - 10:50am,HSSB 1228
ITAL 4,PADULA V,MTWR,11:00am - 11:50am,NH 1111
ITAL 5,BORROMEO C,MTWR,11:00am - 11:50am,PHELP5313
ITAL 5,DE SIMONE T,MTWR,1:00pm - 1:50pm,PHELP2524
ITAL 8A,DAHL SARNELLI,M W,1:00pm - 1:50pm,GIRV 2110
ITAL 16A,PATTONE C F,MTWR,2:00pm - 2:50pm,HSSB 1227
ITAL 99RA,T B A,,,T B A
ITAL 102,FIORINA C P,T R,12:30pm - 1:45pm,PHELP5312
ITAL 114X,SNYDER J R,T R,5:00pm - 6:15pm,TD-W 1701
ITAL 119A,SNYDER J R,T R,3:30pm - 4:45pm,PHELP5316
ITAL 195H,T B A,,,T B A
ITAL 199,T B A,,,T B A
