courseID,enrollCode,days,time,loction
JAPAN 2,CANTRELL A M,MTWRF,11:00am - 11:50am,HSSB 1233
JAPAN 2,SHINAGAWA C,MTWRF,10:00am - 10:50am,HSSB 1211
JAPAN 2,SHINAGAWA C,MTWRF,12:00pm - 12:50pm,HSSB 1233
JAPAN 2,CANTRELL A M,MTWRF,1:00pm - 1:50pm,HSSB 1228
JAPAN 2,SHINAGAWA C,MTWRF,9:00 am - 9:50 am,HSSB 1211
JAPAN 5,SUGAWARA H,MTWRF,10:00am - 10:50am,HSSB 1210
JAPAN 5,YAMAUCHI Y,MTWRF,1:00pm - 1:50pm,HSSB 1233
JAPAN 5,SUGAWARA H,MTWRF,11:00am - 11:50am,HSSB 1210
JAPAN 25,FRUHSTUCK S,T R,9:30 am - 10:45am,TD-W 2600
JAPAN 25,58909,R,12:00pm - 12:50pm,HSSB 3202
JAPAN 25,58917,R,1:00pm - 1:50pm,HSSB 1215
JAPAN 25,58925,F,10:00am - 10:50am,HSSB 2201
JAPAN 112,T B A,M W,3:30pm - 4:45pm,GIRV 2129
JAPAN 120B,YAMAUCHI Y,MTWR,9:00 am - 9:50 am,HSSB 1227
JAPAN 120B,YAMAUCHI Y,MTWR,11:00am - 11:50am,HSSB 1237
JAPAN 134G,WATTLES M,M W,9:30 am - 10:45am,ARTS 1341
JAPAN 134J,WATTLES M,M W,12:30pm - 1:45pm,ARTS 1341
JAPAN 140,FLEMING W,T,2:00pm - 4:50pm,HSSB 2252
JAPAN 145,LEWALLEN A,M W,9:30 am - 10:45am,HSSB 2202
JAPAN 166,FRUHSTUCK S,T R,11:00am - 12:15pm,TD-W 1701
JAPAN 183,FLEMING W,T R,9:30 am - 10:45am,GIRV 2110
JAPAN 197,T B A,,,T B A
JAPAN 198,T B A,,,T B A
JAPAN 199,T B A,,,T B A
JAPAN 199RA,T B A,,,T B A
