courseID,enrollCode,days,time,loction
MATRL 10,STEMMER S,T R,12:30pm - 1:45pm,PHELP1417
MATRL 10,34140,R,3:00pm - 3:50pm,HSSB 3202
MATRL 10,34157,T,5:00pm - 5:50pm,GIRV 1106
MATRL 100B,GIANOLA D S,T R,2:00pm - 3:15pm,PHELP2536
MATRL 100B,34173,M,1:00pm - 1:50pm,ARTS 1353
MATRL 100B,34181,W,4:00pm - 4:50pm,GIRV 1119
MATRL 101,BATES C M,T R,8:00 am - 9:15 am,BUCHN1920
MATRL 101,34207,M,6:00pm - 6:50pm,HSSB 4201
MATRL 101,34215,M,6:00pm - 6:50pm,PHELP1417
MATRL 101,34223,M,4:00pm - 4:50pm,HSSB 4201
MATRL 101,34231,R,4:00pm - 4:50pm,GIRV 2120
MATRL 101,34249,M,5:00pm - 5:50pm,HSSB 3202
MATRL 101,34256,M,4:00pm - 4:50pm,HSSB 3202
MATRL 135,SAFINYA C R,T R,11:00am - 12:15pm,PHELP1417
MATRL 160,SEGALMAN R A,M W,10:00am - 11:15am,ENGR21519
MATRL 162B,DENBAARS S P,M W,2:00pm - 3:15pm,PHELP2532
MATRL 162B,34298,W,6:00pm - 6:50pm,PHELP1417
MATRL 186A,LEVI C G,T R,9:30 am - 10:45am,PHELP1417
