courseID,enrollCode,days,time,loction
ME 6,MARKS T G,M W F,2:00pm - 2:50pm,BIOEN1001
ME 6,37184,T,2:00pm - 4:50pm,ENGR22218
ME 6,37192,T,5:00pm - 7:50pm,ENGR22218
ME 6,37200,W,3:00pm - 5:50pm,ENGR22218
ME 6,37218,R,2:00pm - 4:50pm,ENGR22218
ME 6,37226,R,5:00pm - 7:50pm,ENGR22218
ME 12,FIELDS K,F,9:30 am - 10:45am,ENGR22243
ME 12S,LINLEY S C,,,T B A
ME 12S,53843,M,8:00 am - 10:50am,ARTS 0249
ME 12S,53850,T,8:00 am - 10:50am,ARTS 0249
ME 12S,53868,W,8:00 am - 10:50am,ARTS 0249
ME 12S,53876,W,2:00pm - 4:50pm,ARTS 0249
ME 12S,53884,R,2:00pm - 4:50pm,ARTS 0249
ME 15,BELTZ G,M W F,12:00pm - 12:50pm,BUCHN1940
ME 15,37275,T,4:00pm - 4:50pm,GIRV 2115
ME 15,37283,W,1:00pm - 1:50pm,PHELP1448
ME 15,37291,W,3:00pm - 3:50pm,HSSB 2202
ME 15,37309,F,1:00pm - 1:50pm,PHELP1445
ME 95,T B A,,,T B A
ME 97,T B A,,,T B A
ME 99,T B A,,,T B A
ME 102,MATTHYS E F,T R,12:30pm - 1:45pm,ESB 1003
ME 125EH,HAWKES E W,M W,2:00pm - 3:15pm,PHELP3523
ME 125EY,YEUNG E H,T R,3:30pm - 4:45pm,HSSB 1211
ME 125LP,YEUNG E HPETZOLD L||MEINHART C||,T R,11:00am - 12:15pm,ESB 1003
ME 125SD,DALY S H,T R,2:00pm - 3:15pm,ENGR22243
ME 147,HARE C,M W,3:40pm - 6:40pm,ENGR22133
ME 151B,LIAO B,T R,9:30 am - 10:45am,PSYCH1924
ME 152B,LUZZATTO-FEGI,M W F,11:00am - 11:50am,CHEM 1171
ME 156B,BEGLEY M R,M W,11:00am - 12:15pm,WEBB 1100
ME 158,GREEN R E,T R,2:00pm - 3:15pm,ESB 1003
ME 163,MEZIC I,T R,12:30pm - 1:45pm,NH 1006
ME 179P,BULLO F,T R,9:30 am - 10:45am,ENGR22243
ME 179P,54536,,,T B A
ME 186,LEVI C G,T R,9:30 am - 10:45am,PHELP1417
ME 186A,LEVI C G,T R,9:30 am - 10:45am,PHELP1417
ME 189B,SUSKO T G,M,1:00pm - 1:50pm,WEBB 1100
ME 189B,,W F,1:00pm - 1:50pm,ENGR22243
ME 193,T B A,,,T B A
ME 197,T B A,,,T B A
ME 199,T B A,,,T B A
