courseID,enrollCode,days,time,loction
MUS A 34,T B ABAMBACH P A||ENOCH M||,T,6:00pm - 8:30pm,MUSICLLCH
MUS A 34,,R,6:00pm - 7:30pm,MUSICGHALL
MUS A 36,NEWMAN-LESSLE,M W,5:00pm - 6:50pm,MUSIC1145
MUS A 37,NEWMAN-LESSLEREECE T M||NEWMAN-LESSLE||,T,5:00pm - 7:00pm,MUSIC1145
MUS A 37,,R,5:00pm - 6:00pm,MUSIC1145
MUS A 38P,BRECHER B H,T,4:00pm - 5:50pm,
MUS A 38P,,RF,4:00pm - 6:20pm,
MUS A 40,HALADYNA J J,M W,3:00pm - 4:50pm,MUSIC1219
MUS A 41,BERKOWITZ P M,,,T B A
MUS A 41,ASCHE C B,,,T B A
MUS A 42,ASCHE C BTHOMAS B T||KUZIN M||,M,6:30pm - 9:00pm,MUSICLLCH
MUS A 43,FELBER J,W,5:00pm - 6:00pm,MUSIC1219
MUS A 44,T B A,,,T B A
MUS A 45,GROSS S L,,,T B A
MUS A 45BR,GROSS S L,W,12:00pm - 1:50pm,MUSIC1145
MUS A 45H,GROSS S L,M F,12:00pm - 12:50pm,
MUS A 46,BAMBACH P A,W,4:30pm - 6:00pm,MUSICGHALL
MUS A 47S,NATHAN J S,T,4:00pm - 5:50pm,MUSICGHALL
MUS A 47S,,R,4:00pm - 5:50pm,MUSICGHALL
MUS A 49,NATHAN J S,T,2:00pm - 3:50pm,
MUS A 52,TORGUL E,,,T B A
MUS A 70I,MARCUS S L,T R,9:00 am - 10:50am,MUSICGHALL
MUS A 70J,NORTH R H,T R,5:30pm - 7:00pm,MUSIC1231
MUS A 70M,MARCUS S L,T,7:00pm - 9:50pm,
MUS A 70N,MARCUS S L,T,5:00pm - 6:30pm,MUSIC1207
MUS A 70V,BELL V R,T,7:00pm - 9:50pm,MUSIC1145
MUS A 70Z,HERNANDEZ A D,M,5:30pm - 8:00pm,MUSIC2224
MUS A 134,HERNANDEZ A DBAMBACH P A||ENOCH M||,T,6:00pm - 8:30pm,MUSICLLCH
MUS A 134,,R,6:00pm - 7:30pm,MUSICGHALL
MUS A 136,NEWMAN-LESSLE,M W,5:00pm - 6:50pm,MUSIC1145
MUS A 137,NEWMAN-LESSLEREECE T M||NEWMAN-LESSLE||,T,5:00pm - 7:00pm,MUSIC1145
MUS A 137,,R,5:00pm - 6:00pm,MUSIC1145
MUS A 138P,BRECHER B H,T,4:00pm - 5:50pm,
MUS A 138P,,RF,4:00pm - 6:20pm,
MUS A 140,HALADYNA J J,M W,3:00pm - 4:50pm,MUSIC1219
MUS A 141,BERKOWITZ P M,,,T B A
MUS A 141,ASCHE C B,,,T B A
MUS A 142,ASCHE C BTHOMAS B T||KUZIN M||,M,6:30pm - 9:00pm,MUSICLLCH
MUS A 143,FELBER J,W,5:00pm - 6:00pm,MUSIC1219
MUS A 144,T B A,,,T B A
MUS A 145,GROSS S L,,,T B A
MUS A 145BR,GROSS S L,W,12:00pm - 1:50pm,MUSIC1145
MUS A 145H,GROSS S L,M F,12:00pm - 12:50pm,
MUS A 146,BAMBACH P A,W,4:30pm - 6:00pm,MUSICGHALL
MUS A 147S,NATHAN J S,T,4:00pm - 5:50pm,MUSICGHALL
MUS A 147S,,R,4:00pm - 5:50pm,MUSICGHALL
MUS A 149,NATHAN J S,T,2:00pm - 3:50pm,
MUS A 152,TORGUL E,,,T B A
MUS A 170I,MARCUS S L,T R,9:00 am - 10:50am,MUSICGHALL
MUS A 170J,NORTH R H,T R,5:30pm - 7:00pm,MUSIC1231
MUS A 170M,MARCUS S L,T,7:00pm - 9:50pm,
MUS A 170N,MARCUS S L,T,5:00pm - 6:30pm,MUSIC1207
MUS A 170V,BELL V R,T,7:00pm - 9:50pm,MUSIC1145
MUS A 170Z,HERNANDEZ A D,T,5:30pm - 7:50pm,MUSIC2224
