courseID,enrollCode,days,time,loction
PHIL 1,BAGWELL J N,M W F,9:00 am - 9:50 am,IV THEA1
PHIL 1,40634,T,7:00pm - 7:50pm,GIRV 2124
PHIL 1,40642,W,5:00pm - 5:50pm,GIRV 2112
PHIL 1,40659,W,6:00pm - 6:50pm,GIRV 2108
PHIL 1,40667,M,4:00pm - 4:50pm,PHELP1445
PHIL 1,40675,M,3:00pm - 3:50pm,GIRV 2115
PHIL 1,40691,M,4:00pm - 4:50pm,GIRV 2115
PHIL 3,BARNES D B,T R,9:30 am - 10:45am,CHEM 1179
PHIL 3,40725,W,9:00 am - 9:50 am,PHELP1508
PHIL 3,40733,F,2:00pm - 2:50pm,GIRV 2119
PHIL 3,40741,F,2:00pm - 2:50pm,PHELP1444
PHIL 3,40758,T,7:00pm - 7:50pm,GIRV 2108
PHIL 3,40766,W,6:00pm - 6:50pm,GIRV 2123
PHIL 3,40774,F,3:00pm - 3:50pm,GIRV 2119
PHIL 3,40782,W,7:00pm - 7:50pm,GIRV 2108
PHIL 3,40790,T,5:00pm - 5:50pm,GIRV 1116
PHIL 4,ZIMMERMAN A Z,M W F,11:00am - 11:50am,MUSICLLCH
PHIL 4,40816,T,9:00 am - 9:50 am,GIRV 2115
PHIL 4,40824,T,5:00pm - 5:50pm,387 1015
PHIL 4,40832,F,2:00pm - 2:50pm,PHELP1445
PHIL 4,40840,T,8:00 am - 8:50 am,387 1011
PHIL 4,40857,T,1:00pm - 1:50pm,387 1015
PHIL 4,40865,T,3:00pm - 3:50pm,GIRV 2115
PHIL 4,40873,W,9:00 am - 9:50 am,GIRV 1116
PHIL 4,40881,M,4:00pm - 4:50pm,GIRV 2123
PHIL 4,40899,F,3:00pm - 3:50pm,PHELP1445
PHIL 4,40907,W,8:00 am - 8:50 am,387 1015
PHIL 20B,ZYLSTRA S J,M W F,10:00am - 10:50am,GIRV 1004
PHIL 20B,40923,R,9:00 am - 9:50 am,NH 1109
PHIL 20B,40931,M,4:00pm - 4:50pm,GIRV 2124
PHIL 20B,40949,M,5:00pm - 5:50pm,PHELP1444
PHIL 20B,40956,M,6:00pm - 6:50pm,PHELP1445
PHIL 100A,HANSER M F,T R,12:30pm - 1:45pm,BUCHN1940
PHIL 100A,40998,T,7:00pm - 7:50pm,NH 1111
PHIL 100A,41004,W,10:00am - 10:50am,SH 5617
PHIL 100A,41012,R,8:00 am - 8:50 am,GIRV 2112
PHIL 100A,41020,W,7:00pm - 7:50pm,NH 1111
PHIL 100D,FALVEY K T,T R,11:00am - 12:15pm,PHELP1160
PHIL 100D,41046,T,7:00pm - 7:50pm,GIRV 2129
PHIL 100D,41053,W,7:00pm - 7:50pm,GIRV 2123
PHIL 100E,STORY D E,M W,5:00pm - 6:15pm,TD-W 2600
PHIL 100E,54411,M,7:00pm - 7:50pm,GIRV 2120
PHIL 100E,54429,T,7:00pm - 7:50pm,GIRV 2120
PHIL 116,ROBERTSON T,M W,2:00pm - 3:15pm,SH 5617
PHIL 124D,HUMPHREY S F,T R,9:30 am - 10:45am,GIRV 2129
PHIL 131,ZYLSTRA S J,M W,12:30pm - 1:45pm,GIRV 1115
PHIL 144,HANSER M F,T R,5:00pm - 6:15pm,GIRV 2129
PHIL 145,JARRETT G C,T R,3:30pm - 4:45pm,GIRV 2119
PHIL 150D,FALVEY K T,T R,2:00pm - 3:15pm,387 1015
PHIL 153,MCKIRAHAN R D,R,4:00pm - 6:20pm,GIRV 1116
PHIL 173,SALMON N U,M F,12:30pm - 1:45pm,GIRV 2116
PHIL 176,ZIMMERMAN A Z,M W,2:00pm - 3:15pm,GIRV 2129
PHIL 183,SALMON N U,M F,2:00pm - 3:15pm,SH 1431
PHIL 183,41152,M,8:00pm - 8:50pm,GIRV 2124
PHIL 183,41160,W,8:00pm - 8:50pm,GIRV 2124
PHIL 183,41178,R,7:00pm - 7:50pm,GIRV 2120
PHIL 192,T B A,,,T B A
PHIL 197A,T B A,,,T B A
PHIL 197B,T B A,,,T B A
PHIL 197P,T B A,,,T B A
PHIL 199,T B A,,,T B A
PHIL 199RA,T B A,,,T B A
