courseID,enrollCode,days,time,loction
POL S 1,NORRIS A,M W,11:00am - 12:15pm,GIRV 1004
POL S 1,43406,T,1:00pm - 1:50pm,HSSB 1227
POL S 1,43414,T,2:00pm - 2:50pm,HSSB 1214
POL S 1,43422,T,3:00pm - 3:50pm,HSSB 3201
POL S 1,43430,T,5:00pm - 5:50pm,HSSB 3202
POL S 1,43448,W,5:00pm - 5:50pm,HSSB 1224
POL S 1,43455,R,8:00 am - 8:50 am,HSSB 3202
POL S 1,43463,R,5:00pm - 5:50pm,HSSB 3202
POL S 1,43471,F,4:00pm - 4:50pm,HSSB 2201
POL S 1,43489,W,6:00pm - 6:50pm,HSSB 4202
POL S 7,MORSE J C,T R,9:30 am - 10:45am,BUCHN1940
POL S 7,61572,W,8:00 am - 8:50 am,GIRV 1108
POL S 7,61580,W,9:00 am - 9:50 am,PHELP1440
POL S 7,61598,F,4:00pm - 4:50pm,HSSB 4201
POL S 7,61606,R,1:00pm - 1:50pm,HSSB 3202
POL S 7,61614,R,2:00pm - 2:50pm,HSSB 4201
POL S 7,61622,M,7:00pm - 7:50pm,HSSB 2201
POL S 12,MEYER-GUTBROD,M W,9:30 am - 10:45am,HFH 1104
POL S 12,43505,T,12:00pm - 12:50pm,PHELP3523
POL S 12,43513,T,5:00pm - 5:50pm,HSSB 3201
POL S 12,43521,T,8:00 am - 8:50 am,HSSB 4201
POL S 12,43539,T,1:00pm - 1:50pm,HSSB 1215
POL S 12,43547,M,8:00 am - 8:50 am,GIRV 1108
POL S 12,43554,R,4:00pm - 4:50pm,PHELP1445
POL S 12,43562,W,8:00 am - 8:50 am,HSSB 4202
POL S 12,43570,R,8:00 am - 8:50 am,HSSB 2201
POL S 12,43588,F,8:00 am - 8:50 am,HSSB 2201
POL S 15,MAHDAVI P,T R,11:00am - 12:15pm,IV THEA2
POL S 15,43638,W,3:00pm - 3:50pm,SSMS 1301
POL S 15,43646,W,4:00pm - 4:50pm,SSMS 1302
POL S 15,43653,R,10:00am - 10:50am,SSMS 1301
POL S 15,43661,R,8:00 am - 8:50 am,SSMS 1301
POL S 15,43679,R,9:00 am - 9:50 am,SSMS 1301
POL S 15,43687,W,5:00pm - 5:50pm,SSMS 1303
POL S 15,60020,T,2:00pm - 2:50pm,PHELP1525
POL S 15,60038,T,3:00pm - 3:50pm,PHELP1525
POL S 15,60046,T,4:00pm - 4:50pm,PHELP1525
POL S 99,T B A,,,T B A
POL S 106CP,RIVAS PINEDA,M W,12:30pm - 1:45pm,PHELP2532
POL S 106MO,COHEN B J,M W,3:30pm - 4:45pm,PHELP3505
POL S 106MO,61705,F,4:00pm - 4:50pm,GIRV 1108
POL S 106MO,61713,T,1:00pm - 1:50pm,HSSB 1224
POL S 106MO,61721,T,2:00pm - 2:50pm,LSB 1101
POL S 106PK,NOMIKOS G G,M W,2:00pm - 3:15pm,PHELP1440
POL S 116,ALLEN G,T R,5:00pm - 6:15pm,PHELP1448
POL S 127,STRATHMAN B A,T R,3:30pm - 4:45pm,GIRV 1004
POL S 127,60079,W,9:00 am - 9:50 am,GIRV 2108
POL S 127,60087,F,8:00 am - 8:50 am,HSSB 1237
POL S 127,60095,F,4:00pm - 4:50pm,HSSB 1236
POL S 127,60103,M,8:00 am - 8:50 am,HSSB 1237
POL S 127,60111,M,7:00pm - 7:50pm,HSSB 1237
POL S 127,60129,F,3:00pm - 3:50pm,HSSB 1233
POL S 127,60137,F,2:00pm - 2:50pm,GIRV 2124
POL S 127,60145,W,4:00pm - 4:50pm,HSSB 1236
POL S 127,60152,W,5:00pm - 5:50pm,HSSB 1223
POL S 135,FREEMAN L A,M W,2:00pm - 3:15pm,PHELP2516
POL S 135,43877,W,5:00pm - 5:50pm,HSSB 1210
POL S 135,43885,W,4:00pm - 4:50pm,HSSB 1233
POL S 135,43893,W,6:00pm - 6:50pm,HSSB 4201
POL S 141,COGGINS B L,T R,2:00pm - 3:15pm,TD-W 2600
POL S 141,60186,M,6:00pm - 6:50pm,GIRV 1108
POL S 141,60194,W,4:00pm - 4:50pm,HSSB 1232
POL S 141,60202,W,5:00pm - 5:50pm,HSSB 1207
POL S 142,STRATHMAN B A,M W,11:00am - 12:15pm,PHELP1440
POL S 143,KAPLAN C S,T R,11:00am - 12:15pm,PHELP2516
POL S 143,61663,M,7:00pm - 7:50pm,GIRV 1108
POL S 143,61671,F,10:00am - 10:50am,HSSB 1207
POL S 143,61689,F,11:00am - 11:50am,HSSB 1214
POL S 161,LIEN P,M W,3:30pm - 4:45pm,CHEM 1171
