courseID,enrollCode,days,time,loction
PORT 2,T B AFU C||MARQUES-PASCU||,MTWR,11:00am - 11:50am,GIRV 2115
PORT 2,T B AFU C||MARQUES-PASCU||CRAVEIRO DE M||MARQUES-PASCU||,MTWR,10:00am - 10:50am,NH 1111
PORT 5,T B AFU C||MARQUES-PASCU||CRAVEIRO DE M||MARQUES-PASCU||DE BRITO E SO||MARQUES-PASCU||,MTWR,1:00pm - 1:50pm,PHELP1508
PORT 16A,LINO P S,MTWR,1:00pm - 1:50pm,HSSB 1232
PORT 102B,LINO P S,M W,9:30 am - 10:45am,GIRV 1108
PORT 106A,OLIVER E V,T R,2:00pm - 3:15pm,PHELP3206
PORT 106B,OLIVER E V,T R,3:30pm - 4:45pm,PHELP3206
PORT 125B,LINO P S,M W,11:00am - 12:15pm,GIRV 1108
PORT 195,T B A,,,T B A
PORT 199,T B A,,,T B A
