courseID,enrollCode,days,time,loction
PSY 1,ETTENBERG A,T R,12:30pm - 1:45pm,CAMPBHALL
PSY 1,62489,T,8:00 am - 9:15 am,GIRV 1112
PSY 1,62497,T,9:30 am - 10:45am,PHELP2524
PSY 1,62505,T,9:30 am - 10:45am,ARTS 1356
PSY 1,62513,T,11:00am - 12:15pm,ARTS 1356
PSY 1,62521,T,5:00pm - 6:15pm,387 1011
PSY 1,62539,R,5:00pm - 6:15pm,PHELP1440
PSY 1,62547,T,3:30pm - 4:45pm,ARTS 1353
PSY 1,62554,T,5:00pm - 6:15pm,ARTS 1349
PSY 1,62562,W,8:00 am - 9:15 am,GIRV 1119
PSY 1,62570,R,6:30pm - 7:45pm,NH 1111
PSY 1,62588,T,11:00am - 12:15pm,GIRV 2124
PSY 1,62596,W,11:00am - 12:15pm,PHELP3505
PSY 1,62604,W,11:00am - 12:15pm,GIRV 2129
PSY 1,62612,W,2:00pm - 3:15pm,TD-W 2600
PSY 1,62620,W,3:30pm - 4:45pm,ARTS 1349
PSY 1,62638,W,5:00pm - 6:15pm,ARTS 1353
PSY 1,62646,R,8:00 am - 9:15 am,GIRV 1112
PSY 1,62653,R,9:30 am - 10:45am,PHELP2524
PSY 1,62661,R,9:30 am - 10:45am,ARTS 1356
PSY 1,62679,R,11:00am - 12:15pm,ARTS 1356
PSY 1,62687,W,8:00 am - 9:15 am,GIRV 1115
PSY 1,62695,R,8:00 am - 9:15 am,GIRV 1115
PSY 1,62703,R,3:30pm - 4:45pm,PHELP2516
PSY 1,62711,R,3:30pm - 4:45pm,ARTS 1353
PSY 10A,ALBADA N A,M W,8:00 am - 9:15 am,NH 1006
PSY 10A,46649,W,10:00am - 11:50am,PSY-E2822
PSY 10A,46656,W,12:00pm - 1:50pm,PSY-E2822
PSY 10A,46664,R,9:00 am - 10:50am,PSY-E2822
PSY 10A,53314,R,1:00pm - 2:50pm,PSY-E2822
PSY 10A,53322,R,5:00pm - 6:50pm,PSY-E2822
PSY 10A,ALBADA N A,M W,11:00am - 12:15pm,PHELP3515
PSY 10A,53587,W,4:00pm - 5:50pm,PSY-E2822
PSY 10A,56739,R,11:00am - 12:50pm,PSY-E2822
PSY 10A,56747,R,3:00pm - 4:50pm,PSY-E2822
PSY 10B,HONG Y,T R,8:00 am - 9:15 am,IV THEA2
PSY 10B,46680,R,11:00am - 12:50pm,PHELP1513
PSY 10B,46698,R,1:00pm - 2:50pm,PHELP1525
PSY 10B,46706,R,3:00pm - 4:50pm,PHELP1518
PSY 10B,53439,R,5:00pm - 6:50pm,PHELP1518
PSY 10B,53447,F,9:00 am - 10:50am,PHELP1518
PSY 10B,ALBADA N A,T R,9:30 am - 10:45am,NH 1006
PSY 10B,53645,R,11:00am - 12:50pm,PHELP1525
PSY 10B,53652,R,3:00pm - 4:50pm,PHELP1525
PSY 10B,53660,R,1:00pm - 2:50pm,PSY-E1806
PSY 10B,56754,F,9:00 am - 10:50am,PHELP1525
PSY 90B,CONROY-BEAM D,M,11:00am - 12:50pm,PSY-E1312
PSY 99,T B A,,,T B A
PSY 99P,T B A,,,T B A
PSY 101,SHERMAN D A,T R,2:00pm - 3:15pm,IV THEA2
PSY 105,LIBERMAN Z E,T R,12:30pm - 1:45pm,BUCHN1910
PSY 106,THAYER B S,M W,3:30pm - 4:45pm,HFH 1104
PSY 111,THAYER B SWOODS V E||PADILLA-GARCI||,M W,11:00am - 12:15pm,BUCHN1920
PSY 113L,JANUSONIS S,F,9:00 am - 10:50am,CHEM 1171
PSY 113L,54015,T,1:00pm - 3:50pm,PSY-E1806
PSY 113L,54023,T,1:00pm - 3:50pm,
PSY 113L,54031,W,10:00am - 12:50pm,PHELP1517
PSY 113L,54049,R,10:00am - 12:50pm,PSY-E1806
PSY 116,KEIFLIN R P,M W,12:30pm - 1:45pm,PSYCH1902
PSY 120L,WOODS V E,M,2:00pm - 3:50pm,TD-W 1701
PSY 120L,46813,T,9:00 am - 11:50am,PHELP1513
PSY 120L,46821,T,12:00pm - 2:50pm,PHELP1513
PSY 120L,46839,T,3:00pm - 5:50pm,PHELP1513
PSY 120L,46847,W,9:00 am - 11:50am,PHELP1513
PSY 120L,46854,W,12:00pm - 2:50pm,PSY-E1805
PSY 120L,46862,R,3:00pm - 5:50pm,PSY-E1806
PSY 124,MAYER R E,M W,2:00pm - 3:15pm,GIRV 1004
PSY 129L,ECKSTEIN M P,M W,10:00am - 10:50am,PSY-E3834
PSY 129L,46896,W,3:00pm - 5:50pm,PSY-E1805
PSY 129L,46904,W,3:00pm - 5:50pm,PSY-E1806
PSY 134,SZUMLINSKI K,T R,9:30 am - 10:45am,LSB 1001
PSY 137,JACOBS E,T R,12:30pm - 1:45pm,TD-W 1701
PSY 138L,KIPPIN T E,M,1:00pm - 2:50pm,PHELP1425
PSY 138L,46946,T,1:00pm - 3:50pm,PSYCH3113
PSY 138L,46953,W,1:00pm - 3:50pm,PSYCH3113
PSY 139,MACKIE D M,M W,3:30pm - 4:45pm,IV THEA2
PSY 142,COSMIDES L,T,5:00pm - 7:50pm,BUCHN1920
PSY 147,MAJOR B N,T R,2:00pm - 3:15pm,NH 1006
PSY 155L,RONEY J R,M,9:00 am - 10:50am,GIRV 2115
PSY 155L,54122,T,1:00pm - 3:50pm,PSY-E2822
PSY 155L,54130,T,4:00pm - 6:50pm,PSY-E2822
PSY 160SK,KLEIN S B,M,5:00pm - 7:50pm,BIOEN1001
PSY 163EJ,JACOBS E,F,9:00 am - 11:50am,BRDA 1640
PSY 163SJ,JANUSONIS S,M W,12:30pm - 1:45pm,IV THEA2
PSY 197B,T B A,,,T B A
