courseID,enrollCode,days,time,loction
SPAN 1,CENICEROS R C,MTWR,10:00am - 10:50am,PHELP2536
SPAN 1,CENICEROS R CZENTENO J I||MARQUES-PASCU||,MTWR,9:00 am - 9:50 am,HSSB 1232
SPAN 1,CENICEROS R CZENTENO J I||MARQUES-PASCU||ANDUGAR SOUSA||MARQUES-PASCU||,MTWR,8:00 am - 8:50 am,GIRV 2123
SPAN 2,FIGUEREDO O O,MTWR,9:00 am - 9:50 am,HSSB 1236
SPAN 2,FIGUEREDO O OMUSSELMAN J R||MARQUES-PASCU||,MTWR,3:00pm - 3:50pm,GIRV 2123
SPAN 2,FIGUEREDO O O,MTWR,10:00am - 10:50am,SH 1609
SPAN 2,CENICEROS R C,MTWR,9:00 am - 9:50 am,NH 1111
SPAN 2,CENICEROS R C,MTWR,12:00pm - 12:50pm,SH 1609
SPAN 2,CENICEROS R CCHAFFIN B M||MARQUES-PASCU||,MTWR,9:00 am - 9:50 am,HSSB 1233
SPAN 2,CENICEROS R CCHAFFIN B M||MARQUES-PASCU||GOMEZ J P||MARQUES-PASCU||,MTWR,8:00 am - 8:50 am,PHELP1508
SPAN 2,T B A,,,T B A
SPAN 3,T B APADILLA M||MARQUES-PASCU||,MTWR,11:00am - 11:50am,GIRV 2116
SPAN 3,T B APADILLA M||MARQUES-PASCU||DE FRUTOS GAR||MARQUES-PASCU||,MTWR,9:00 am - 9:50 am,HSSB 1237
SPAN 3,T B APADILLA M||MARQUES-PASCU||DE FRUTOS GAR||MARQUES-PASCU||PENA J||MARQUES-PASCU||,MTWR,1:00pm - 1:50pm,PHELP2536
SPAN 3,T B APADILLA M||MARQUES-PASCU||DE FRUTOS GAR||MARQUES-PASCU||PENA J||MARQUES-PASCU||LOPEZ VERA A||MARQUES-PASCU||,MTWR,2:00pm - 2:50pm,HSSB 1232
SPAN 3HY,CANTO CARRILL,M W F,8:00 am - 8:50 am,PHELP1530
SPAN 4,CANTO CARRILLBARRY C M||MARQUES-PASCU||,MTWR,2:00pm - 2:50pm,GIRV 2115
SPAN 4,FIGUEREDO O O,MTWR,12:00pm - 12:50pm,HSSB 2251
SPAN 5,FIGUEREDO O OALBUQUERQUE J||MARQUES-PASCU||,MTWR,9:00 am - 9:50 am,HSSB 1231
SPAN 5,FERNANDEZ L,MTWR,10:00am - 10:50am,HSSB 2251
SPAN 5,FERNANDEZ L,MTWR,12:00pm - 12:50pm,HSSB 1237
SPAN 6,FERNANDEZ LGUILLEN A D||MARQUES-PASCU||,MTWR,9:00 am - 9:50 am,HSSB 1228
SPAN 6,FERNANDEZ LGUILLEN A D||MARQUES-PASCU||CONSTENLA TOR||MARQUES-PASCU||,MTWR,10:00am - 10:50am,HSSB 1237
SPAN 16A,CANTO CARRILL,M W F,9:30 am - 10:45am,BUCHN1934
SPAN 16A,CANTO CARRILL,M W F,11:00am - 12:15pm,BUCHN1934
SPAN 16B,GONZALES-SMIT,M W,1:00pm - 2:50pm,PHELP1513
SPAN 16B,GONZALES-SMIT,M W,3:00pm - 4:50pm,PHELP1518
SPAN 25,GONZALES-SMITBROWN J R||MARQUES-PASCU||,M W F,11:00am - 12:15pm,HSSB 1224
SPAN 25,GONZALES-SMITBROWN J R||MARQUES-PASCU||AGUILAR M||MARQUES-PASCU||,M W F,8:00 am - 9:15 am,HSSB 3201
SPAN 30,GONZALES-SMIT,M W,11:00am - 12:15pm,SH 1430
SPAN 30,49932,W,3:00pm - 3:50pm,GIRV 2116
SPAN 30,49940,R,5:00pm - 5:50pm,SH 1609
SPAN 100,ALVES FERREIR,M W,12:30pm - 1:45pm,PHELP3505
SPAN 109,MARQUES-PASCU,T R,3:30pm - 4:45pm,PHELP2532
SPAN 110B,CORTIJO A,R,2:00pm - 4:50pm,HSSB 3201
SPAN 111B,CASTILLO J L,M W,9:30 am - 10:45am,PHELP2516
SPAN 120B,MCCRACKEN E,M W,9:30 am - 10:45am,PHELP2524
SPAN 130,CASTILLO J L,M W,11:00am - 12:15pm,PHELP2532
SPAN 138,POOT-HERRERA,T R,9:30 am - 10:45am,SH 1430
SPAN 139,MCCRACKEN E,M W,12:30pm - 1:45pm,387 1015
SPAN 141,POOT-HERRERA,T R,11:00am - 12:15pm,SH 1430
SPAN 151B,T B A,T R,2:00pm - 3:15pm,GIRV 1108
SPAN 152,GRASSET MOREL,T R,9:30 am - 10:45am,PHELP1160
SPAN W 154A,ARRANZ OTAEGU,,,T B A
SPAN 154B,ARRANZ OTAEGU,T R,11:00am - 12:15pm,GIRV 1119
SPAN 169,LUPI J P,M W,2:00pm - 3:15pm,SH 1430
SPAN 177,LUPI J P,M W,3:30pm - 4:45pm,SH 1430
SPAN 183IA,ARRANZ OTAEGU,T R,12:30pm - 1:45pm,GIRV 2124
SPAN 186FL,MARQUES-PASCU,T R,12:30pm - 1:45pm,PHELP2532
SPAN 195,T B A,,,T B A
SPAN 196,T B A,,,T B A
SPAN 199,T B A,,,T B A
