courseID,enrollCode,days,time,loction
PSTAT 5A,SWENSON J S,M W F,9:00 am - 9:50 am,MUSICLLCH
PSTAT 5A,44636,W,8:00 am - 8:50 am,SSMS 1301
PSTAT 5A,,F,8:00 am - 8:50 am,SSMS 1301
PSTAT 5A,44644,M,1:00pm - 1:50pm,SSMS 1304
PSTAT 5A,,W,1:00pm - 1:50pm,SSMS 1304
PSTAT 5A,44651,T,7:00pm - 7:50pm,SSMS 1302
PSTAT 5A,,R,7:00pm - 7:50pm,SSMS 1302
PSTAT 5A,44669,M W,12:00pm - 12:50pm,PHELP1513
PSTAT 5A,44677,T R,4:00pm - 4:50pm,PSY-E1805
PSTAT 5A,44685,T,7:00pm - 7:50pm,SSMS 1301
PSTAT 5A,,R,7:00pm - 7:50pm,SSMS 1301
PSTAT 5A,44693,M,7:00pm - 7:50pm,SSMS 1304
PSTAT 5A,,W,7:00pm - 7:50pm,SSMS 1304
PSTAT 5A,44701,T,8:00 am - 8:50 am,SSMS 1303
PSTAT 5A,,R,8:00 am - 8:50 am,SSMS 1303
PSTAT 5A,44719,T,3:00pm - 3:50pm,PHELP1526
PSTAT 5A,,R,3:00pm - 3:50pm,PHELP1526
PSTAT 5A,44727,M,1:00pm - 1:50pm,SSMS 1303
PSTAT 5A,,W,1:00pm - 1:50pm,SSMS 1303
PSTAT 5A,44735,T,4:00pm - 4:50pm,PHELP1526
PSTAT 5A,,R,4:00pm - 4:50pm,PHELP1526
PSTAT 5A,44743,M,2:00pm - 2:50pm,SSMS 1303
PSTAT 5A,,W,2:00pm - 2:50pm,SSMS 1303
PSTAT 5A,44750,T,4:00pm - 4:50pm,PHELP1529
PSTAT 5A,,R,4:00pm - 4:50pm,PHELP1529
PSTAT 5A,44768,T,5:00pm - 5:50pm,PHELP1525
PSTAT 5A,,R,5:00pm - 5:50pm,PHELP1525
PSTAT 5A,44776,T,8:00 am - 8:50 am,SSMS 1302
PSTAT 5A,,R,8:00 am - 8:50 am,SSMS 1302
PSTAT 5A,44784,T,6:00pm - 6:50pm,SSMS 1302
PSTAT 5A,,R,6:00pm - 6:50pm,SSMS 1302
PSTAT 5A,44792,T,5:00pm - 5:50pm,SSMS 1303
PSTAT 5A,,R,5:00pm - 5:50pm,SSMS 1301
PSTAT 5A,44800,M,10:00am - 10:50am,SSMS 1303
PSTAT 5A,,W,10:00am - 10:50am,SSMS 1303
PSTAT 5H,SWENSON J S,W,5:00pm - 5:50pm,PHELP1444
PSTAT 5LS,SWENSON J S,M W F,8:00 am - 8:50 am,MUSICLLCH
PSTAT 5LS,52944,M W,12:00pm - 12:50pm,SSMS 1304
PSTAT 5LS,52951,M W,1:00pm - 1:50pm,PHELP1514
PSTAT 5LS,52969,M W,2:00pm - 2:50pm,PHELP1518
PSTAT 5LS,52977,M W,3:00pm - 3:50pm,SSMS 1303
PSTAT 5LS,52985,M W,5:00pm - 5:50pm,PHELP1513
PSTAT 5LS,52993,T R,9:00 am - 9:50 am,SSMS 1302
PSTAT 5LS,53009,T R,10:00am - 10:50am,SSMS 1302
PSTAT 5LS,53017,T R,2:00pm - 2:50pm,SSMS 1007
PSTAT 5LS,53025,T R,5:00pm - 5:50pm,SSMS 1007
PSTAT 5LS,53033,T R,6:00pm - 6:50pm,SSMS 1007
PSTAT 5LS,53041,M W,5:00pm - 5:50pm,SSMS 1007
PSTAT 5LS,53058,M W,9:00 am - 9:50 am,PHELP1526
PSTAT 10,HOLMES D E,M W F,11:00am - 11:50am,IV THEA1
PSTAT 10,53090,T R,9:00 am - 9:50 am,PHELP1526
PSTAT 10,53108,T R,9:00 am - 9:50 am,PSY-E1806
PSTAT 10,53116,T R,11:00am - 11:50am,SSMS 1301
PSTAT 10,53124,T R,1:00pm - 1:50pm,SSMS 1301
PSTAT 10,53132,T R,2:00pm - 2:50pm,PHELP1526
PSTAT 10,53140,T R,5:00pm - 5:50pm,SSMS 1304
PSTAT 10,53157,M W,3:00pm - 3:50pm,SSMS 1302
PSTAT 10,53165,M W,1:00pm - 1:50pm,PHELP1526
PSTAT 10,53173,M W,2:00pm - 2:50pm,PSY-E1806
PSTAT 10,53181,M W,2:00pm - 2:50pm,SSMS 1304
PSTAT 10,53199,M W,5:00pm - 5:50pm,SSMS 1302
PSTAT 10,53207,M W,7:00pm - 7:50pm,SSMS 1301
PSTAT 10,79988,T R,1:00pm - 1:50pm,SSMS 1302
PSTAT 99,T B A,,,T B A
PSTAT 109,NAVA M M,M W F,8:00 am - 8:50 am,BRDA 1610
PSTAT 109,44867,M,7:00pm - 7:50pm,SSMS 1303
PSTAT 109,,W,7:00pm - 7:50pm,SSMS 1303
PSTAT 109,44875,M,5:00pm - 5:50pm,SSMS 1301
PSTAT 109,,W,5:00pm - 5:50pm,PHELP1526
PSTAT 109,44883,W,12:00pm - 12:50pm,SSMS 1303
PSTAT 109,,F,12:00pm - 12:50pm,PHELP1526
PSTAT 109,44891,M,11:00am - 11:50am,SSMS 1303
PSTAT 109,,W,11:00am - 11:50am,SSMS 1303
PSTAT 109,44909,M,4:00pm - 4:50pm,SSMS 1302
PSTAT 109,,W,4:00pm - 4:50pm,SSMS 1301
PSTAT 109,44917,T,3:00pm - 3:50pm,SSMS 1007
PSTAT 109,,R,3:00pm - 3:50pm,SSMS 1007
PSTAT 109,44925,M,7:00pm - 7:50pm,SSMS 1302
PSTAT 109,,W,7:00pm - 7:50pm,SSMS 1302
PSTAT 109,44933,T,5:00pm - 5:50pm,SSMS 1301
PSTAT 109,,R,5:00pm - 5:50pm,SSMS 1302
PSTAT 109,44941,T,6:00pm - 6:50pm,SSMS 1301
PSTAT 109,,R,6:00pm - 6:50pm,SSMS 1301
PSTAT 109,44958,T,5:00pm - 5:50pm,SSMS 1302
PSTAT 109,,R,5:00pm - 5:50pm,PHELP1526
PSTAT 109,44966,T,3:00pm - 3:50pm,PHELP1514
PSTAT 109,,R,3:00pm - 3:50pm,PHELP1514
PSTAT 120A,LI ZHIJIAN,W F,12:30pm - 1:45pm,SH 1431
PSTAT 120A,44982,W,4:00pm - 4:50pm,GIRV 2123
PSTAT 120A,44990,R,9:00 am - 9:50 am,PHELP3523
PSTAT 120A,45005,R,10:00am - 10:50am,HSSB 3202
PSTAT 120A,45013,W,5:00pm - 5:50pm,NH 1109
PSTAT 120A,LI ZHIJIAN,T R,5:00pm - 6:15pm,BIOEN1001
PSTAT 120A,45047,M,4:00pm - 4:50pm,HSSB 1237
PSTAT 120A,45054,F,9:00 am - 9:50 am,HSSB 1236
PSTAT 120A,45062,M,2:00pm - 2:50pm,GIRV 2116
PSTAT 120A,45070,T,8:00 am - 8:50 am,GIRV 2112
PSTAT 120A,CHEN T,M W,12:30pm - 1:45pm,BUCHN1930
PSTAT 120A,45104,T,11:00am - 11:50am,PHELP1508
PSTAT 120A,45112,T,4:00pm - 4:50pm,PHELP2516
PSTAT 120A,45120,M,3:00pm - 3:50pm,HSSB 1215
PSTAT 120A,45138,M,7:00pm - 7:50pm,HSSB 1233
PSTAT 120A,SHATSKIKH E,T R,2:00pm - 3:15pm,BUCHN1930
PSTAT 120A,53355,W,10:00am - 10:50am,HSSB 3202
PSTAT 120A,53363,W,3:00pm - 3:50pm,NH 1109
PSTAT 120A,53371,T,5:00pm - 5:50pm,GIRV 2123
PSTAT 120A,53389,T,6:00pm - 6:50pm,GIRV 2119
PSTAT 120B,BAPAT S R,M W,11:00am - 12:15pm,NH 1006
PSTAT 120B,45161,T,4:00pm - 4:50pm,ARTS 1356
PSTAT 120B,45179,W,8:00 am - 8:50 am,GIRV 2116
PSTAT 120B,45187,T,8:00 am - 8:50 am,HSSB 2251
PSTAT 120B,45195,M,5:00pm - 5:50pm,HSSB 1233
PSTAT 120B,45203,M,4:00pm - 4:50pm,HSSB 1236
PSTAT 120B,ROY T,M W,2:00pm - 3:15pm,BUCHN1940
PSTAT 120B,45229,M,5:00pm - 5:50pm,HSSB 1232
PSTAT 120B,45237,M,4:00pm - 4:50pm,HSSB 1233
PSTAT 120B,45245,T,4:00pm - 4:50pm,PHELP3519
PSTAT 120B,45252,T,5:00pm - 5:50pm,GIRV 2120
PSTAT 120B,81091,T,11:00am - 11:50am,HSSB 1231
PSTAT 120C,CARTER A V,W F,8:00 am - 9:15 am,TD-W 1701
PSTAT 120C,45286,F,1:00pm - 1:50pm,HSSB 1232
PSTAT 120C,45294,M,9:00 am - 9:50 am,GIRV 1116
PSTAT 120C,45302,M,12:00pm - 12:50pm,PHELP3519
PSTAT 120C,45310,R,6:00pm - 6:50pm,PHELP2536
PSTAT 122,ROY T,M W,11:00am - 11:50am,ICA 1003
PSTAT 122,45336,W,2:00pm - 2:50pm,SSMS 1302
PSTAT 122,45344,W,6:00pm - 6:50pm,SSMS 1007
PSTAT 122,45351,R,2:00pm - 2:50pm,SSMS 1302
PSTAT 122,45369,R,5:00pm - 5:50pm,SSMS 1303
PSTAT 126,MYUNG JIYOUN,T R,11:00am - 12:15pm,NH 1006
PSTAT 126,45443,R,2:00pm - 2:50pm,SSMS 1301
PSTAT 126,45450,F,9:00 am - 9:50 am,SSMS 1302
PSTAT 126,45468,F,10:00am - 10:50am,SSMS 1302
PSTAT 126,45476,F,12:00pm - 12:50pm,SSMS 1302
PSTAT 126,45484,M,6:00pm - 6:50pm,SSMS 1301
PSTAT 127,PETERSEN A M,T R,2:00pm - 3:15pm,PHELP3515
PSTAT 127,45500,W,6:00pm - 6:50pm,SSMS 1302
PSTAT 127,45518,W,5:00pm - 5:50pm,SSMS 1301
PSTAT 127,79566,T,1:00pm - 1:50pm,SSMS 1304
PSTAT 130,KLOKE J,M,9:30 am - 10:45am,SSMS 1301&
PSTAT 130,,W,9:30 am - 10:45am,SSMS 1301&
PSTAT 130,45534,M,11:00am - 11:50am,PHELP1513
PSTAT 130,45542,T,10:00am - 10:50am,SSMS 1301
PSTAT 130,KLOKE J,M,12:30pm - 1:45pm,SSMS 1301
PSTAT 130,,W,12:30pm - 1:45pm,SSMS 1302
PSTAT 130,45567,T,3:00pm - 3:50pm,SSMS 1304
PSTAT 130,45575,W,10:00am - 10:50am,SSMS 1304
PSTAT 131,OH SANG-YUN,T R,11:00am - 12:15pm,CHEM 1171
PSTAT 131,45591,R,6:00pm - 6:50pm,SSMS 1303
PSTAT 131,45609,F,9:00 am - 9:50 am,SSMS 1303
PSTAT 131,45617,F,11:00am - 11:50am,SSMS 1302
