courseID,enrollCode,days,time,loction
THTR 1,JORGENSEN E M,T R,3:30pm - 4:45pm,TD-W 1701
THTR 1,50229,T,2:00pm - 2:50pm,PHELP3523
THTR 1,50237,R,2:00pm - 2:50pm,PHELP3523
THTR 1,50245,T,9:00 am - 9:50 am,GIRV 2112
THTR 1,50252,R,9:00 am - 9:50 am,387 1015
THTR 5,CLAVERIA A J,M W,1:00pm - 2:50pm,TD-E 1101
THTR 5,CLAVERIA A J,T R,10:00am - 11:50am,TD-W 1703
THTR 5,CLAVERIA A J,T R,12:00pm - 1:50pm,TD-W 1703
THTR 5,PLASENCIA M,T R,9:00 am - 10:50am,TD-E 1101
THTR 5,PLASENCIA M,T R,12:00pm - 1:50pm,HSSB 1143
THTR 5,VALADEZ J V,M W,10:00am - 11:50am,HSSB 1143
THTR 5,VALADEZ J V,M W,12:00pm - 1:50pm,HSSB 1143
THTR 10B,STEIN D A,M W,2:00pm - 3:15pm,HSSB 1143
THTR 11B,MORGAN M,M W,11:00am - 12:15pm,TD-W 1507
THTR 15B,WHITAKER T O,T,11:00am - 12:50pm,TD-W 1507
THTR 15B,,R,11:00am - 1:50pm,TD-W 1507
THTR 23,SCOTT V,T R,11:00am - 12:50pm,TD-W 1530
THTR 25,BRUICE A M,T R,1:00pm - 2:50pm,TD-W 1530
THTR 29A,SCOTT V,T R,1:00pm - 2:50pm,TD-E 1119
THTR 29A,SCOTT V,T R,3:00pm - 4:50pm,TD-E 1119
THTR 29B,SCOTT V,T R,1:00pm - 2:50pm,TD-E 1119
THTR 29B,SCOTT V,T R,3:00pm - 4:50pm,TD-E 1119
THTR 29C,SCOTT V,T R,1:00pm - 2:50pm,TD-E 1313
THTR 29C,SCOTT V,T R,3:00pm - 4:50pm,TD-E 1313
THTR 29D,T B A,,,T B A
THTR 40,BERNARD M A,M W,9:00 am - 10:50am,TD-W 1703
THTR 42,ALBANESE A E,T,10:00am - 10:50am,TD-E 2609
THTR 42,,F,6:00pm - 11:50pm,EMBARHALL
THTR 49,T B A,,,T B A
THTR 104A,MORTON C,T R,11:00am - 12:50pm,HSSB 1105
THTR 110B,STEIN D A,M W,11:00am - 12:50pm,TD-E 1101
THTR 111B,MORGAN M,M W,9:30 am - 10:45am,TD-W 1507
THTR 122,MITCHELL G M,T R,1:00pm - 2:50pm,TD-W 1530
THTR 140A,BERNARD M A,M W,11:00am - 12:50pm,TD-W 1703
THTR 142,ALBANESE A E,T,10:00am - 10:50am,TD-E 2609
THTR 142,,F,6:00pm - 11:50pm,EMBARHALL
THTR 149,T B A,,,T B A
THTR 151B,FISHELL J K,T,2:00pm - 4:50pm,TD-W 1507
THTR 151B,,R,3:00pm - 4:50pm,TD-W 1507
THTR 151D,APPEL I J,M W F,1:00pm - 2:50pm,TD-W 1507
THTR 151S,STEIN D A,T R,11:00am - 1:50pm,TD-E 1101
THTR 152B,BRAININ R,M W,3:00pm - 4:50pm,TD-E 1101
THTR 152E,FISHELL J K,M W,6:00pm - 7:50pm,HSSB 1105
THTR 153P,T B A,,,T B A
THTR 160C,MORGAN M,M W,2:00pm - 3:50pm,TD-W 1703
THTR 170A,STANFORD H S,T R,9:00 am - 10:50am,HSSB 1143
THTR 181B,WILLIAMS S,M W,8:00 am - 9:15 am,TD-W 2517
THTR 182A,ARVAS A,T R,2:00pm - 3:15pm,PHELP1425
THTR 183EA,NAKAMURA J C,T R,3:30pm - 4:45pm,TD-E 1101
THTR 185MX,HELLIER-TINOC,T,2:00pm - 4:50pm,HSSB 1143
THTR 188S,ARVAS A,T R,12:30pm - 1:45pm,PHELP1425
THTR 188ST,REMMEN C N,T R,8:00 am - 9:15 am,ARTS 1353
THTR 190,T B A,,,T B A
THTR 193H,T B A,,,T B A
THTR 193HB,T B A,,,T B A
THTR 194A,MCCARTHY C R,M W F,3:00pm - 3:50pm,TD-W 1507
THTR 195P,T B A,,,T B A
THTR 196,T B ASCOTT V||BRUICE A M||,R,5:00pm - 6:50pm,HSSB 1105
THTR 199,T B A,,,T B A
