courseID,enrollCode,days,time,loction
WRIT 1,SMITH K A,M W,3:00pm - 4:50pm,HSSB 1211
WRIT 1,WARWICK N L,M W,1:00pm - 2:50pm,PHELP1517
WRIT 1,ERNST B C,M W,11:00am - 12:50pm,PHELP1525
WRIT 1,SMITH K A,M W,1:00pm - 2:50pm,HSSB 1211
WRIT 1,CHENOWETH R C,M W,11:00am - 12:50pm,GIRV 2123
WRIT 2,DONELAN J H,M W,10:00am - 11:50am,PHELP1448
WRIT 2,DONELAN J HAQUINO M K||CONVERSE C W||,T R,12:00pm - 1:50pm,GIRV 2119
WRIT 2,BAILLARGEON K,M W,10:00am - 11:50am,PHELP1529
WRIT 2,CHENOWETH R C,T R,12:00pm - 1:50pm,LSB 1101
WRIT 2,SIMPSON E B,T R,12:00pm - 1:50pm,GIRV 2116
WRIT 2,WHITTET E O,M W,11:00am - 12:50pm,PHELP1526
WRIT 2,CHENOWETH R C,T R,10:00am - 11:50am,LSB 1101
WRIT 2,CHENOWETH R CSUN H||BROWNING R||,T R,10:00am - 11:50am,PHELP1526
WRIT 2,CHENOWETH R CSUN H||BROWNING R||SECULAR S J||HANSON J L||,M W,12:00pm - 1:50pm,NH 1109
WRIT 2,CHENOWETH R CSUN H||BROWNING R||SECULAR S J||HANSON J L||COLES A P||DEAN C W||,M W,4:00pm - 5:50pm,HSSB 1215
WRIT 2,CHENOWETH R CSUN H||BROWNING R||SECULAR S J||HANSON J L||COLES A P||DEAN C W||MINOR R H||EK A A||,T R,9:00 am - 10:50am,PHELP1525
WRIT 2,THOMAS C,M W,10:00am - 11:50am,PSY-E1805
WRIT 2,ERNST B C,M W,1:00pm - 2:50pm,PHELP1525
WRIT 2,ERNST B CSPRANDIO S R||BROWNING R||,M W,12:00pm - 1:50pm,GIRV 2127
WRIT 2,BROWN KARA,M W,1:00pm - 2:50pm,GIRV 2123
WRIT 2,ELION L K,T R,9:00 am - 10:50am,PHELP1530
WRIT 2,ELION L KBRAUNSTEIN E||DEAN C W||,T R,2:00pm - 3:50pm,HSSB 1237
WRIT 2,ELION L KBRAUNSTEIN E||DEAN C W||MURPHY C L||CONVERSE C W||,T R,12:00pm - 1:50pm,GIRV 2115
WRIT 2,ELION L KBRAUNSTEIN E||DEAN C W||MURPHY C L||CONVERSE C W||RUDOLPH A K||DEAN C W||,T R,2:00pm - 3:50pm,HSSB 1236
WRIT 2,WILLIAMS A M,M W,11:00am - 12:50pm,PHELP2514
WRIT 2,WILLIAMS A MNICHOLLS S B||EK A A||,T R,10:00am - 11:50am,GIRV 2123
WRIT 2,WILLIAMS A MNICHOLLS S B||EK A A||YAMBOLIEV K I||EK A A||,T R,8:00 am - 9:50 am,SH 1609
WRIT 2,WILLIAMS A MNICHOLLS S B||EK A A||YAMBOLIEV K I||EK A A||ARNOLD K A||BROWNING R||,M W,9:00 am - 10:50am,HSSB 1215
WRIT 2,WILLIAMS A MNICHOLLS S B||EK A A||YAMBOLIEV K I||EK A A||ARNOLD K A||BROWNING R||HANSON S E||HANSON J L||,M W,3:00pm - 4:50pm,PHELP1513
WRIT 2,WILLIAMS A MNICHOLLS S B||EK A A||YAMBOLIEV K I||EK A A||ARNOLD K A||BROWNING R||HANSON S E||HANSON J L||MORLAND P||DEAN C W||,M W,9:00 am - 10:50am,HSSB 1214
WRIT 2,WILLIAMS A MNICHOLLS S B||EK A A||YAMBOLIEV K I||EK A A||ARNOLD K A||BROWNING R||HANSON S E||HANSON J L||MORLAND P||DEAN C W||FEDOROVA M A||BROWNING R||,M W,8:00 am - 9:50 am,HSSB 1210
WRIT 2,WILLIAMS A MNICHOLLS S B||EK A A||YAMBOLIEV K I||EK A A||ARNOLD K A||BROWNING R||HANSON S E||HANSON J L||MORLAND P||DEAN C W||FEDOROVA M A||BROWNING R||MCINTOSH D G||EK A A||,M W,2:00pm - 3:50pm,PHELP1526
WRIT 2,WILLIAMS A MNICHOLLS S B||EK A A||YAMBOLIEV K I||EK A A||ARNOLD K A||BROWNING R||HANSON S E||HANSON J L||MORLAND P||DEAN C W||FEDOROVA M A||BROWNING R||MCINTOSH D G||EK A A||STROBEL N E||CONVERSE C W||,T R,1:00pm - 2:50pm,NH 1109
WRIT 2,WALLING O W,M W,9:00 am - 10:50am,PHELP1518
WRIT 2,WALLING O WJOHNSON JULIE||HANSON J L||,T R,8:00 am - 9:50 am,PHELP1517
WRIT 2,WALLING O WJOHNSON JULIE||HANSON J L||FERRARI S J||DEAN C W||,M W,4:00pm - 5:50pm,HSSB 1214
WRIT 2,WALLING O WJOHNSON JULIE||HANSON J L||FERRARI S J||DEAN C W||SNEDIKER T B||BROWNING R||,M W,11:00am - 12:50pm,SH 1432
