subjectName,courseID,lecOrSection,enrollCode,days,time,location
Anthropology,ANTH 2,1,HOELLE J A||SMYTH L M||WADE M L||,M W,2:00pm - 3:15pm,IV THEA1
Anthropology,ANTH 2,0,00026,W,8:00 am - 8:50 am,HSSB 1237
Anthropology,ANTH 2,0,00034,M,5:00pm - 5:50pm,HSSB 4201
Anthropology,ANTH 2,0,00042,R,8:00 am - 8:50 am,HSSB 1237
Anthropology,ANTH 2,0,00059,F,12:00pm - 12:50pm,HSSB 1232
Anthropology,ANTH 2,0,00067,T,2:00pm - 2:50pm,HSSB 1215
Anthropology,ANTH 2,0,00075,W,8:00 am - 8:50 am,HSSB 1236
Anthropology,ANTH 2,0,00083,W,5:00pm - 5:50pm,NH 1111
Anthropology,ANTH 2,0,00091,F,10:00am - 10:50am,NH 1111
Anthropology,ANTH 2,0,00109,T,4:00pm - 4:50pm,GIRV 2127
Anthropology,ANTH 2,0,00117,F,9:00 am - 9:50 am,HSSB 1227
Anthropology,ANTH 2,0,00125,T,8:00 am - 8:50 am,HSSB 1232
Anthropology,ANTH 2,0,00133,M,4:00pm - 4:50pm,HSSB 4202
Anthropology,ANTH 2,0,00141,F,8:00 am - 8:50 am,HSSB 1207
Anthropology,ANTH 2,0,00158,M,1:00pm - 1:50pm,GIRV 2115
Anthropology,ANTH 2,0,00166,M,9:00 am - 9:50 am,GIRV 2108
Anthropology,ANTH 2,0,00174,T,8:00 am - 8:50 am,HSSB 1231
Anthropology,ANTH 2,0,00182,R,8:00 am - 8:50 am,HSSB 1236
Anthropology,ANTH 2,0,00190,F,11:00am - 11:50am,HSSB 1232
Anthropology,ANTH 2,0,00208,F,9:00 am - 9:50 am,HSSB 1224
Anthropology,ANTH 2,0,00216,T,6:00pm - 6:50pm,HSSB 3202
Anthropology,ANTH 2,0,00224,R,4:00pm - 4:50pm,PHELP3519
Anthropology,ANTH 2,0,00232,R,5:00pm - 5:50pm,HSSB 4202
Anthropology,ANTH 7,1,TOOBY J,T R,5:00pm - 6:15pm,BRDA 1610
Anthropology,ANTH 7,0,00257,M,6:00pm - 6:50pm,LSB 1101
Anthropology,ANTH 7,0,00265,M,4:00pm - 4:50pm,GIRV 2116
Anthropology,ANTH 7,0,00273,M,2:00pm - 2:50pm,GIRV 2112
Anthropology,ANTH 7,0,00281,M,3:00pm - 3:50pm,GIRV 2116
Anthropology,ANTH 7,0,00299,W,5:00pm - 5:50pm,HSSB 1232
Anthropology,ANTH 7,0,00307,W,6:00pm - 6:50pm,LSB 1101
Anthropology,ANTH 7,0,55863,M,4:00pm - 4:50pm,HSSB 1228
Anthropology,ANTH 7,0,55871,F,10:00am - 10:50am,HSSB 1231
Anthropology,ANTH 7,0,55889,F,11:00am - 11:50am,SH 1609
Anthropology,ANTH 9,1,LAWSON D W,M W,3:30pm - 4:45pm,PHELP1525
Anthropology,ANTH 25,1,FRUHSTUCK S,T R,9:30 am - 10:45am,TD-W 2600
Anthropology,ANTH 25,0,64428,R,12:00pm - 12:50pm,HSSB 3202
Anthropology,ANTH 25,0,64436,R,1:00pm - 1:50pm,HSSB 1215
Anthropology,ANTH 25,0,64444,F,10:00am - 10:50am,HSSB 2201
Anthropology,ANTH 99,1,T B A,,,T B A
Anthropology,ANTH 100,1,GIDDING A D,M W,11:00am - 12:15pm,GIRV 2128
Anthropology,ANTH 112Z,1,WILSON G D,T R,9:30 am - 10:45am,PHELP1444
Anthropology,ANTH 129,1,SALDIVAR TANA,W,11:00am - 1:50pm,HSSB 2001A
Anthropology,ANTH 129MG,1,KRAFT T S,T R,12:30pm - 1:45pm,HSSB 5024
Anthropology,ANTH 131CA,1,JOHNSON J R,T R,11:00am - 12:15pm,HSSB 1173
Anthropology,ANTH 151T,1,GAULIN S J||AGEY E R||,T R,2:00pm - 3:15pm,BIOEN1001
Anthropology,ANTH 162,1,VANDERWARKER,M W,9:30 am - 10:45am,HSSB 2001A
Anthropology,ANTH 170,1,LAWSON D W,T R,3:30pm - 4:45pm,HSSB 2001A
Anthropology,ANTH 171,1,BODDY A M||ALAMI GOURAFT||,T R,9:30 am - 10:45am,BUCHN1930
Anthropology,ANTH 176B,1,BROOKS J F,M W,2:00pm - 3:15pm,PHELP1260
Anthropology,ANTH 178,1,VANDERWARKER,,,T B A
Anthropology,ANTH 180A,1,ANDERSON A S,T R,3:30pm - 4:45pm,HSSB 1021
Anthropology,ANTH 183,1,KENNETT D J,,,T B A
Anthropology,ANTH 183,1,HOELLE J A,,,T B A
Anthropology,ANTH 190,1,T B A,,,T B A
Anthropology,ANTH 194,1,VANDERWARKER,,,T B A
Anthropology,ANTH 194P,1,T B A,,,T B A
Anthropology,ANTH 195B,1,ALDANA G V,,,T B A
Anthropology,ANTH 195B,1,WILSON G D,,,T B A
Anthropology,ANTH 195B,1,VANDERWARKER,,,T B A
Anthropology,ANTH 195B,1,GAMBLE L H,,,T B A
Anthropology,ANTH 195C,1,BODDY A M,,,T B A
Anthropology,ANTH 195C,1,HARTHORN B H,,,T B A
Anthropology,ANTH 195C,1,FRUHSTUCK S,,,T B A
Anthropology,ANTH 195C,1,GAULIN S J,,,T B A
Anthropology,ANTH 195C,1,SMITH S T,,,T B A
Anthropology,ANTH 195C,1,GURVEN M D,,,T B A
Anthropology,ANTH 198,1,T B A,,,T B A
Anthropology,ANTH 199,1,T B A,,,T B A
Anthropology,ANTH 199RA,1,T B A,,,T B A
Art,ART 1A,1,TASCHIAN H J,T R,12:30pm - 1:45pm,PSYCH1924
Art,ART 1A,0,00828,W,10:00am - 10:50am,ARTS 1344
Art,ART 1A,0,00836,T,2:00pm - 2:50pm,ARTS 1344
Art,ART 1A,0,00844,W,11:00am - 11:50am,ARTS 1344
Art,ART 1A,0,00851,T,3:00pm - 3:50pm,ARTS 1344
Art,ART 7C,1,MULFINGER J,T,3:30pm - 4:45pm,HSSB 1173
Art,ART 7C,0,00877,M W,9:00 am - 10:50am,ARTS 1345
Art,ART 7C,0,,M W,9:00 am - 10:50am,ARTS 0645
Art,ART 7C,0,00885,M W,1:00pm - 2:50pm,ARTS 1345
Art,ART 7C,0,,M W,1:00pm - 2:50pm,ARTS 0645
Art,ART 7C,0,00893,T R,1:00pm - 2:50pm,ARTS 1345
Art,ART 7C,0,,T R,1:00pm - 2:50pm,ARTS 0645
Art,ART 7D,1,JEVBRATT L V,R,3:30pm - 4:45pm,PHELP1260
Art,ART 7D,0,00919,M,11:00am - 12:50pm,ARTS 1345
Art,ART 7D,0,,W,11:00am - 12:50pm,ARTS 2220
Art,ART 7D,0,00927,M,3:00pm - 4:50pm,ARTS 1345
Art,ART 7D,0,,W,3:00pm - 4:50pm,ARTS 2220
Art,ART 7D,0,00935,T,9:00 am - 10:50am,ARTS 1345
Art,ART 7D,0,,R,9:00 am - 10:50am,ARTS 2220
Art,ART 7D,0,73833,M W,5:00pm - 6:50pm,ARTS 1345
Art,ART 10,1,ELLIS C M||MATTES K A||,M W,9:00 am - 11:50am,ARTS 2628
Art,ART 14,1,ELLIS C M||JAHNKE A||,M W,1:00pm - 3:50pm,ARTS 2235
Art,ART 18,1,BELTZ E A||KOTH M||,M W,1:00pm - 3:50pm,ARTS 2636
Art,ART 19,1,BRICCETTI R E||VELASCO C A||,T R,12:00pm - 2:20pm,ARTS 1237
Art,ART 22,1,DE JESUS ESCA||THEOHAR E S||,T R,12:00pm - 2:50pm,ARTS 2220
