courseID,enrollCode,days,time,loction
ANTH 2,HOELLE J A||SMYTH L M||WADE M L||,M W,2:00pm - 3:15pm,IV THEA1
ANTH 2,00026,W,8:00 am - 8:50 am,HSSB 1237
ANTH 2,00034,M,5:00pm - 5:50pm,HSSB 4201
ANTH 2,00042,R,8:00 am - 8:50 am,HSSB 1237
ANTH 2,00059,F,12:00pm - 12:50pm,HSSB 1232
ANTH 2,00067,T,2:00pm - 2:50pm,HSSB 1215
ANTH 2,00075,W,8:00 am - 8:50 am,HSSB 1236
ANTH 2,00083,W,5:00pm - 5:50pm,NH 1111
ANTH 2,00091,F,10:00am - 10:50am,NH 1111
ANTH 2,00109,T,4:00pm - 4:50pm,GIRV 2127
ANTH 2,00117,F,9:00 am - 9:50 am,HSSB 1227
ANTH 2,00125,T,8:00 am - 8:50 am,HSSB 1232
ANTH 2,00133,M,4:00pm - 4:50pm,HSSB 4202
ANTH 2,00141,F,8:00 am - 8:50 am,HSSB 1207
ANTH 2,00158,M,1:00pm - 1:50pm,GIRV 2115
ANTH 2,00166,M,9:00 am - 9:50 am,GIRV 2108
ANTH 2,00174,T,8:00 am - 8:50 am,HSSB 1231
ANTH 2,00182,R,8:00 am - 8:50 am,HSSB 1236
ANTH 2,00190,F,11:00am - 11:50am,HSSB 1232
ANTH 2,00208,F,9:00 am - 9:50 am,HSSB 1224
ANTH 2,00216,T,6:00pm - 6:50pm,HSSB 3202
ANTH 2,00224,R,4:00pm - 4:50pm,PHELP3519
ANTH 2,00232,R,5:00pm - 5:50pm,HSSB 4202
ANTH 7,TOOBY J,T R,5:00pm - 6:15pm,BRDA 1610
ANTH 7,00257,M,6:00pm - 6:50pm,LSB 1101
ANTH 7,00265,M,4:00pm - 4:50pm,GIRV 2116
ANTH 7,00273,M,2:00pm - 2:50pm,GIRV 2112
ANTH 7,00281,M,3:00pm - 3:50pm,GIRV 2116
ANTH 7,00299,W,5:00pm - 5:50pm,HSSB 1232
ANTH 7,00307,W,6:00pm - 6:50pm,LSB 1101
ANTH 7,55863,M,4:00pm - 4:50pm,HSSB 1228
ANTH 7,55871,F,10:00am - 10:50am,HSSB 1231
ANTH 7,55889,F,11:00am - 11:50am,SH 1609
ANTH 9,LAWSON D W,M W,3:30pm - 4:45pm,PHELP1525
ANTH 25,FRUHSTUCK S,T R,9:30 am - 10:45am,TD-W 2600
ANTH 25,64428,R,12:00pm - 12:50pm,HSSB 3202
ANTH 25,64436,R,1:00pm - 1:50pm,HSSB 1215
ANTH 25,64444,F,10:00am - 10:50am,HSSB 2201
ANTH 99,T B A,,,T B A
ANTH 100,GIDDING A D,M W,11:00am - 12:15pm,GIRV 2128
ANTH 112Z,WILSON G D,T R,9:30 am - 10:45am,PHELP1444
ANTH 129,SALDIVAR TANA,W,11:00am - 1:50pm,HSSB 2001A
ANTH 129MG,KRAFT T S,T R,12:30pm - 1:45pm,HSSB 5024
ANTH 131CA,JOHNSON J R,T R,11:00am - 12:15pm,HSSB 1173
ANTH 151T,JOHNSON J RGAULIN S J||AGEY E R||,T R,2:00pm - 3:15pm,BIOEN1001
ANTH 162,VANDERWARKER,M W,9:30 am - 10:45am,HSSB 2001A
ANTH 170,LAWSON D W,T R,3:30pm - 4:45pm,HSSB 2001A
ANTH 171,LAWSON D WBODDY A M||ALAMI GOURAFT||,T R,9:30 am - 10:45am,BUCHN1930
ANTH 176B,BROOKS J F,M W,2:00pm - 3:15pm,PHELP1260
ANTH 178,VANDERWARKER,,,T B A
ANTH 180A,ANDERSON A S,T R,3:30pm - 4:45pm,HSSB 1021
ANTH 183,KENNETT D J,,,T B A
ANTH 183,HOELLE J A,,,T B A
ANTH 190,T B A,,,T B A
ANTH 194,VANDERWARKER,,,T B A
ANTH 194P,T B A,,,T B A
ANTH 195B,ALDANA G V,,,T B A
ANTH 195B,WILSON G D,,,T B A
ANTH 195B,VANDERWARKER,,,T B A
ANTH 195B,GAMBLE L H,,,T B A
ANTH 195C,BODDY A M,,,T B A
ANTH 195C,HARTHORN B H,,,T B A
ANTH 195C,FRUHSTUCK S,,,T B A
ANTH 195C,GAULIN S J,,,T B A
ANTH 195C,SMITH S T,,,T B A
ANTH 195C,GURVEN M D,,,T B A
ANTH 198,T B A,,,T B A
ANTH 199,T B A,,,T B A
ANTH 199RA,T B A,,,T B A
