courseID,enrollCode,days,time,loction
ART 1A,TASCHIAN H J,T R,12:30pm - 1:45pm,PSYCH1924
ART 1A,00828,W,10:00am - 10:50am,ARTS 1344
ART 1A,00836,T,2:00pm - 2:50pm,ARTS 1344
ART 1A,00844,W,11:00am - 11:50am,ARTS 1344
ART 1A,00851,T,3:00pm - 3:50pm,ARTS 1344
ART 7C,MULFINGER J,T,3:30pm - 4:45pm,HSSB 1173
ART 7C,00877,M W,9:00 am - 10:50am,ARTS 1345
ART 7C,,M W,9:00 am - 10:50am,ARTS 0645
ART 7C,00885,M W,1:00pm - 2:50pm,ARTS 1345
ART 7C,,M W,1:00pm - 2:50pm,ARTS 0645
ART 7C,00893,T R,1:00pm - 2:50pm,ARTS 1345
ART 7C,,T R,1:00pm - 2:50pm,ARTS 0645
ART 7D,JEVBRATT L V,R,3:30pm - 4:45pm,PHELP1260
ART 7D,00919,M,11:00am - 12:50pm,ARTS 1345
ART 7D,,W,11:00am - 12:50pm,ARTS 2220
ART 7D,00927,M,3:00pm - 4:50pm,ARTS 1345
ART 7D,,W,3:00pm - 4:50pm,ARTS 2220
ART 7D,00935,T,9:00 am - 10:50am,ARTS 1345
ART 7D,,R,9:00 am - 10:50am,ARTS 2220
ART 7D,73833,M W,5:00pm - 6:50pm,ARTS 1345
ART 10,JEVBRATT L VELLIS C M||MATTES K A||,M W,9:00 am - 11:50am,ARTS 2628
ART 14,JEVBRATT L VELLIS C M||MATTES K A||ELLIS C M||JAHNKE A||,M W,1:00pm - 3:50pm,ARTS 2235
ART 18,JEVBRATT L VELLIS C M||MATTES K A||ELLIS C M||JAHNKE A||BELTZ E A||KOTH M||,M W,1:00pm - 3:50pm,ARTS 2636
ART 19,JEVBRATT L VELLIS C M||MATTES K A||ELLIS C M||JAHNKE A||BELTZ E A||KOTH M||BRICCETTI R E||VELASCO C A||,T R,12:00pm - 2:20pm,ARTS 1237
ART 22,JEVBRATT L VELLIS C M||MATTES K A||ELLIS C M||JAHNKE A||BELTZ E A||KOTH M||BRICCETTI R E||VELASCO C A||DE JESUS ESCA||THEOHAR E S||,T R,12:00pm - 2:50pm,ARTS 2220
ART 100,ARGENT P,T R,1:00pm - 2:50pm,ARTS 2422
ART 101,CALLISTER J,W,1:00pm - 3:50pm,ARTS 2432
ART CS 101,CONNALLY D E,W,2:00pm - 3:50pm,CRST 136
ART CS 101,PITCHER H,T,9:00 am - 12:50pm,CRST 120
ART CS 101,PITCHER H,W,9:00 am - 12:50pm,CRST 120
ART CS 105,EKSTROM L,W,1:00pm - 4:50pm,CRST 107
ART 105KY,YASUDA K,F,12:00pm - 3:50pm,ARTS 0641
ART 105TD,BAKER E A,T R,9:00 am - 11:50am,ARTS 0641
ART 106W,WHITE J S,M W,8:00 am - 10:50am,TD-W 1530
ART 110,BRUGGEMAN I V,T R,9:00 am - 11:50am,ARTS 2235
ART 112,BRUGGEMAN I V,T R,2:00pm - 4:50pm,ARTS 2235
ART CS 112,EKSTROM L,W,6:00pm - 8:50pm,CRST 136
ART CS 112,FULBECK L K,W,1:00pm - 3:50pm,ARTS 1344
ART CS 112,MIRACLE J W,F,1:00pm - 4:50pm,CRST 120
ART 117,BELTZ E A,M W,9:00 am - 11:50am,ARTS 2636
ART 120EL,BRICCETTI R E,M W,9:00 am - 11:50am,ARTS 1237
ART CS 125,MULFINGER J,M,12:30pm - 2:50pm,ARTS 0641
ART 130,TASCHIAN H J,R,2:00pm - 4:50pm,ARTS 1344
ART 132,MOULTON S M,F,10:00am - 1:50pm,ARTS 2220
ART 185AI,OFFERT F,T R,9:00 am - 10:50am,ARTS 1344
ART 192ES,T B A,,,T B A
ART 192IA,T B A,,,T B A
ART 194,YASUDA K,F,1:00pm - 3:50pm,ARTS 0641
ART 196,BECKMAN L B,W,3:00pm - 5:50pm,ARTS 1352
ART 199,T B A,,,T B A
ART 199RA,T B A,,,T B A
