courseID,enrollCode,days,time,loction
ARTHI 1,PAUL C,M W,11:00am - 12:15pm,TD-W 1701
ARTHI 1,01719,W,4:00pm - 4:50pm,ARTS 1332
ARTHI 1,01727,W,5:00pm - 5:50pm,ARTS 1332
ARTHI 1,01735,T,9:00 am - 9:50 am,ARTS 2324
ARTHI 1,01743,T,10:00am - 10:50am,ARTS 2324
ARTHI 1,01750,T,11:00am - 11:50am,ARTS 2324
ARTHI 1,01768,T,12:00pm - 12:50pm,ARTS 2324
ARTHI 1,01776,R,1:00pm - 1:50pm,ARTS 2622
ARTHI 6B,MEADOW M A,T R,2:00pm - 3:15pm,IV THEA1
ARTHI 6B,01842,R,9:00 am - 9:50 am,ARTS 2324
ARTHI 6B,01867,W,12:00pm - 12:50pm,ARTS 2324
ARTHI 6B,01875,W,5:00pm - 5:50pm,ARTS 2324
ARTHI 6B,01883,W,8:00 am - 8:50 am,ARTS 2324
ARTHI 6B,01891,W,9:00 am - 9:50 am,ARTS 2324
ARTHI 6B,01909,W,10:00am - 10:50am,ARTS 2324
ARTHI 6B,01917,W,11:00am - 11:50am,ARTS 2324
ARTHI 6B,01925,R,12:00pm - 12:50pm,ARTS 2324
ARTHI 6B,01941,W,2:00pm - 2:50pm,ARTS 2324
ARTHI 6B,01958,W,3:00pm - 3:50pm,ARTS 2324
ARTHI 6B,01966,W,4:00pm - 4:50pm,ARTS 2324
ARTHI 6B,01974,R,8:00 am - 8:50 am,ARTS 2324
ARTHI 6B,01982,R,10:00am - 10:50am,ARTS 2324
ARTHI 6B,01990,R,11:00am - 11:50am,ARTS 2324
ARTHI 6B,02030,W,1:00pm - 1:50pm,ARTS 2324
ARTHI 6B,62166,W,1:00pm - 1:50pm,ARTS 1332
ARTHI 6DS,STURMAN P C,M W,2:00pm - 3:15pm,HSSB 1174
ARTHI 6DS,61028,R,2:00pm - 2:50pm,ARTS 2324
ARTHI 6DS,61036,R,3:00pm - 3:50pm,ARTS 2324
ARTHI 6DS,61044,R,4:00pm - 4:50pm,ARTS 2324
ARTHI 6DS,61051,R,5:00pm - 5:50pm,ARTS 2324
ARTHI 6F,WITTMAN R K,T R,12:30pm - 1:45pm,HSSB 1174
ARTHI 6F,61077,T,2:00pm - 2:50pm,ARTS 2324
ARTHI 6F,61101,T,3:00pm - 3:50pm,ARTS 2324
ARTHI 6F,61119,T,4:00pm - 4:50pm,ARTS 2324
ARTHI 6F,61127,T,5:00pm - 5:50pm,ARTS 2324
ARTHI 6J,WHITE J S,T R,5:00pm - 6:15pm,HSSB 1174
ARTHI 6J,02105,R,11:00am - 11:50am,ARTS 1332
ARTHI 6J,02113,R,12:00pm - 12:50pm,ARTS 1332
ARTHI 6J,02121,R,1:00pm - 1:50pm,ARTS 1332
ARTHI 6J,02139,R,2:00pm - 2:50pm,ARTS 1332
ARTHI 109B,TRAVERS E M,T R,2:00pm - 3:15pm,ARTS 1341
ARTHI 121D,OGBECHIE S O,T R,12:30pm - 1:45pm,ARTS 1341
ARTHI 127A,OGBECHIE S O,T R,8:00 am - 9:15 am,ARTS 1341
ARTHI 132J,KHOURY N N,T R,11:00am - 12:15pm,ARTS 1341
ARTHI 134G,WATTLES M,M W,9:30 am - 10:45am,ARTS 1341
ARTHI 134J,WATTLES M,M W,12:30pm - 1:45pm,ARTS 1341
ARTHI 134K,STURMAN P C,M W,11:00am - 12:15pm,ARTS 1332
ARTHI 136I,CHATTOPADHYAY,T R,9:30 am - 10:45am,ARTS 1341
ARTHI 136M,WELTER V W,M W,2:00pm - 3:15pm,ARTS 1341
ARTHI 136W,WHITE J S,M W,8:00 am - 10:50am,TD-W 1530
ARTHI 141B,T B A,,,T B A
ARTHI 141C,T B A,,,T B A
ARTHI 141E,T B AROBERTSON E B||GIMENEZ S L||,W,3:30pm - 4:45pm,ARTS 1341
ARTHI 141F,T B AROBERTSON E B||GIMENEZ S L||ROBERTSON E B||GIMENEZ S L||,W,3:30pm - 4:45pm,ARTS 1341
ARTHI 142E,WITTMAN R K,T R,3:30pm - 4:45pm,ARTS 1341
ARTHI 143E,BACIU D C,F,9:00 am - 11:50am,ARTS 1332
ARTHI 144A,SPIEKER S,T,5:00pm - 7:50pm,ARTS 1341
ARTHI 148C,SORKIN JENNI,M W,11:00am - 12:15pm,ARTS 1341
ARTHI 186E,FAUST M R,T,12:00pm - 2:50pm,ARTS 2622
ARTHI 186SV,WELTER V W,M,9:00 am - 11:50am,ARTS 2622
ARTHI 187Z,TRAVERS E M,R,10:00am - 12:50pm,ARTS 2622
ARTHI 198,T B A,,,T B A
ARTHI 199,T B A,,,T B A
ARTHI 199RA,T B A,,,T B A
