courseID,enrollCode,days,time,loction
BL ST 1,BANKS I,M W,12:30pm - 1:45pm,PSYCH1924
BL ST 1,03574,T,8:00 am - 8:50 am,SH 3707
BL ST 1,03582,T,9:00 am - 9:50 am,SH 3707
BL ST 1,03590,T,10:00am - 10:50am,SH 3707
BL ST 1,03608,T,11:00am - 11:50am,SH 3707
BL ST 1,03616,T,12:00pm - 12:50pm,SH 3707
BL ST 1,03624,T,1:00pm - 1:50pm,SH 3707
BL ST 4,BASHI TREITLE,T R,3:30pm - 4:45pm,LSB 1001
BL ST 4,63511,R,8:00 am - 8:50 am,SH 3707
BL ST 4,63529,R,9:00 am - 9:50 am,SH 3707
BL ST 4,63537,R,10:00am - 10:50am,SH 3707
BL ST 4,63545,R,11:00am - 11:50am,SH 3707
BL ST 4,63552,R,12:00pm - 12:50pm,SH 3707
BL ST 4,63560,R,1:00pm - 1:50pm,SH 3707
BL ST 6,LIPSITZ G R,T R,3:30pm - 4:45pm,BUCHN1940
BL ST 6,03640,W,8:00 am - 8:50 am,SH 3707
BL ST 6,03657,W,2:00pm - 2:50pm,SH 3707
BL ST 6,03665,W,3:00pm - 3:50pm,SH 3707
BL ST 6,03673,W,4:00pm - 4:50pm,SH 3707
BL ST 6,03681,W,5:00pm - 5:50pm,SH 3707
BL ST 6,03699,W,6:00pm - 6:50pm,SH 3707
BL ST 14,STEWART J C,T R,11:00am - 12:15pm,PSYCH1924
BL ST 14,03715,T,2:00pm - 2:50pm,SH 3707
BL ST 14,03723,T,3:00pm - 3:50pm,SH 3707
BL ST 14,03731,T,4:00pm - 4:50pm,SH 3707
BL ST 14,63479,W,11:00am - 11:50am,SH 3707
BL ST 14,63487,W,12:00pm - 12:50pm,SH 3707
BL ST 14,63495,W,1:00pm - 1:50pm,SH 3707
BL ST 49B,MIESCHER S F,T R,5:00pm - 6:15pm,LSB 1001
BL ST 49B,64758,M,8:00 am - 8:50 am,GIRV 2110
BL ST 49B,64766,F,3:00pm - 3:50pm,LSB 1101
BL ST 49B,64774,W,1:00pm - 1:50pm,GIRV 1106
BL ST 49B,64782,R,3:00pm - 3:50pm,GIRV 2135
BL ST 49B,64790,F,4:00pm - 4:50pm,GIRV 1106
BL ST 49B,64808,M,2:00pm - 2:50pm,GIRV 1106
BL ST 99,T B A,,,T B A
BL ST 106,BANKS I,M W,2:00pm - 3:15pm,PSYCH1902
BL ST 126,AKUDINOBI J,T R,8:00 am - 9:15 am,ED 1213
BL ST 127,BLOMGREN O L,T R,2:00pm - 3:15pm,GIRV 2119
BL ST 131,GALICIA M G,M W,5:00pm - 6:15pm,NH 1105
BL ST 136,MINGO A,M W,2:00pm - 3:15pm,NH 1105
BL ST 142,BLAKE G K,T R,3:30pm - 4:45pm,PHELP1425
BL ST 147PL,BATISTE S L,M W,11:00am - 12:15pm,TD-W 2600
BL ST 155,STEWART J C,T R,12:30pm - 1:45pm,PSYCH1902
BL ST 172,AKUDINOBI J,T R,9:30 am - 10:45am,ED 1213
BL ST 172,,W,5:00pm - 7:50pm,PHELP1160
BL ST 174,GALICIA M G,M W,6:30pm - 7:45pm,NH 1105
BL ST 180,DURAN J M,W F,9:30 am - 10:45am,SH 3707
BL ST 193PR,LIPSITZ G R,W,3:00pm - 5:50pm,PHELP1425
BL ST 195B,MCAULEY C,T,1:00pm - 3:50pm,
BL ST 197,T B A,,,T B A
BL ST 199,T B A,,,T B A
BL ST 199RA,T B A,,,T B A
