courseID,enrollCode,days,time,loction
CH E 99,T B A,,,T B A
CH E 107,O'MALLEY M A,T R,11:00am - 12:15pm,ENGR21519
CH E 110A,SHELL M S,M W F,12:00pm - 12:50pm,ENGR21519
CH E 110A,04796,W,1:00pm - 1:50pm,ENGR21519
CH E 120B,CHMELKA B F,M W,2:00pm - 3:15pm,ENGR21519
CH E 132C,MUKHERJEE ARN,T R,12:30pm - 1:45pm,ENGR21519
CH E 146,CHRISTOPHER P,M W F,12:00pm - 12:50pm,ENGR23301
CH E 154,DEY S S,T R,2:00pm - 3:15pm,ENGR21519
CH E 160,SEGALMAN R A,M W,10:00am - 11:15am,ENGR21519
CH E 180B,SEGALMAN R ACHADA J P||GORDON M J||,T,1:00pm - 4:50pm,ENGR21165
CH E 180B,SEGALMAN R ACHADA J P||GORDON M J||CHADA J P||GORDON M J||,W,1:00pm - 4:50pm,ENGR21165
CH E 180B,SEGALMAN R ACHADA J P||GORDON M J||CHADA J P||GORDON M J||CHADA J P||GORDON M J||,R,1:00pm - 4:50pm,ENGR21165
CH E 184A,SEGALMAN R ACHADA J P||GORDON M J||CHADA J P||GORDON M J||CHADA J P||GORDON M J||DOHERTY M F||MCFARLAND E W||,T R,9:30 am - 10:45am,ENGR21519
CH E 184A,04887,R,8:00 am - 9:15 am,ESB 1003
CH E 196,T B A,,,T B A
CH E 198,T B A,,,T B A
