courseID,enrollCode,days,time,loction
CHEM 1A,JOSEPH C A,M W F,12:00pm - 12:50pm,CHEM 1179
CHEM 1A,JOSEPH C A,M W F,3:00pm - 3:50pm,CHEM 1179
CHEM 1AL,JOSEPH C ABORUM A K||VAN KOPPEN P||,T,9:00 am - 11:30am,PSB-N2637
CHEM 1AL,JOSEPH C ABORUM A K||VAN KOPPEN P||STAUN S L||VAN KOPPEN P||,T,9:00 am - 11:30am,PSB-N2653
CHEM 1AL,JOSEPH C ABORUM A K||VAN KOPPEN P||STAUN S L||VAN KOPPEN P||ROHRER J M||VAN KOPPEN P||,T,12:00pm - 2:30pm,PSB-N2637
CHEM 1AL,JOSEPH C ABORUM A K||VAN KOPPEN P||STAUN S L||VAN KOPPEN P||ROHRER J M||VAN KOPPEN P||BORUM A K||VAN KOPPEN P||,T,3:00pm - 5:30pm,PSB-N2637
CHEM 1AL,JOSEPH C ABORUM A K||VAN KOPPEN P||STAUN S L||VAN KOPPEN P||ROHRER J M||VAN KOPPEN P||BORUM A K||VAN KOPPEN P||BORUM A K||VAN KOPPEN P||,T,6:00pm - 8:30pm,PSB-N2637
CHEM 1AL,JOSEPH C ABORUM A K||VAN KOPPEN P||STAUN S L||VAN KOPPEN P||ROHRER J M||VAN KOPPEN P||BORUM A K||VAN KOPPEN P||BORUM A K||VAN KOPPEN P||STOW P R||VAN KOPPEN P||,W,9:00 am - 11:30am,PSB-N2637
CHEM 1AL,JOSEPH C ABORUM A K||VAN KOPPEN P||STAUN S L||VAN KOPPEN P||ROHRER J M||VAN KOPPEN P||BORUM A K||VAN KOPPEN P||BORUM A K||VAN KOPPEN P||STOW P R||VAN KOPPEN P||STAUN S L||VAN KOPPEN P||,W,9:00 am - 11:30am,PSB-N2653
CHEM 1AL,JOSEPH C ABORUM A K||VAN KOPPEN P||STAUN S L||VAN KOPPEN P||ROHRER J M||VAN KOPPEN P||BORUM A K||VAN KOPPEN P||BORUM A K||VAN KOPPEN P||STOW P R||VAN KOPPEN P||STAUN S L||VAN KOPPEN P||NOWOTARSKI M||VAN KOPPEN P||,W,12:00pm - 2:30pm,PSB-N2637
