courseID,enrollCode,days,time,loction
CHIN 2,GUAN D,MTWRF,3:00pm - 3:50pm,NH 1111
CHIN 2,GUAN D,MTWRF,10:00am - 10:50am,HSSB 4202
CHIN 2,GUAN D,MTWRF,9:00 am - 9:50 am,HSSB 4202
CHIN 2,GUAN D,MTWRF,11:00am - 11:50am,HSSB 4202
CHIN 2,GUAN D,MTWRF,12:00pm - 12:50pm,HSSB 4202
CHIN 2,CHEN MENG,MTWRF,1:00pm - 1:50pm,HSSB 4202
CHIN 2NH,HSU C-C,MTWR,10:00am - 10:50am,HSSB 3201
CHIN 2NH,HSU C-C,MTWR,11:00am - 11:50am,HSSB 3201
CHIN 5,CHEN S C,MTWRF,10:00am - 10:50am,HSSB 4201
CHIN 5,CHEN S C,MTWRF,11:00am - 11:50am,HSSB 4201
CHIN 5NH,CHEN S C,MTWR,1:00pm - 1:50pm,HSSB 4201
CHIN 8A,CHEN MENG,M W,11:00am - 12:15pm,ELLSN2816
CHIN 101B,MAZANEC T J,T R,12:30pm - 1:45pm,PHELP1444
CHIN 122B,HSU C-C,MTWR,1:00pm - 1:50pm,HSSB 1237
CHIN 134K,STURMAN P C,M W,11:00am - 12:15pm,ARTS 1332
CHIN 138A,TU K-C,M W,2:00pm - 3:15pm,PHELP1448
CHIN 185A,JI X,M W,9:30 am - 10:45am,387 1015
CHIN 197,T B A,,,T B A
CHIN 198,T B A,,,T B A
CHIN 199,T B A,,,T B A
