courseID,enrollCode,days,time,loction
COMM 1,MULLIN D I,T R,8:00 am - 9:15 am,BUCHN1910
COMM 1,10165,F,8:00 am - 8:50 am,HSSB 1223
COMM 1,10173,F,9:00 am - 9:50 am,GIRV 1116
COMM 1,10181,F,10:00am - 10:50am,PHELP3505
COMM 1,10199,F,12:00pm - 12:50pm,GIRV 2108
COMM 1,10207,F,1:00pm - 1:50pm,GIRV 1116
COMM 1,10215,F,2:00pm - 2:50pm,HSSB 1233
COMM 1,10223,F,8:00 am - 8:50 am,HSSB 1215
COMM 1,10231,F,9:00 am - 9:50 am,GIRV 2108
COMM 1,10249,F,10:00am - 10:50am,PHELP2516
COMM 87,WEBER R,T R,9:30 am - 10:45am,TD-W 1701
COMM 87,10322,R,11:00am - 11:50am,PHELP3519
COMM 87,,R,12:00pm - 12:50pm,SSMS 1302
COMM 87,10330,R,1:00pm - 1:50pm,PHELP1518
COMM 87,,R,2:00pm - 2:50pm,PHELP1518
COMM 87,10348,R,3:00pm - 3:50pm,SSMS 1009
COMM 87,,R,4:00pm - 4:50pm,SSMS 1007
COMM 87,53769,R,11:00am - 11:50am,PHELP1508
COMM 87,,R,12:00pm - 12:50pm,SSMS 1301
COMM 87,53777,R,1:00pm - 1:50pm,GIRV 2112
COMM 87,,R,2:00pm - 2:50pm,SSMS 1304
COMM 87,53785,R,3:00pm - 3:50pm,PHELP3519
COMM 87,,R,4:00pm - 4:50pm,SSMS 1303
COMM 88,MULLIN D I,T R,11:00am - 12:15pm,CHEM 1179
COMM 88,10363,R,4:00pm - 5:50pm,SSMS 1009
COMM 88,10371,R,6:00pm - 7:50pm,SSMS 1009
COMM 88,10389,F,8:00 am - 9:50 am,SSMS 1009
COMM 88,10397,R,8:00pm - 9:50pm,HSSB 3201
COMM 88,10405,F,11:00am - 12:50pm,SH 1430
COMM 88,10413,F,1:00pm - 2:50pm,PHELP3523
COMM 88,10421,F,10:00am - 11:50am,SSMS 1009
COMM 88,53900,R,8:00pm - 9:50pm,GIRV 1108
COMM 88,53918,F,1:00pm - 2:50pm,PHELP2536
COMM 88,53926,R,7:00pm - 8:50pm,PHELP1445
COMM 88,53934,F,11:00am - 12:50pm,PHELP3523
COMM 88,53942,F,1:00pm - 2:50pm,NH 1109
COMM 88,53959,F,8:00 am - 9:50 am,GIRV 1112
COMM 88,53967,R,7:00pm - 8:50pm,GIRV 2116
COMM 88,53975,F,12:00pm - 1:50pm,GIRV 1119
COMM 89,MEROLLA A J,T R,12:30pm - 1:45pm,MUSICLLCH
COMM 89,10447,R,7:00pm - 8:50pm,GIRV 2108
COMM 89,10454,F,11:00am - 12:50pm,PHELP3519
COMM 89,10462,F,1:00pm - 2:50pm,NH 1111
COMM 89,10470,F,8:00 am - 9:50 am,GIRV 1115
COMM 89,10488,R,7:00pm - 8:50pm,HSSB 2201
COMM 89,10496,F,1:00pm - 2:50pm,GIRV 2127
COMM 89,54767,F,8:00 am - 9:50 am,GIRV 2123
COMM 89,54775,R,7:00pm - 8:50pm,GIRV 2123
COMM 89,54783,F,12:00pm - 1:50pm,GIRV 1115
COMM 89,54791,R,8:00pm - 9:50pm,PHELP2532
COMM 89,54809,F,11:00am - 12:50pm,PHELP2536
COMM 89,54817,F,1:00pm - 2:50pm,GIRV 2123
COMM 89,54825,F,8:00 am - 9:50 am,GIRV 2120
COMM 89,54833,R,8:00pm - 9:50pm,SSMS 1009
COMM 89,54858,F,12:00pm - 1:50pm,GIRV 2120
COMM 99RA,T B A,,,T B A
COMM 103,MASTRO D E,T R,9:30 am - 10:45am,SH 1431
COMM 108,MASTRO D ESTOHL C||YANG YOORI||,M W,5:00pm - 6:15pm,BUCHN1930
COMM 111,MASTRO D ESTOHL C||YANG YOORI||AFIFI W A||KIRKWOOD G L||,M W,3:30pm - 4:45pm,BUCHN1920
COMM 113,MULLIN C R,T R,8:00 am - 9:15 am,NH 1105
COMM 116,FLANAGIN A J,M W,9:30 am - 10:45am,HSSB 1174
COMM 117,FLANAGIN A JNABI R L||PEREZ TORRES||,M W,11:00am - 12:15pm,SH 1431
COMM 127,FLANAGIN A JNABI R L||PEREZ TORRES||LINZ D G||WHITESTONE S||,T R,2:00pm - 3:15pm,BUCHN1940
COMM 132,MULLIN C R,T R,11:00am - 12:15pm,NH 1105
COMM 137,MULLIN C RSTOHL M S||STAMPS D L||,T R,5:00pm - 6:15pm,PHELP1425
COMM 138,MULLIN C RSTOHL M S||STAMPS D L||POTTER W J||HANSIA A D||,M W,3:30pm - 4:45pm,HSSB 1174
COMM 139,MULLIN C RSTOHL M S||STAMPS D L||POTTER W J||HANSIA A D||NABI R L||OSHIDARY N S||,M W,12:30pm - 1:45pm,HSSB 1174
COMM 150,ABRA G J,T R,11:00am - 12:15pm,PHELP3515
COMM 150,ABRA G J,T R,12:30pm - 1:45pm,PHELP3515
COMM 152,ABRA G JMYERS K K||ENDACOTT C G||,M W,8:00 am - 9:15 am,BUCHN1930
COMM 160SM,ABRA G JMYERS K K||ENDACOTT C G||GONZALES A L||KIM YEWEON||,M W,2:00pm - 3:15pm,BRDA 1640
COMM 163,ABRA G JMYERS K K||ENDACOTT C G||GONZALES A L||KIM YEWEON||RICE R E||MOXLEY C M||,T R,5:00pm - 6:15pm,BRDA 1640
COMM 169,ABRA G JMYERS K K||ENDACOTT C G||GONZALES A L||KIM YEWEON||RICE R E||MOXLEY C M||MATNI Z A||MENDEZ MURILL||,M W,8:00 am - 9:15 am,CHEM 1171
COMM 176,ABRA G JMYERS K K||ENDACOTT C G||GONZALES A L||KIM YEWEON||RICE R E||MOXLEY C M||MATNI Z A||MENDEZ MURILL||LINZ D G||LONERGAN C A||,T R,3:30pm - 4:45pm,PHELP3515
COMM 181A,REID S A,M W,3:30pm - 4:45pm,SSMS 1009
COMM 194,AFIFI W A,,,T B A
COMM 197,MULLIN C R,,,T B A
COMM 199,T B A,,,T B A
COMM 199RA,T B A,,,T B A
