courseID,enrollCode,days,time,loction
CMPSC 4,KOC C K,M W,3:30pm - 4:45pm,WEBB 1100
CMPSC 4,08177,F,9:00 am - 9:50 am,PHELP3525
CMPSC 4,08185,F,10:00am - 10:50am,PHELP3525
CMPSC 4,08193,F,11:00am - 11:50am,PHELP3525
CMPSC 8,MATNI Z A,M W,9:30 am - 10:45am,CHEM 1171
CMPSC 8,08227,T,1:00pm - 1:50pm,PHELP3525
CMPSC 8,08235,T,2:00pm - 2:50pm,PHELP3525
CMPSC 8,08243,T,3:00pm - 3:50pm,PHELP3525
CMPSC 8,08250,T,4:00pm - 4:50pm,PHELP3525
CMPSC 8,MIRZA D,T R,2:00pm - 3:15pm,CHEM 1171
CMPSC 8,08276,W,9:00 am - 9:50 am,PHELP3525
CMPSC 8,08284,W,10:00am - 10:50am,PHELP3525
CMPSC 8,08292,W,11:00am - 11:50am,PHELP3525
CMPSC 8,08300,W,12:00pm - 12:50pm,PHELP3525
CMPSC 16,KHARITONOVA Y,T R,6:30pm - 7:45pm,HFH 1104
CMPSC 16,08326,W,1:00pm - 1:50pm,PHELP3525
CMPSC 16,08334,W,2:00pm - 2:50pm,PHELP3525
CMPSC 16,08342,W,3:00pm - 3:50pm,PHELP3525
CMPSC 16,08359,W,4:00pm - 4:50pm,PHELP3525
CMPSC 16,KHARITONOVA Y,T R,3:30pm - 4:45pm,PSYCH1924
CMPSC 16,08375,T,9:00 am - 9:50 am,PHELP3525
CMPSC 16,08383,T,10:00am - 10:50am,PHELP3525
CMPSC 16,08391,T,11:00am - 11:50am,PHELP3525
CMPSC 16,08409,T,12:00pm - 12:50pm,PHELP3525
CMPSC 24,MIRZA D,M W,2:00pm - 3:15pm,PSYCH1924
CMPSC 24,08425,M,9:00 am - 9:50 am,PHELP3525
CMPSC 24,08433,M,10:00am - 10:50am,PHELP3525
CMPSC 24,08441,M,11:00am - 11:50am,PHELP3525
CMPSC 24,08458,M,12:00pm - 12:50pm,PHELP3525
CMPSC 32,WANG R K,M W,9:30 am - 10:45am,PSYCH1924
CMPSC 32,52878,M,1:00pm - 1:50pm,PHELP3525
CMPSC 32,52886,M,2:00pm - 2:50pm,PHELP3525
CMPSC 32,52894,M,3:00pm - 3:50pm,PHELP3525
CMPSC 32,52902,M,4:00pm - 4:50pm,PHELP3525
CMPSC 40,SU J,T R,2:00pm - 3:15pm,PSYCH1924
CMPSC 40,60988,F,9:00 am - 10:50am,PHELP1530
CMPSC 40,63347,F,11:00am - 12:50pm,NH 1109
CMPSC 40,63354,F,1:00pm - 2:50pm,PHELP1530
CMPSC 40,63362,F,3:00pm - 4:50pm,PHELP1530
CMPSC 48,CONRAD P T,M W,2:00pm - 3:15pm,PHELP3526
CMPSC 48,08516,R,4:00pm - 4:50pm,PHELP3525
CMPSC 48,08524,R,5:00pm - 5:50pm,PHELP3525
CMPSC 48,64196,R,6:00pm - 6:50pm,PHELP3525
CMPSC 64,MATNI Z A,T R,3:30pm - 4:45pm,GIRV 2128
CMPSC 64,08581,R,9:00 am - 9:50 am,PHELP3525
CMPSC 64,08599,R,10:00am - 10:50am,PHELP3525
CMPSC 64,08607,R,11:00am - 11:50am,PHELP3525
CMPSC 99,T B A,,,T B A
CMPSC 111,GILBERT J R,M W,9:30 am - 10:45am,PHELP3515
CMPSC 111,54502,T,9:00 am - 9:50 am,NH 1109
CMPSC 111,54510,T,10:00am - 10:50am,GIRV 2112
CMPSC 130A,SURI S,T R,12:30pm - 1:45pm,BUCHN1920
CMPSC 130A,08631,R,4:00pm - 4:50pm,387 1015
CMPSC 130A,08649,R,5:00pm - 5:50pm,387 1015
CMPSC 130A,60889,R,6:00pm - 6:50pm,GIRV 2115
CMPSC 130B,LOKSHTANOV D,M W,11:00am - 12:15pm,PSYCH1902
CMPSC 130B,08664,R,5:00pm - 5:50pm,387 1011
CMPSC 130B,08672,R,6:00pm - 6:50pm,GIRV 2112
CMPSC 140,YANG T,M W,12:30pm - 1:45pm,GIRV 2128
CMPSC 140,08698,F,12:00pm - 12:50pm,PHELP1445
CMPSC 140,08706,F,1:00pm - 1:50pm,PHELP1448
CMPSC 154,KOC C K,M W,12:30pm - 1:45pm,CHEM 1171
CMPSC 154,08722,F,12:00pm - 12:50pm,PHELP3525
CMPSC 154,08730,F,1:00pm - 1:50pm,PHELP3525
CMPSC 154,55087,F,2:00pm - 2:50pm,PHELP3525
CMPSC 165A,WANG YUXIANG,T R,12:30pm - 1:45pm,GIRV 2128
CMPSC 165A,08771,F,11:00am - 11:50am,PHELP1444
CMPSC 165A,08789,F,12:00pm - 12:50pm,PHELP1444
CMPSC 165B,DING YUFEI,M W,11:00am - 12:15pm,BRDA 1640
CMPSC 165B,54601,M,5:00pm - 5:50pm,GIRV 2129
CMPSC 165B,54619,M,6:00pm - 6:50pm,GIRV 1116
CMPSC 170,AGRAWAL D,M W,2:00pm - 3:15pm,CHEM 1171
CMPSC 170,08813,F,11:00am - 11:50am,PHELP1440
CMPSC 170,08821,F,12:00pm - 12:50pm,PHELP1440
CMPSC 170,63313,F,1:00pm - 1:50pm,PHELP1444
CMPSC 170,GUPTA T,T R,11:00am - 12:15pm,PHELP2510
CMPSC 170,76695,W,6:00pm - 6:50pm,PHELP2510
CMPSC 176B,ALMEROTH K C,M W,2:00pm - 3:15pm,PHELP3515
CMPSC 176B,08870,F,1:00pm - 1:50pm,GIRV 2129
CMPSC 176B,08888,F,2:00pm - 2:50pm,387 1011
CMPSC 181,WANG Y F,M W,3:30pm - 4:45pm,BRDA 1640
CMPSC 181,08904,F,9:00 am - 9:50 am,GIRV 2129
CMPSC 181,08912,F,10:00am - 10:50am,387 1011
CMPSC 189B,BULTAN T,T,3:30pm - 5:50pm,ESB 1003
CMPSC 189B,08938,T,6:00pm - 6:50pm,ESB 1003
CMPSC 190C,KRINTZ C,M W,9:00 am - 10:50am,PHELP2510
CMPSC 190J,MIRZA D,F,3:30pm - 4:45pm,PHELP3526
CMPSC 190J,75994,,,T B A
CMPSC 190J,76000,M,1:00pm - 3:50pm,
CMPSC 190J,76018,T,9:00 am - 11:50am,
CMPSC 190J,76026,W,9:00 am - 11:50am,
CMPSC 190J,76034,W,1:00pm - 3:50pm,
CMPSC 190J,76042,R,5:00pm - 7:50pm,
CMPSC 192,T B A,,,T B A
CMPSC 193,T B A,,,T B A
CMPSC 196,T B A,,,T B A
CMPSC 199,T B A,,,T B A
