courseID,enrollCode,days,time,loction
EARTH 2,EILON Z C,M W,3:30pm - 4:45pm,LSB 1001
EARTH 2,11700,T,10:00am - 11:50am,PSB-S2724
EARTH 2,11718,T,12:00pm - 1:50pm,PSB-S2724
EARTH 2,11726,T,2:00pm - 3:50pm,PSB-S2724
EARTH 2,11734,T,4:00pm - 5:50pm,PSB-S2724
EARTH 2,11742,W,9:00 am - 10:50am,PSB-S2724
EARTH 2,11759,W,11:00am - 12:50pm,PSB-S2724
EARTH 2,62398,R,9:00 am - 10:50am,PSB-S2724
EARTH 2,62406,R,11:00am - 12:50pm,PSB-S2724
EARTH 4,LISIECKI L E,M W F,10:00am - 10:50am,BUCHN1910
EARTH 4,11809,M,3:00pm - 3:50pm,PSB-S2712
EARTH 4,11817,M,4:00pm - 4:50pm,PSB-S2712
EARTH 4,11825,T,11:00am - 11:50am,PSB-S2711
EARTH 4,11833,T,12:00pm - 12:50pm,PSB-S2711
EARTH 4,11841,W,3:00pm - 3:50pm,PSB-S2712
EARTH 4,11858,W,4:00pm - 4:50pm,PSB-S2712
EARTH 4,11866,R,5:00pm - 5:50pm,PSB-S2712
EARTH 4,11874,W,5:00pm - 5:50pm,PSB-S2712
EARTH 4,11882,R,4:00pm - 4:50pm,PSB-S2712
EARTH 4,62414,T,1:00pm - 1:50pm,PSB-S2712
EARTH 4,62422,R,6:00pm - 6:50pm,PSB-S2712
EARTH 4,DE JONG M T,T R,5:00pm - 6:15pm,PHELP3515
EARTH 4,65821,W,4:00pm - 4:50pm,WEBB 1025
EARTH 4,65839,W,5:00pm - 5:50pm,WEBB 1025
EARTH 4,74377,W,3:00pm - 3:50pm,WEBB 1025
EARTH 7,LUNA D A,T R,3:30pm - 4:45pm,BUCHN1910
EARTH 7,11908,T,9:00 am - 9:50 am,PSB-S2725
EARTH 7,11916,T,10:00am - 10:50am,PSB-S2725
EARTH 7,11924,T,11:00am - 11:50am,PSB-S2725
EARTH 7,11932,T,12:00pm - 12:50pm,PSB-S2725
EARTH 7,11940,W,9:00 am - 9:50 am,PSB-S2725
EARTH 7,11957,W,10:00am - 10:50am,PSB-S2725
EARTH 7,11965,W,11:00am - 11:50am,PSB-S2725
EARTH 7,11973,W,12:00pm - 12:50pm,PSB-S2725
EARTH 7,11981,W,1:00pm - 1:50pm,PSB-S2725
EARTH 7,11999,R,9:00 am - 9:50 am,PSB-S2725
EARTH 7,12005,R,10:00am - 10:50am,PSB-S2725
EARTH 9,JI C,M W,3:30pm - 4:45pm,PHELP1260
EARTH 9,12062,T,9:00 am - 9:50 am,PSB-S2712
EARTH 9,12070,W,12:00pm - 12:50pm,PSB-S2712
EARTH 9,12088,R,10:00am - 10:50am,PSB-S2712
EARTH 20,JACKSON M G,M W,3:30pm - 4:45pm,BUCHN1910
EARTH 20,12229,M,11:00am - 11:50am,PSB-S2712
EARTH 20,12237,M,12:00pm - 12:50pm,PSB-S2712
EARTH 20,12245,T,3:00pm - 3:50pm,PSB-S2712
EARTH 20,12252,T,4:00pm - 4:50pm,PSB-S2712
EARTH 20,12260,T,5:00pm - 5:50pm,PSB-S2712
EARTH 20,12278,T,6:00pm - 6:50pm,PSB-S2712
EARTH 20,12286,R,11:00am - 11:50am,PSB-S2711
EARTH 20,12294,R,12:00pm - 12:50pm,PSB-S2711
EARTH 20,12302,F,9:00 am - 9:50 am,PSB-S2712
