courseID,enrollCode,days,time,loction
EACS 4A,T B ASTEAVU-BALINT||RAMBELLI F||,T R,3:30pm - 4:45pm,EMBARHALL
EACS 4A,11247,M,2:00pm - 2:50pm,BUCHN1934
EACS 4A,11254,M,3:00pm - 3:50pm,HSSB 4202
EACS 4A,11262,M,4:00pm - 4:50pm,HSSB 3201
EACS 4A,11270,T,12:00pm - 12:50pm,HSSB 2252
EACS 4A,11288,T,10:00am - 10:50am,GIRV 2115
EACS 4A,11296,T,11:00am - 11:50am,PHELP2514
EACS 4A,11304,R,10:00am - 10:50am,HSSB 2252
EACS 4A,11312,R,11:00am - 11:50am,HSSB 1231
EACS 4A,11320,R,12:00pm - 12:50pm,HSSB 2252
EACS 4A,11338,W,8:00 am - 8:50 am,HSSB 3202
EACS 4A,11346,W,9:00 am - 9:50 am,HSSB 3202
EACS 4A,11353,W,11:00am - 11:50am,HSSB 2252
EACS 5,HILLIS G A,T R,11:00am - 12:15pm,LSB 1001
EACS 5,11437,W,8:00 am - 8:50 am,HSSB 2252
EACS 5,11445,W,9:00 am - 9:50 am,HSSB 2252
EACS 5,11452,W,10:00am - 10:50am,HSSB 2252
EACS 5,11460,R,1:00pm - 1:50pm,HSSB 2252
EACS 5,11478,R,2:00pm - 2:50pm,HSSB 2252
EACS 5,11486,F,8:00 am - 8:50 am,HSSB 1233
EACS 5,11494,F,9:00 am - 9:50 am,HSSB 3041
EACS 5,11502,F,10:00am - 10:50am,HSSB 3041
