courseID,enrollCode,days,time,loction
ECON 1,VESPA E I,M W F,2:00pm - 2:50pm,CAMPBHALL
ECON 1,14217,R,8:00 am - 8:50 am,GIRV 1116
ECON 1,14225,R,5:00pm - 5:50pm,GIRV 2119
ECON 1,14233,R,9:00 am - 9:50 am,GIRV 2123
ECON 1,14241,R,7:00pm - 7:50pm,GIRV 2115
ECON 1,14258,W,5:00pm - 5:50pm,GIRV 1116
ECON 1,14266,W,7:00pm - 7:50pm,GIRV 2115
ECON 1,14274,R,9:00 am - 9:50 am,GIRV 2115
ECON 1,14282,R,5:00pm - 5:50pm,GIRV 2116
ECON 1,14290,W,5:00pm - 5:50pm,387 1015
ECON 1,14308,R,6:00pm - 6:50pm,GIRV 2120
ECON 1,14316,R,8:00 am - 8:50 am,387 1015
ECON 1,14324,R,9:00 am - 9:50 am,GIRV 2112
ECON 1,14332,W,6:00pm - 6:50pm,GIRV 2115
ECON 1,14340,R,6:00pm - 6:50pm,GIRV 2119
ECON 1,14357,W,7:00pm - 7:50pm,GIRV 2112
ECON 1,14365,R,7:00pm - 7:50pm,GIRV 2112
ECON 1,14373,W,5:00pm - 5:50pm,387 1011
ECON 1,14381,W,6:00pm - 6:50pm,GIRV 2112
ECON 1,14399,R,10:00am - 10:50am,GIRV 2112
ECON 1,14407,W,7:00pm - 7:50pm,GIRV 1116
ECON 1,53694,W,6:00pm - 6:50pm,GIRV 1116
ECON 1,53702,R,10:00am - 10:50am,387 1015
ECON 2,RUPERT P,T R,9:30 am - 10:45am,CAMPBHALL
ECON 2,14423,W,8:00 am - 8:50 am,PHELP3523
ECON 2,14431,W,9:00 am - 9:50 am,PHELP3523
ECON 2,14449,F,9:00 am - 9:50 am,NH 1111
ECON 2,14456,W,5:00pm - 5:50pm,PHELP1448
ECON 2,14464,W,6:00pm - 6:50pm,PHELP1445
ECON 2,14472,R,6:00pm - 6:50pm,PHELP1445
ECON 2,14480,M,6:00pm - 6:50pm,PHELP1448
ECON 2,14498,R,5:00pm - 5:50pm,PHELP1444
ECON 2,14506,R,5:00pm - 5:50pm,PHELP3523
ECON 2,14514,M,5:00pm - 5:50pm,GIRV 2120
ECON 2,14522,M,6:00pm - 6:50pm,GIRV 2120
ECON 2,14530,W,5:00pm - 5:50pm,PHELP1445
ECON 2,14548,M,5:00pm - 5:50pm,PHELP1445
ECON 2,14555,F,9:00 am - 9:50 am,PHELP1440
ECON 2,53793,W,8:00 am - 8:50 am,GIRV 1116
ECON 2,56788,W,6:00pm - 6:50pm,PHELP1444
ECON 2,56796,R,6:00pm - 6:50pm,PHELP1444
ECON 2,56804,W,9:00 am - 9:50 am,PHELP2536
ECON 3A,ANDERSON R W,M W,8:00 am - 9:15 am,BUCHN1940
ECON 3A,14571,T,2:00pm - 2:50pm,ARTS 1356
ECON 3A,14589,W,1:00pm - 1:50pm,ARTS 1349
ECON 3A,14597,W,2:00pm - 2:50pm,GIRV 2112
ECON 3A,14605,R,2:00pm - 2:50pm,ARTS 1356
ECON 3A,14613,F,10:00am - 10:50am,PHELP1444
ECON 3AH,ANDERSON R W,M,11:00am - 11:50am,NH 1122
ECON 3B,FULKERSON S D,M W,5:00pm - 6:15pm,BUCHN1920
ECON 3B,14647,T,11:00am - 11:50am,NH 1122
ECON 3B,14654,T,8:00 am - 8:50 am,NH 1122
ECON 3B,14662,T,10:00am - 10:50am,NH 1122
ECON 3B,14670,R,11:00am - 11:50am,NH 1122
ECON 3B,14688,R,10:00am - 10:50am,NH 1122
ECON 3BH,FULKERSON S D,M,1:00pm - 1:50pm,NH 1122
ECON 9,BENELLI C A,M W F,10:00am - 10:50am,IV THEA2
ECON 9,14720,T,5:00pm - 5:50pm,PHELP2514
ECON 9,14738,T,4:00pm - 4:50pm,GIRV 1116
ECON 9,14746,T,5:00pm - 5:50pm,PHELP1445
ECON 9,14753,T,6:00pm - 6:50pm,PHELP2514
ECON 9,BENELLI C A,M W F,11:00am - 11:50am,IV THEA2
ECON 9,54221,T,4:00pm - 4:50pm,387 1015
ECON 9,54239,T,5:00pm - 5:50pm,PHELP1444
ECON 9,54247,T,6:00pm - 6:50pm,PHELP1445
ECON 9,54254,T,7:00pm - 7:50pm,PHELP1444
ECON 10A,HARTMAN J L,M W F,10:00am - 10:50am,EMBARHALL
ECON 10A,,T,8:00 am - 8:50 am,CAMPBHALL
ECON 10A,14795,W,5:00pm - 5:50pm,GIRV 2129
ECON 10A,14803,W,6:00pm - 6:50pm,PHELP2514
ECON 10A,14811,W,5:00pm - 5:50pm,PHELP2524
ECON 10A,14829,W,6:00pm - 6:50pm,PHELP1448
ECON 10A,14837,W,5:00pm - 5:50pm,GIRV 2108
ECON 10A,14845,R,4:00pm - 4:50pm,GIRV 2115
ECON 10A,14852,R,5:00pm - 5:50pm,GIRV 2108
ECON 10A,14860,R,6:00pm - 6:50pm,GIRV 2123
ECON 10A,BENZARTI Y C,M W F,12:00pm - 12:50pm,MUSICLLCH
ECON 10A,,T,8:00 am - 8:50 am,CAMPBHALL
ECON 10A,54700,F,9:00 am - 9:50 am,PHELP1444
ECON 10A,54718,F,10:00am - 10:50am,PHELP2514
ECON 10A,54726,R,4:00pm - 4:50pm,GIRV 2112
ECON 10A,56812,R,6:00pm - 6:50pm,GIRV 2108
ECON 10A,56820,R,4:00pm - 4:50pm,GIRV 2108
ECON 10A,56838,R,7:00pm - 7:50pm,PHELP1444
ECON 10A,56846,R,5:00pm - 5:50pm,PHELP2514
ECON 10A,56853,R,6:00pm - 6:50pm,PHELP2514
ECON 10A,60996,W,7:00pm - 7:50pm,PHELP1444
ECON 10A,61002,W,7:00pm - 7:50pm,PHELP1440
ECON 93,BEDARD K L,,,T B A
ECON 96,ROYER H N,T,9:30 am - 10:45am,NH 2212
ECON 100B,YUKSEL S,T R,12:30pm - 1:45pm,CHEM 1179
ECON 100B,15008,R,5:00pm - 5:50pm,GIRV 2115
ECON 100B,15016,R,5:00pm - 5:50pm,GIRV 2112
ECON 100B,15024,R,6:00pm - 6:50pm,GIRV 2116
ECON 100B,15032,R,7:00pm - 7:50pm,GIRV 1116
ECON 100B,54999,F,10:00am - 10:50am,387 1015
ECON 100B,55004,F,11:00am - 11:50am,GIRV 2129
