courseID,enrollCode,days,time,loction
ECE 1A,WANG L C,W,3:00pm - 3:50pm,SH 1431
ECE 5,WANG L CBEN-YAACOV I||HESPANHA J P||,M W,4:00pm - 4:50pm,SH 1431
ECE 5,13086,F,12:00pm - 2:50pm,HFH 1124
ECE 5,13094,T,5:00pm - 7:50pm,HFH 1124
ECE 5,13102,F,9:00 am - 11:50am,HFH 1124
ECE 5,13110,W,9:00 am - 11:50am,HFH 1124
ECE 10A,SALEM L G,T R,3:30pm - 4:45pm,PHELP1440
ECE 10AL,SALEM L GSALEM L G||GRUNDEEN S M||,F,9:00 am - 11:50am,HFH 5162C
ECE 10B,SCHOW C L,T R,5:00pm - 6:15pm,HFH 1104
ECE 10BL,SCHOW C LSCHOW C L||IFTEKHAR A||,W,12:00pm - 3:50pm,HFH 5162C
ECE 10BL,63321,W,8:00 am - 11:50am,HFH 5162C
ECE 10BL,63339,R,8:00 am - 11:50am,HFH 5162C
ECE 10BL,SCHOW C LSCHOW C L||IFTEKHAR A||SCHOW C L||LARIMIAN S||,T,6:30pm - 10:20pm,HFH 5162C
ECE 10BL,SCHOW C LSCHOW C L||IFTEKHAR A||SCHOW C L||LARIMIAN S||SCHOW C L||DU X||,W,6:30pm - 10:20pm,HFH 5162C
ECE 10BL,SCHOW C LSCHOW C L||IFTEKHAR A||SCHOW C L||LARIMIAN S||SCHOW C L||DU X||SCHOW C L||LI BOHAN||,R,12:00pm - 3:50pm,HFH 5162C
ECE 10BL,SCHOW C LSCHOW C L||IFTEKHAR A||SCHOW C L||LARIMIAN S||SCHOW C L||DU X||SCHOW C L||LI BOHAN||NAMAZI M||SCHOW C L||,R,6:30pm - 10:20pm,HFH 5162C
ECE 10BL,SCHOW C LSCHOW C L||IFTEKHAR A||SCHOW C L||LARIMIAN S||SCHOW C L||DU X||SCHOW C L||LI BOHAN||NAMAZI M||SCHOW C L||KORATTI SIVAK||SCHOW C L||,T,12:00pm - 3:50pm,HFH 5162C
ECE 10BL,SCHOW C LSCHOW C L||IFTEKHAR A||SCHOW C L||LARIMIAN S||SCHOW C L||DU X||SCHOW C L||LI BOHAN||NAMAZI M||SCHOW C L||KORATTI SIVAK||SCHOW C L||GOEBEL M G||SCHOW C L||,F,12:00pm - 3:50pm,HFH 5162C
ECE 10BL,SCHOW C LSCHOW C L||IFTEKHAR A||SCHOW C L||LARIMIAN S||SCHOW C L||DU X||SCHOW C L||LI BOHAN||NAMAZI M||SCHOW C L||KORATTI SIVAK||SCHOW C L||GOEBEL M G||SCHOW C L||ELSHAFIY A||SCHOW C L||,W,8:00 am - 11:50am,HFH 5162C
ECE 10BL,T B A,R,8:00 am - 11:50am,HFH 5162C
ECE 15A,ZHANG Z,M W,5:00pm - 6:15pm,EMBARHALL
ECE 15A,13235,F,8:00 am - 8:50 am,HSSB 1211
ECE 15A,13243,R,9:00 am - 9:50 am,PHELP2536
ECE 15A,13250,R,8:00 am - 8:50 am,HSSB 2251
ECE 15A,13268,W,2:00pm - 2:50pm,PHELP3519
ECE 15A,13276,T,8:00 am - 8:50 am,HSSB 1233
ECE 15A,13284,F,9:00 am - 9:50 am,HSSB 1232
ECE 15A,13292,F,10:00am - 10:50am,GIRV 1119
ECE 15A,53223,F,11:00am - 11:50am,GIRV 2119
ECE 92,T B A,,,T B A
ECE 94R,LEE H,R,5:00pm - 5:50pm,HFH 4164
ECE 120A,BEN-YAACOV I,M W,9:30 am - 10:45am,387 1011
ECE 120A,13334,T,7:00pm - 9:50pm,ENGR21141D
ECE 120A,13342,R,7:00pm - 9:50pm,ENGR21141D
ECE 122B,BREWER F,M W F,9:00 am - 9:50 am,GIRV 2112
ECE 122B,13367,R,8:00 am - 8:50 am,387 1011
ECE 130B,PEDARSANI R,T R,12:30pm - 1:45pm,BIOEN1001
ECE 130B,13383,R,7:00pm - 8:50pm,PHELP1448
ECE 130B,13391,F,2:00pm - 3:50pm,PHELP1440
ECE 130B,13409,W,2:00pm - 3:50pm,PHELP1431
ECE 137A,RODWELL M J,T R,11:00am - 12:15pm,SH 1431
ECE 137A,13425,R,8:00 am - 10:50am,HFH 5160A
ECE 137A,13433,T,7:00pm - 9:50pm,HFH 5160A
ECE 137A,13441,W,7:00pm - 9:50pm,HFH 5160A
ECE 144,KLAMKIN J,T R,9:30 am - 10:45am,GIRV 2124
ECE 144,13466,T,8:00 am - 8:50 am,GIRV 1116
ECE 145B,BUCKWALTER J,T R,2:00pm - 3:15pm,GIRV 2108
ECE 145B,13482,R,7:00pm - 9:50pm,HFH 5162D
