courseID,enrollCode,days,time,loction
ENGL 10,DONNELLY B,M W,6:30pm - 7:45pm,BUCHN1910
ENGL 10,18952,T,8:00 am - 8:50 am,SH 2623
ENGL 10,18960,T,9:00 am - 9:50 am,SH 2623
ENGL 10,18978,T,10:00am - 10:50am,SH 2623
ENGL 10,18986,T,11:00am - 11:50am,SH 2623
ENGL 10,18994,T,5:00pm - 5:50pm,SH 2623
ENGL 10,19000,T,6:00pm - 6:50pm,SH 2623
ENGL 10,19018,W,8:00 am - 8:50 am,SH 2623
ENGL 10,19026,W,9:00 am - 9:50 am,SH 2623
ENGL 10,19034,W,10:00am - 10:50am,SH 2623
ENGL 10,19042,W,11:00am - 11:50am,SH 2623
ENGL 10,19059,W,4:00pm - 4:50pm,PHELP1508
ENGL 10,19067,W,5:00pm - 5:50pm,PHELP3519
ENGL 11,KING R S,T R,2:00pm - 3:15pm,GIRV 2127
ENGL 11,WICKE J A,M W,12:30pm - 1:45pm,GIRV 1119
ENGL 11,DROGE A M,M W,9:30 am - 10:45am,GIRV 1119
ENGL 18,ENDERS J,M W,1:00pm - 1:50pm,BIOEN1001
ENGL 18,19125,R,10:00am - 11:50am,SH 2635
ENGL 18,19133,R,2:00pm - 3:50pm,SH 2635
ENGL 18,19141,F,9:00 am - 10:50am,SH 2635
ENGL 18,19158,F,12:00pm - 1:50pm,ARTS 1349
ENGL 65WW,WICKE J A,T R,2:00pm - 3:15pm,TD-W 1701
ENGL 99,T B A,,,T B A
ENGL 100SO,WAID C J,M,7:00pm - 7:50pm,SH 2617
ENGL 103A,MASLAN M J,M W,12:30pm - 1:45pm,GIRV 1004
ENGL 103A,60376,M,5:00pm - 5:50pm,SH 2623
ENGL 103A,60384,M,6:00pm - 6:50pm,SH 2623
ENGL 103A,60392,T,8:00 am - 8:50 am,SH 2635
ENGL 103A,60400,T,9:00 am - 9:50 am,SH 2635
ENGL 103A,60418,T,5:00pm - 5:50pm,SH 2635
ENGL 103A,60426,T,6:00pm - 6:50pm,SH 2635
ENGL 103A,60434,W,8:00 am - 8:50 am,SH 2635
ENGL 103A,60442,W,9:00 am - 9:50 am,SH 2635
ENGL 103AS,MASLAN M J,M,3:00pm - 3:50pm,GIRV 1106
ENGL 104B,BOSCAGLI M,T R,2:00pm - 3:15pm,GIRV 1004
ENGL 104B,19273,T,5:00pm - 5:50pm,GIRV 2127
