courseID,enrollCode,days,time,loction
ENV S 2,MORET S L,M W,3:30pm - 4:45pm,IV THEA1
ENV S 2,20081,F,8:00 am - 8:50 am,HSSB 4202
ENV S 2,20099,R,6:00pm - 6:50pm,GIRV 1119
ENV S 2,20107,F,9:00 am - 9:50 am,HSSB 1223
ENV S 2,20115,T,5:00pm - 5:50pm,HSSB 4202
ENV S 2,20123,R,4:00pm - 4:50pm,NH 1111
ENV S 2,20131,W,8:00 am - 8:50 am,HSSB 1233
ENV S 2,20149,F,1:00pm - 1:50pm,HSSB 1214
ENV S 2,20156,W,6:00pm - 6:50pm,GIRV 2119
ENV S 2,20164,W,6:00pm - 6:50pm,GIRV 2116
ENV S 2,20172,R,5:00pm - 5:50pm,HSSB 4201
ENV S 2,20180,F,2:00pm - 2:50pm,HSSB 1211
ENV S 2,20198,F,8:00 am - 8:50 am,HSSB 1227
ENV S 2,20206,T,6:00pm - 6:50pm,HSSB 3201
ENV S 2,20214,W,2:00pm - 2:50pm,NH 1109
ENV S 2,20222,R,4:00pm - 4:50pm,PHELP2536
ENV S 2,20230,R,8:00 am - 8:50 am,HSSB 4202
ENV S 2,20248,F,2:00pm - 2:50pm,HSSB 1210
ENV S 2,20255,T,7:00pm - 7:50pm,HSSB 4201
ENV S 2,20263,T,4:00pm - 4:50pm,GIRV 1119
ENV S 2,20271,T,5:00pm - 5:50pm,HSSB 4201
ENV S 2H,MORET S L,W,2:00pm - 2:50pm,GIRV 2108
ENV S 15A,GARDNER H K,T R,12:30pm - 1:45pm,IV THEA2
ENV S 15A,20305,T,2:00pm - 2:50pm,SH 1609
ENV S 15A,20313,T,3:00pm - 3:50pm,HSSB 4202
ENV S 15A,20321,W,8:00 am - 8:50 am,HSSB 2251
ENV S 15A,20339,F,8:00 am - 8:50 am,HSSB 1232
ENV S 15A,20347,R,6:00pm - 6:50pm,GIRV 2127
ENV S 15A,20354,R,5:00pm - 5:50pm,GIRV 1112
ENV S 30,HEILMAYR R F,M W,5:00pm - 6:15pm,HSSB 1173
ENV S 30,61937,R,8:00 am - 8:50 am,HSSB 4201
ENV S 30,61945,F,8:00 am - 8:50 am,HSSB 4201
ENV S 30,61952,F,9:00 am - 9:50 am,HSSB 1214
