courseID,enrollCode,days,time,loction
ES 1- 2,CHECKETTS A W,MTWRF,12:00pm - 6:00pm,BSBL FIELD
ES 1- 4A,RINKLER KLOBU,T R,10:00am - 10:50am,RECENPVGYM
ES 1- 4B,HOUGHTON B L,T R,10:00am - 10:50am,RECENPVGYM
ES 1- 6A,SHIPLEY A O,M W,11:00am - 11:50am,RECENPVGYM
ES 1- 6A,COLSON G W,T R,11:00am - 11:50am,RECENPVGYM
ES 1- 6A,FELIX M N,M W,1:00pm - 1:50pm,RECENPVGYM
ES 1- 6B,SHIPLEY A O,M W,10:00am - 10:50am,RECENPVGYM
ES 1- 6B,COLSON G W,T R,1:00pm - 1:50pm,RECENPVGYM
ES 1- 6C,SHIPLEY A O,M W,10:00am - 10:50am,RECENPVGYM
ES 1- 6C,COLSON G W,T R,1:00pm - 1:50pm,RECENPVGYM
ES 1- 7A,SCHAUPETER B,M,10:30am - 12:20pm,SB HARBR
ES 1- 7A,SCHAUPETER B,M,12:30pm - 2:20pm,SB HARBR
ES 1- 7A,SCHAUPETER B,T,10:30am - 12:20pm,SB HARBR
ES 1- 7A,SCHAUPETER B,T,12:30pm - 2:20pm,SB HARBR
ES 1- 7A,SCHAUPETER B,W,10:30am - 12:20pm,SB HARBR
ES 1- 7B,SCHAUPETER B,M,2:30pm - 4:20pm,SB HARBR
ES 1- 9A,SHEPARD T J,R,1:00pm - 2:50pm,ZODO BOWL
ES 1- 9A,SHEPARD T J,M,10:00am - 11:50am,ZODO BOWL
ES 1- 10A,T B A,,,T B A
ES 1- 10A,GAGE R J,M W,11:00am - 11:50am,RGYM 1430
ES 1- 10B,WILLIAMS A,T R,9:00 am - 9:50 am,RGYM 1430
ES 1- 10B,GAGE R J,M W,10:00am - 10:50am,RGYM 1430
ES 1- 10C,GAGE R J,M W,9:00 am - 9:50 am,RGYM 1430
ES 1- 11,T B A,MTWRF,12:00pm - 2:50pm,EVENTCENTR
ES 1- 11,T B A,MTWRF,3:00pm - 5:30pm,EVENTCENTR
ES 1- 12,RINKLER KLOBU,T R,8:00 am - 8:50 am,RGYM 1125
ES 1- 12,RINKLER KLOBU,T R,9:00 am - 9:50 am,RGYM 1125
ES 1- 12,ERICSON M J,M W,1:00pm - 1:50pm,RGYM 1125
ES 1- 12,ERICSON M J,T R,11:00am - 11:50am,RGYM 1125
ES 1- 13A,ROBINSON T,T R,11:00am - 11:50am,RGYM 2120
ES 1- 13B,ROBINSON T,T R,12:00pm - 12:50pm,RGYM 2120
ES 1- 13C,ROBINSON T,T R,12:00pm - 12:50pm,RGYM 2120
ES 1- 15A,CUNNINGHAM S,M W,10:00am - 10:50am,RGYM 1410
ES 1- 15B,CUNNINGHAM S,M W,9:00 am - 9:50 am,RGYM 1410
ES 1- 16A,OTA S K,M W,11:00am - 11:50am,RGYM 2320
ES 1- 16A,OTA S K,M W,12:00pm - 12:50pm,RGYM 2320
ES 1- 16A,SILVA M M,T R,10:00am - 10:50am,RGYM 2320
ES 1- 16A,SILVA M M,T R,11:00am - 11:50am,RGYM 2320
ES 1- 16B,OTA S K,M W,1:00pm - 1:50pm,RGYM 2320
ES 1- 22,LASS S,MTWRF,1:00pm - 4:50pm,GOLF COURS
ES 1- 24A,T B A,M,10:00am - 11:50am,STORKFIELD
ES 1- 24A,DEHERAS D J,T,9:00 am - 10:50am,STORKFIELD
ES 1- 24A,DEHERAS D J,W,9:00 am - 10:50am,STORKFIELD
ES 1- 24B,DEHERAS D J,W,11:00am - 12:50pm,STORKFIELD
ES 1- 25A,MAY D S,T R,1:00pm - 1:50pm,RGYM 1270
ES 1- 25B,MAY D S,T R,1:00pm - 1:50pm,RGYM 1270
ES 1- 26A,MAY D S,T R,2:00pm - 2:50pm,RGYM 1270
ES 1- 26B,MAY D S,T R,2:00pm - 2:50pm,RGYM 1270
ES 1- 29A,ORTIZ F J,T R,1:00pm - 1:50pm,RECENCOURT
ES 1- 29A,RASSENTI D,M W,10:00am - 10:50am,RECENCOURT
ES 1- 29B,RASSENTI D,M W,11:00am - 11:50am,RECENCOURT
ES 1- 30A,WILSON R J,M W,10:00am - 10:50am,RECENFIELD
ES 1- 30A,WILSON R J,T R,11:00am - 11:50am,RECENFIELD
ES 1- 30B,WILSON R J,M W,11:00am - 11:50am,RECENFIELD
ES 1- 30B,WILSON R J,T R,10:00am - 10:50am,RECENFIELD
ES 1- 31A,CANNON K D,M,10:00am - 11:50am,SFTBLFIELD
ES 1- 32,GALICINAO B M,MTWRF,1:00pm - 6:00pm,SFTBLFIELD
ES 1- 33,T B A,MTWRF,6:30 am - 8:30 am,SWIM POOL
ES 1- 33,T B A,MTWRF,6:30 am - 8:30 am,SWIM POOL
ES 1- 34A,ALLAIN T S,M W,10:00am - 10:50am,
ES 1- 34A,ALLAIN T S,T R,11:00am - 11:50am,
ES 1- 34B,ALLAIN T S,M W,11:00am - 11:50am,
ES 1- 34B,ALLAIN T S,T R,10:00am - 10:50am,
ES 1- 36,WILSON R J,M W,9:00 am - 9:50 am,RECENFIELD
ES 1- 36,WILSON R J,T R,9:00 am - 9:50 am,RECENFIELD
ES 1- 36,T B A,,,T B A
ES 1- 37,THIBODEAU S,MTWRF,2:00pm - 5:00pm,RGYM CTS
ES 1- 37,DAVIS M J,MTWRF,2:00pm - 4:50pm,RECENCOURT
ES 1- 38A,GERSTENFELD P,M W,9:00 am - 9:50 am,RECENCOURT
ES 1- 38A,GERSTENFELD P,M W,10:00am - 10:50am,RECENCOURT
ES 1- 38A,GERSTENFELD P,T R,11:00am - 11:50am,RECENCOURT
ES 1- 38B,GERSTENFELD P,T R,9:00 am - 9:50 am,RECENCOURT
ES 1- 38B,GERSTENFELD P,M W,11:00am - 11:50am,RECENCOURT
ES 1- 38B,GERSTENFELD P,T R,10:00am - 10:50am,RECENCOURT
ES 1- 40A,MCGOLPIN R E,M W,9:00 am - 9:50 am,RGYM 1220
ES 1- 40A,MCGOLPIN R E,T R,9:00 am - 9:50 am,RGYM 1220
ES 1- 40B,MCGOLPIN R E,M W,10:00am - 10:50am,RGYM 1220
ES 1- 40B,MCGOLPIN R E,T R,10:00am - 10:50am,RGYM 1220
ES 1- 40C,MCGOLPIN R E,T R,10:00am - 10:50am,RGYM 1220
ES 1- 42,T B A,MTWRF,2:00pm - 5:50pm,TRACKFIELD
ES 1- 42,T B A,MTWRF,2:00pm - 5:50pm,TRACKFIELD
ES 1- 43A,ERICSON M J,M W,9:00 am - 9:50 am,RECENWTRM
