courseID,enrollCode,days,time,loction
FEMST 20,T B A,M W,11:00am - 12:15pm,EMBARHALL
FEMST 20,23937,M,5:00pm - 5:50pm,HSSB 2251
FEMST 20,23945,M,2:00pm - 2:50pm,HSSB 3202
FEMST 20,23952,M,3:00pm - 3:50pm,HSSB 3202
FEMST 20,23960,W,2:00pm - 2:50pm,HSSB 4202
FEMST 20,23978,W,3:00pm - 3:50pm,HSSB 1228
FEMST 20,23986,W,4:00pm - 4:50pm,HSSB 4201
FEMST 20,23994,R,4:00pm - 4:50pm,HSSB 3202
FEMST 20,24000,R,5:00pm - 5:50pm,GIRV 1108
FEMST 20,24018,R,6:00pm - 6:50pm,HSSB 2201
FEMST 20,24026,F,10:00am - 10:50am,HSSB 3201
FEMST 20,24034,F,11:00am - 11:50am,HSSB 3201
FEMST 20,24042,F,2:00pm - 2:50pm,HSSB 3201
FEMST 30,TANNER L C,M W,6:30pm - 7:45pm,LSB 1001
FEMST 30,24067,W,9:00 am - 9:50 am,PHELP1448
FEMST 30,24075,W,5:00pm - 5:50pm,GIRV 1108
FEMST 30,24083,W,11:00am - 11:50am,PHELP3523
FEMST 30,24091,F,1:00pm - 1:50pm,GIRV 1108
FEMST 30,24109,F,12:00pm - 12:50pm,GIRV 1108
FEMST 30,24117,F,3:00pm - 3:50pm,HSSB 2201
FEMST 80,STAHL A,T R,9:30 am - 10:45am,EMBARHALL
FEMST 80,24133,R,12:00pm - 12:50pm,HSSB 3201
FEMST 80,24141,R,1:00pm - 1:50pm,HSSB 2201
FEMST 80,24158,R,2:00pm - 2:50pm,HSSB 3202
FEMST 80,24166,T,12:00pm - 12:50pm,HSSB 3202
FEMST 80,24174,T,1:00pm - 1:50pm,HSSB 3201
FEMST 80,24182,T,2:00pm - 2:50pm,HSSB 4201
FEMST 80,24190,W,4:00pm - 4:50pm,HSSB 3201
FEMST 80,24208,W,5:00pm - 5:50pm,HSSB 3201
FEMST 80,24216,W,6:00pm - 6:50pm,HSSB 3201
FEMST 80,58404,F,9:00 am - 9:50 am,GIRV 1108
FEMST 80,58412,F,10:00am - 10:50am,GIRV 1108
FEMST 80,58420,F,11:00am - 11:50am,GIRV 1108
FEMST 99,T B A,,,T B A
FEMST 120,T B ABORIS E C||CLARK L N||,M W,11:00am - 12:15pm,PHELP1160
FEMST 139,CHANG G,R,5:00pm - 7:50pm,PHELP2532
FEMST 142,BOBO J,M,4:00pm - 6:50pm,ARTS 1349
FEMST 143,BOBO J,T R,8:00 am - 9:15 am,ARTS 1356
FEMST 180,TOMLINSON B M,T R,3:30pm - 4:45pm,SH 1430
FEMST 181,BARVOSA E,W,3:00pm - 5:50pm,PHELP2514
FEMST 185BC,PINKERTON S J,M W,12:30pm - 1:45pm,HSSB 1215
FEMST 195HB,T B A,,,T B A
FEMST 198,T B A,,,T B A
FEMST 199,T B A,,,T B A
FEMST 199RA,T B A,,,T B A
