courseID,enrollCode,days,time,loction
FAMST 70,SIEGEL G D,M W F,9:00 am - 10:50am,PLLOKTHTR
FAMST 70,23176,M,1:00pm - 1:50pm,SSMS 2017
FAMST 70,23184,M,2:00pm - 2:50pm,SSMS 2017
FAMST 70,23192,M,3:00pm - 3:50pm,SSMS 2017
FAMST 70,23200,M,1:00pm - 1:50pm,SSMS 2303
FAMST 70,23218,M,2:00pm - 2:50pm,SSMS 2303
FAMST 70,23226,M,3:00pm - 3:50pm,SSMS 2303
FAMST 70,23234,T,9:00 am - 9:50 am,SSMS 2017
FAMST 70,23242,T,10:00am - 10:50am,SSMS 2017
FAMST 70,23259,T,11:00am - 11:50am,SSMS 2017
FAMST 70,23267,T,5:00pm - 5:50pm,SSMS 2013
FAMST 70,23275,T,6:00pm - 6:50pm,SSMS 2013
FAMST 70,23283,T,7:00pm - 7:50pm,SSMS 2013
FAMST 70,23291,R,9:00 am - 9:50 am,SSMS 2013
FAMST 70,23309,R,10:00am - 10:50am,SSMS 2013
FAMST 70,23317,R,11:00am - 11:50am,SSMS 2013
FAMST 95,PALLADINO J N,,,T B A
FAMST 99,T B A,,,T B A
FAMST 101B,WOLFE C C,M W,11:00am - 1:20pm,PLLOKTHTR
FAMST 101B,,T R,11:00am - 12:15pm,BUCHN1940
FAMST 101B,23358,T,4:00pm - 4:50pm,SSMS 2303
FAMST 101B,23366,T,5:00pm - 5:50pm,SSMS 2303
FAMST 101B,23374,T,6:00pm - 6:50pm,SSMS 2303
FAMST 101B,23382,W,8:00 am - 8:50 am,SSMS 2013
FAMST 101B,23390,W,9:00 am - 9:50 am,SSMS 2013
FAMST 101B,23408,W,10:00am - 10:50am,SSMS 2013
FAMST 101B,23416,W,8:00 am - 8:50 am,SSMS 2017
FAMST 101B,23424,W,9:00 am - 9:50 am,SSMS 2017
FAMST 101B,23432,W,10:00am - 10:50am,SSMS 2017
FAMST 101BH,WOLFE C C,R,1:00pm - 1:50pm,SSMS 2303
FAMST 104,LEARNED-WOLF,T R,3:00pm - 4:15pm,PLLOKTHTR
FAMST 104,23465,W,8:00 am - 8:50 am,PLLOKSTG
FAMST 104,23473,W,9:00 am - 9:50 am,PLLOKSTG
FAMST 104,23481,W,10:00am - 10:50am,PLLOKSTG
FAMST 106B,LEARNED-WOLF,T R,9:00 am - 10:50am,SSMS 2303
FAMST 106B,JENKINS C L,T R,9:00 am - 10:50am,SSMS 2303
FAMST 107,JENKINS C L,T R,11:00am - 12:50pm,PLLOKTHTR
FAMST 113PW,STEINKELLNER,F,9:00 am - 11:50am,SSMS 2303
FAMST 115,HOLCOMB S J,M W,2:00pm - 3:50pm,SSMS 2414
FAMST 118,JENKINS C L,M W,11:00am - 12:50pm,SSMS 2303
FAMST 119ML,SARKAR B,M,9:00 am - 10:50am,SSMS 2017
FAMST 119ML,,M F,6:00pm - 11:50pm,IV THEA1
FAMST 122ME,SHEREEN SAKR,M W,1:00pm - 2:30pm,SSMS 2013
FAMST 151AE,MELNICK R D,M W,1:30pm - 4:15pm,PLLOKTHTR
FAMST 165BA,EVERETT A,T R,1:00pm - 2:20pm,SSMS 2013
FAMST 165MV,FELANDO C L,T R,9:00 am - 10:50am,PLLOKTHTR
FAMST 166EM,DAMLUJI M N,T,1:00pm - 3:50pm,SSMS 2303
FAMST 166EM,,R,1:00pm - 2:50pm,SSMS 2311
FAMST 187AR,DRISKEL D B,T R,2:00pm - 3:50pm,SSMS 2017
FAMST 187FT,EVERETT A,T,9:00 am - 11:50am,SSMS 2013
FAMST 187SH,FELANDO C L,T R,3:00pm - 4:50pm,SSMS 2013
FAMST 188A,MINER M A,T R,12:00pm - 1:50pm,SSMS 2017
FAMST 188B,MINER M A,T R,4:00pm - 5:50pm,SSMS 2017
FAMST 189FT,SHEREEN SAKR,M,4:00pm - 6:50pm,SSMS 2017
FAMST 189TT,HAN L Y,M W,11:00am - 12:50pm,SSMS 2013
FAMST 192DT,CHANG A Y,T R,1:00pm - 2:50pm,PLLOKTHTR
FAMST 192DT,65391,T,6:00pm - 6:50pm,SSMS 2017
FAMST 192DT,65409,T,7:00pm - 7:50pm,SSMS 2017
FAMST 192DT,65417,T,8:00pm - 8:50pm,SSMS 2017
FAMST 192DT,65425,W,4:00pm - 4:50pm,SSMS 2013
FAMST 192DT,65433,W,5:00pm - 5:50pm,SSMS 2013
FAMST 192DT,65441,W,6:00pm - 6:50pm,SSMS 2013
FAMST 195I,PALLADINO J N,,,T B A
FAMST 195PI,RYAN M J,,,T B A
FAMST 196,T B A,,,T B A
FAMST 199,T B A,,,T B A
FAMST 199RA,T B A,,,T B A
