courseID,enrollCode,days,time,loction
GER 1G,KOMMERELL G,M W,10:00am - 11:50am,PHELP5312
GER 2,REDER E R,MTWR,10:00am - 10:50am,GIRV 2120
GER 2,SHEEDY M A,MTWR,10:00am - 10:50am,GIRV 2108
GER 2,SHEEDY M A,MTWR,11:00am - 11:50am,GIRV 2112
GER 2,SHEEDY M ATHOMSEN S S||REDER E R||,MTWR,2:00pm - 2:50pm,PHELP1508
GER 2,MEYR J E,MTWR,1:00pm - 1:50pm,PHELP2514
GER 2,MEYR J ELOVETT D W||REDER E R||,MTWR,12:00pm - 12:50pm,GIRV 2112
GER 2,MEYR J E,MTWR,2:00pm - 2:50pm,NH 1111
GER 5,REDER E R,MTWR,11:00am - 11:50am,GIRV 2120
GER 5,SHEEDY M A,MTWR,1:00pm - 1:50pm,GIRV 2108
GER 5,MEYR J E,MTWR,10:00am - 10:50am,PHELP2514
GER 35,VAGT C,T R,11:00am - 12:15pm,BUCHN1930
GER 35,25734,W,4:00pm - 4:50pm,GIRV 2116
GER 35,25742,W,5:00pm - 5:50pm,GIRV 2123
GER 101B,WHITE K D,T R,12:30pm - 1:45pm,HSSB 1207
GER 101B,WHITE K D,M W,12:30pm - 1:45pm,HSSB 1214
GER 108,VAGT C,T R,3:30pm - 4:45pm,HSSB 1224
GER 113,KITTLER W D,M W,11:00am - 12:15pm,PHELP6320
GER 179C,KITTLER W D,M W,2:00pm - 3:15pm,WEBB 1100
GER 197,T B A,,,T B A
GER 198,T B A,,,T B A
GER 199,T B A,,,T B A
GER 199RA,T B A,,,T B A
