courseID,enrollCode,days,time,loction
LING 2G,RIGHTMIRE S R,M W,11:00am - 12:50pm,GIRV 2108
LING 3A,LASHMET A J,T R,9:00 am - 10:50am,GIRV 2119
LING 3A,ROBERTSON J L,M W,9:00 am - 10:50am,GIRV 2123
LING 3A,ROBERTSON J L,M W,2:00pm - 3:50pm,HSSB 1236
LING 3A,LASHMET A J,M W,3:00pm - 4:50pm,HSSB 1224
LING 3A,SMALL A L,T R,3:00pm - 4:50pm,SH 1609
LING 3A,LASHMET A J,T R,12:00pm - 1:50pm,GIRV 2127
LING 3A,SMALL A L,T R,11:00am - 12:50pm,NH 1109
LING 3B,BAKER A D,T R,12:00pm - 1:50pm,NH 1111
LING 3B,BOWMAN I K,T R,8:00 am - 9:50 am,GIRV 2127
LING 3B,NICOLAESCU A,M W,11:00am - 12:50pm,PHELP1508
LING 3B,CORONA K D,T R,1:00pm - 2:50pm,GIRV 2123
LING 3B,BAKER A D,M W,8:00 am - 9:50 am,SH 1609
LING 3B,WESTMACOTT B,T R,10:00am - 11:50am,GIRV 2127
LING 3B,RIGHTMIRE S R,M W,2:00pm - 3:50pm,HSSB 1233
LING 3B,CORONA K D,M W,5:00pm - 6:50pm,HSSB 1211
LING 3C,NICOLAESCU A,M W,2:00pm - 3:50pm,HSSB 1237
LING 3C,WESTMACOTT B,M W,10:00am - 11:50am,NH 1109
LING 3C,SMALL A L,M W,3:00pm - 3:50pm,HSSB 1223
LING 3C,BAKER A D,T R,3:00pm - 4:50pm,HSSB 1232
LING 3C,ROBERTSON J L,T R,9:00 am - 10:50am,PHELP1529
LING 3C,NICOLAESCU A,T R,4:00pm - 5:50pm,HSSB 1236
LING 3C,WESTMACOTT B,M W,8:00 am - 9:50 am,GIRV 2124
LING 3C,DENEROFF I,T R,2:00pm - 3:50pm,PHELP2514
LING 3C,DENEROFF I,M W,12:00pm - 1:50pm,HSSB 1210
LING 4,GOUGH J D,,,T B A
LING 6,HANSON J L,M W,5:00pm - 6:50pm,PHELP1508
LING 8,DENEROFF I,M W,4:00pm - 5:50pm,PHELP1529
LING 12,NAUGHTON S J,M W,3:00pm - 4:50pm,HSSB 1227
LING 12,WEBB M T,M W,11:00am - 12:50pm,PHELP2536
LING 12,WEBB M T,T R,9:00 am - 10:50am,GIRV 2116
LING 12,NAUGHTON S J,T R,3:00pm - 4:50pm,PHELP1448
LING 12,WEBB M T,M W,9:00 am - 10:50am,PHELP3519
LING 12,CORONA K D,T R,11:00am - 12:50pm,PHELP2536
LING 14,GOUGH J D,T R,3:30pm - 4:45pm,GIRV 1108
LING 20,BRENDEL C D,M W,3:30pm - 4:45pm,BUCHN1940
LING 20,30502,M,5:00pm - 5:50pm,SH 3605
LING 20,30510,M,6:00pm - 6:50pm,SH 3605
LING 20,30528,M,7:00pm - 7:50pm,SH 3605
LING 20,30536,T,8:00 am - 8:50 am,SH 3605
LING 20,53280,T,9:00 am - 9:50 am,SH 3605
LING 70,KENNEDY R A,T R,9:30 am - 10:45am,BRDA 1610
LING 70,30601,T,3:00pm - 3:50pm,SH 3605
LING 70,30619,W,4:00pm - 4:50pm,GIRV 2124
LING 70,30627,W,9:00 am - 9:50 am,SH 3605
LING 70,30635,W,10:00am - 10:50am,SH 3605
LING 70,30643,T,5:00pm - 5:50pm,GIRV 2108
LING 70,30650,T,4:00pm - 4:50pm,GIRV 2112
LING 70,30668,W,8:00 am - 8:50 am,GIRV 2108
LING 70,55475,T,2:00pm - 2:50pm,SH 3605
LING 99,T B A,,,T B A
LING 99RA,T B A,,,T B A
LING 107,GORDON M K,M W,9:30 am - 10:45am,ED 1213
LING 107,30700,M,4:00pm - 4:50pm,NH 1111
LING 107,30718,M,5:00pm - 5:50pm,NH 1111
LING 109,CAMPBELL E W,T R,11:00am - 12:15pm,PHELP3505
LING 109,30734,W,8:00 am - 8:50 am,GIRV 2112
LING 109,30742,W,9:00 am - 9:50 am,PHELP1425
LING 111,BARNWELL B B,M,9:00 am - 11:50am,SH 3605
LING 111,64501,T,10:00am - 10:50am,SH 3605
LING 116,KENNEDY R A,T R,12:30pm - 1:45pm,NH 1105
LING 132,ZIMMAN L,W F,9:30 am - 10:45am,TD-W 1701
LING 132,55228,R,8:00 am - 8:50 am,SH 3605
LING 132,55236,R,9:00 am - 9:50 am,SH 3605
LING 132,55244,R,10:00am - 10:50am,SH 3605
LING 132,62778,R,6:00pm - 6:50pm,SH 3605
LING 132,62786,R,7:00pm - 7:50pm,SH 3605
LING 137,HOU L Y,M W,12:30pm - 1:45pm,NH 1006
LING 137,30858,T,12:00pm - 12:50pm,SH 3605
LING 137,30866,T,11:00am - 11:50am,SH 3605
LING 137,30874,W,11:00am - 11:50am,SH 3605
LING 137,55277,W,8:00 am - 8:50 am,SH 3605
LING 139,FRODESEN J M,M W,3:30pm - 4:45pm,GIRV 2108
LING 146,GORDON M K,M W,11:00am - 12:15pm,ED 1213
LING 146,67355,M,4:00pm - 4:50pm,SSMS 1304
LING 146,67371,M,3:00pm - 3:50pm,SSMS 1304
LING 149,CURTIN M L,T R,2:00pm - 3:15pm,GIRV 2129
LING 195A,T B A,,,T B A
LING 195B,T B A,,,T B A
LING 195C,T B A,,,T B A
LING 199,T B A,,,T B A
LING 199RA,T B A,,,T B A
