courseID,enrollCode,days,time,loction
MATH 2B,GARFIELD P M,M W F,10:00am - 10:50am,BUCHN1930
MATH 2B,31435,T R,5:00pm - 5:50pm,PHELP3519
MATH 2B,31443,T R,6:00pm - 6:50pm,ARTS 1356
MATH 2B,31450,T R,5:00pm - 5:50pm,PHELP2536
MATH 2B,31468,T R,6:00pm - 6:50pm,ARTS 1353
MATH 3A,YANG XU,T R,3:30pm - 4:45pm,NH 1006
MATH 3A,31484,W,8:00 am - 8:50 am,HSSB 1232
MATH 3A,31492,W,7:00pm - 7:50pm,HSSB 1228
MATH 3A,31500,W,5:00pm - 5:50pm,GIRV 2120
MATH 3A,31518,W,6:00pm - 6:50pm,HSSB 2251
MATH 3A,31526,R,8:00 am - 8:50 am,HSSB 1215
MATH 3A,KELZ J M,T R,8:00 am - 9:15 am,NH 1006
MATH 3A,31542,M,7:00pm - 7:50pm,HSSB 1228
MATH 3A,31559,M,6:00pm - 6:50pm,HSSB 1237
MATH 3A,31567,M,5:00pm - 5:50pm,HSSB 1227
MATH 3A,31575,M,8:00 am - 8:50 am,HSSB 1224
MATH 3A,31583,M,4:00pm - 4:50pm,HSSB 1232
MATH 3B,LOPEZ C,M W F,11:00am - 11:50am,LSB 1001
MATH 3B,31609,R,8:00 am - 8:50 am,HSSB 1214
MATH 3B,31617,R,5:00pm - 5:50pm,HSSB 1215
MATH 3B,31625,T,6:00pm - 6:50pm,HSSB 1236
MATH 3B,31633,R,7:00pm - 7:50pm,LSB 1101
MATH 3B,31641,T,8:00 am - 8:50 am,HSSB 1214
MATH 3B,31658,T,5:00pm - 5:50pm,HSSB 1228
MATH 3B,LABUTIN D A,T R,11:00am - 12:15pm,IV THEA1
MATH 3B,31674,W,8:00 am - 8:50 am,HSSB 1231
MATH 3B,31682,W,5:00pm - 5:50pm,GIRV 2119
MATH 3B,31690,W,6:00pm - 6:50pm,HSSB 1237
MATH 3B,31708,W,7:00pm - 7:50pm,HSSB 1227
MATH 3B,31716,W,8:00 am - 8:50 am,HSSB 1228
MATH 3B,31724,W,5:00pm - 5:50pm,GIRV 2116
MATH 3B,31732,W,6:00pm - 6:50pm,HSSB 1236
MATH 3B,31740,W,4:00pm - 4:50pm,GIRV 2115
MATH 3B,31757,M,8:00 am - 8:50 am,HSSB 1215
MATH 3B,31765,M,5:00pm - 5:50pm,HSSB 1224
MATH 3B,31773,M,6:00pm - 6:50pm,HSSB 1236
MATH 3B,31781,M,7:00pm - 7:50pm,HSSB 1227
MATH 3B,31799,M,8:00 am - 8:50 am,HSSB 1214
MATH 3B,31807,M,5:00pm - 5:50pm,HSSB 1223
MATH 3B,31815,M,6:00pm - 6:50pm,HSSB 1233
MATH 3B,31823,M,7:00pm - 7:50pm,HSSB 1224
MATH 3B,31831,W,5:00pm - 5:50pm,GIRV 2115
MATH 3B,31849,W,6:00pm - 6:50pm,HSSB 1233
MATH 3B,31856,W,4:00pm - 4:50pm,GIRV 2112
MATH 3B,31864,W,8:00 am - 8:50 am,HSSB 1227
MATH 3B,31872,W,7:00pm - 7:50pm,HSSB 1224
MATH 4A,PONCE G,T R,8:00 am - 9:15 am,IV THEA1
MATH 4A,31898,M,8:00 am - 8:50 am,HSSB 1211
MATH 4A,31906,M,8:00 am - 8:50 am,HSSB 1207
MATH 4A,31914,W,5:00pm - 5:50pm,SH 1609
MATH 4A,31922,M,5:00pm - 5:50pm,HSSB 1210
MATH 4A,31930,M,6:00pm - 6:50pm,HSSB 1228
MATH 4A,31948,M,7:00pm - 7:50pm,HSSB 1223
MATH 4A,31955,W,8:00 am - 8:50 am,HSSB 1224
MATH 4A,31963,W,8:00 am - 8:50 am,HSSB 1215
MATH 4A,31971,W,4:00pm - 4:50pm,GIRV 1116
MATH 4A,31989,W,5:00pm - 5:50pm,HSSB 2251
MATH 4A,31997,W,6:00pm - 6:50pm,HSSB 1228
MATH 4A,32003,W,7:00pm - 7:50pm,HSSB 1223
MATH 4A,32011,W,6:00pm - 6:50pm,HSSB 1227
MATH 4A,32029,W,4:00pm - 4:50pm,387 1015
MATH 4A,32037,M,5:00pm - 5:50pm,HSSB 1207
MATH 4A,32045,M,6:00pm - 6:50pm,HSSB 1227
MATH 4A,32052,M,7:00pm - 7:50pm,HSSB 1211
MATH 4A,32060,M,5:00pm - 5:50pm,HSSB 1206
MATH 4A,32078,M,6:00pm - 6:50pm,HSSB 1224
MATH 4A,32086,M,8:00 am - 8:50 am,HSSB 1206
MATH 4A,32094,M,7:00pm - 7:50pm,HSSB 1210
MATH 4B,KELZ J M,T R,2:00pm - 3:15pm,CHEM 1179
MATH 4B,32110,M,5:00pm - 5:50pm,LSB 1101
MATH 4B,32128,M,6:00pm - 6:50pm,HSSB 1223
MATH 4B,32136,M,7:00pm - 7:50pm,LSB 1101
MATH 4B,32144,W,8:00 am - 8:50 am,HSSB 1214
MATH 4B,32151,M,8:00 am - 8:50 am,LSB 1101
MATH 4B,32169,W,5:00pm - 5:50pm,HSSB 1237
MATH 4B,32177,W,6:00pm - 6:50pm,HSSB 1224
MATH 4B,32185,M,5:00pm - 5:50pm,BUCHN1934
MATH 4B,32193,M,6:00pm - 6:50pm,HSSB 1210
MATH 4B,32201,W,7:00pm - 7:50pm,HSSB 1211
MATH 4B,32219,M,7:00pm - 7:50pm,BUCHN1934
MATH 4B,32227,M,8:00 am - 8:50 am,BUCHN1934
MATH 4B,32235,W,6:00pm - 6:50pm,PHELP2532
MATH 4B,32243,W,7:00pm - 7:50pm,GIRV 2124
MATH 4B,BUENO CACHADI,T R,8:00 am - 9:15 am,LSB 1001
MATH 4B,32268,W,8:00 am - 8:50 am,HSSB 1211
MATH 4B,32276,T,5:00pm - 5:50pm,HSSB 1227
MATH 4B,32284,W,4:00pm - 4:50pm,PHELP1448
MATH 4B,32292,W,5:00pm - 5:50pm,HSSB 1236
MATH 4B,32300,W,6:00pm - 6:50pm,HSSB 1223
MATH 4B,32318,W,7:00pm - 7:50pm,HSSB 1210
MATH 6A,ZHANG YITANG,M W F,11:00am - 11:50am,HFH 1104
MATH 6A,32334,T,4:00pm - 4:50pm,HSSB 1237
MATH 6A,32342,T,5:00pm - 5:50pm,HSSB 1224
MATH 6A,32359,T,6:00pm - 6:50pm,HSSB 1233
MATH 6A,32367,T,7:00pm - 7:50pm,HSSB 1210
MATH 6A,32375,T,8:00 am - 8:50 am,HSSB 1211
MATH 6A,32383,W,8:00 am - 8:50 am,HSSB 1207
MATH 6A,MILLETT K C,T R,8:00 am - 9:15 am,TD-W 1701
MATH 6A,32409,W,5:00pm - 5:50pm,HSSB 1233
MATH 6A,32417,W,6:00pm - 6:50pm,HSSB 1210
MATH 6A,32425,W,7:00pm - 7:50pm,LSB 1101
MATH 6A,32433,W,8:00 am - 8:50 am,HSSB 1206
MATH 6A,32441,W,12:00pm - 12:50pm,PHELP3519
MATH 6A,32458,W,4:00pm - 4:50pm,PHELP1445
MATH 6A,PAN J,T R,2:00pm - 3:15pm,LSB 1001
MATH 6A,32474,R,8:00 am - 8:50 am,HSSB 1211
MATH 6A,32482,R,6:00pm - 6:50pm,HSSB 1227
MATH 6A,32490,T,5:00pm - 5:50pm,HSSB 1215
MATH 6A,32508,T,8:00 am - 8:50 am,HSSB 1207
MATH 6A,32516,T,6:00pm - 6:50pm,HSSB 1228
MATH 6A,32524,R,5:00pm - 5:50pm,HSSB 1214
MATH 6B,SHAKERIAN S,M W F,2:00pm - 2:50pm,IV THEA2
MATH 6B,32540,R,8:00 am - 8:50 am,HSSB 1207
MATH 6B,32557,R,7:00pm - 7:50pm,BUCHN1934
MATH 6B,32565,T,6:00pm - 6:50pm,HSSB 1227
MATH 6B,32573,R,5:00pm - 5:50pm,HSSB 1211
MATH 6B,32581,T,7:00pm - 7:50pm,LSB 1101
MATH 6B,SHAKERIAN S,M W F,8:00 am - 8:50 am,IV THEA2
MATH 6B,32607,T,5:00pm - 5:50pm,HSSB 1214
MATH 6B,32615,T,6:00pm - 6:50pm,HSSB 1224
MATH 6B,32623,T,7:00pm - 7:50pm,BUCHN1934
MATH 6B,32631,R,6:00pm - 6:50pm,HSSB 1224
MATH 6B,32649,R,5:00pm - 5:50pm,HSSB 1207
MATH 7H,CASTEELS K L,M,2:00pm - 3:15pm,GIRV 2108
MATH 8,AVETISYAN Z,M W F,10:00am - 10:50am,PHELP1440
MATH 8,32672,T R,5:00pm - 5:50pm,ARTS 1356
MATH 8,32680,T R,7:00pm - 7:50pm,PHELP2514
MATH 8,PATEL P,T R,11:00am - 12:15pm,PHELP1444
MATH 8,32706,T R,7:00pm - 7:50pm,HSSB 2202
MATH 8,32714,T R,6:00pm - 6:50pm,HSSB 1223
MATH 8,DAI X Z,T R,2:00pm - 3:15pm,PHELP1444
MATH 8,32730,M W,6:00pm - 6:50pm,GIRV 1119
MATH 8,32748,M W,7:00pm - 7:50pm,SH 1609
MATH 8,FRYER S,M W F,1:00pm - 1:50pm,GIRV 2112
MATH 8,32763,M W,6:00pm - 6:50pm,GIRV 2127
MATH 8,32771,M W,7:00pm - 7:50pm,PHELP2532
MATH 8,GARCIA-CERVER,T R,8:00 am - 9:15 am,PHELP1440
MATH 8,32797,M W,6:00pm - 6:50pm,NH 1109
MATH 8,32805,M W,7:00pm - 7:50pm,HSSB 2202
MATH 8,SAMPERTON E G,M W F,2:00pm - 2:50pm,PHELP2514
MATH 8,32821,T R,5:00pm - 5:50pm,ARTS 1353
MATH 8,32839,T R,7:00pm - 7:50pm,GIRV 2119
MATH 34A,EBRAHIM E,T R,9:30 am - 10:45am,BUCHN1910
MATH 34A,32854,T,6:00pm - 6:50pm,GIRV 2112
MATH 34A,32862,T,5:00pm - 5:50pm,SH 1609
MATH 34A,32870,T,7:00pm - 7:50pm,HSSB 1236
MATH 34A,32888,T,5:00pm - 5:50pm,HSSB 2251
MATH 34A,32896,T,7:00pm - 7:50pm,HSSB 1233
MATH 34A,32904,T,4:00pm - 4:50pm,NH 1111
MATH 34A,32912,T,6:00pm - 6:50pm,GIRV 1116
MATH 34A,32920,T,4:00pm - 4:50pm,HSSB 2251
MATH 34A,32938,T,8:00 am - 8:50 am,HSSB 1228
MATH 34A,32946,T,8:00 am - 8:50 am,HSSB 1227
MATH 34A,32953,T,6:00pm - 6:50pm,GIRV 2108
MATH 34A,32961,T,7:00pm - 7:50pm,HSSB 1228
MATH 34A,GARFIELD P M,M W F,9:00 am - 9:50 am,BUCHN1910
MATH 34A,32987,R,8:00 am - 8:50 am,HSSB 1232
MATH 34A,32995,R,5:00pm - 5:50pm,HSSB 2251
MATH 34A,33001,R,6:00pm - 6:50pm,GIRV 1112
MATH 34A,33019,R,7:00pm - 7:50pm,HSSB 1233
MATH 34A,33027,R,8:00 am - 8:50 am,HSSB 1231
MATH 34A,33035,R,5:00pm - 5:50pm,HSSB 1237
MATH 34A,33043,R,6:00pm - 6:50pm,SH 1609
MATH 34A,33050,R,7:00pm - 7:50pm,HSSB 1228
MATH 34A,33068,R,5:00pm - 5:50pm,HSSB 1232
MATH 34A,33076,R,7:00pm - 7:50pm,HSSB 1227
MATH 34A,33084,R,8:00 am - 8:50 am,HSSB 1228
MATH 34A,33092,R,6:00pm - 6:50pm,HSSB 2251
MATH 34B,COOPER D,M W F,9:00 am - 9:50 am,CAMPBHALL
MATH 34B,33118,T,8:00 am - 8:50 am,HSSB 1224
MATH 34B,33126,T,8:00 am - 8:50 am,HSSB 1223
MATH 34B,33134,T,5:00pm - 5:50pm,HSSB 1237
MATH 34B,33142,T,6:00pm - 6:50pm,SH 1609
MATH 34B,33159,T,7:00pm - 7:50pm,HSSB 1227
MATH 34B,33167,R,8:00 am - 8:50 am,HSSB 1227
MATH 34B,33175,R,6:00pm - 6:50pm,HSSB 1237
MATH 34B,33183,R,7:00pm - 7:50pm,HSSB 1224
MATH 34B,33191,R,8:00 am - 8:50 am,HSSB 1224
MATH 34B,33209,R,5:00pm - 5:50pm,HSSB 1231
MATH 34B,33217,R,6:00pm - 6:50pm,HSSB 1236
MATH 34B,33225,R,7:00pm - 7:50pm,HSSB 1223
MATH 34B,33233,R,8:00 am - 8:50 am,HSSB 1223
MATH 34B,33241,R,6:00pm - 6:50pm,HSSB 1233
MATH 34B,33258,R,7:00pm - 7:50pm,HSSB 1210
MATH 34B,33266,T,5:00pm - 5:50pm,HSSB 1232
MATH 34B,33274,T,6:00pm - 6:50pm,HSSB 2251
MATH 34B,33282,T,7:00pm - 7:50pm,HSSB 1224
MATH 34B,33290,T,8:00 am - 8:50 am,HSSB 1215
MATH 34B,33308,R,5:00pm - 5:50pm,HSSB 1228
MATH 34B,33316,R,5:00pm - 5:50pm,HSSB 1227
MATH 34B,33324,T,5:00pm - 5:50pm,HSSB 1231
MATH 34B,33332,T,6:00pm - 6:50pm,HSSB 1237
MATH 34B,33340,T,7:00pm - 7:50pm,HSSB 1223
MATH 34B,33357,R,5:00pm - 5:50pm,HSSB 1224
MATH 34B,33365,R,6:00pm - 6:50pm,HSSB 1228
MATH 100A,JACOB W B,T R,9:30 am - 10:45am,ED 4219
MATH 101B,OGRAIN C M,T R,12:30pm - 1:45pm,GIRV 1115
MATH CS 101B,CASTEELS K L,T R,2:00pm - 3:15pm,CRST 164B
MATH 102A,OGRAIN C M,T R,9:30 am - 10:45am,ED 1217
MATH 104A,ATZBERGER P J,T R,8:00 am - 9:15 am,PHELP1425
MATH 104B,CENICEROS H,T R,11:00am - 12:15pm,PHELP1425
MATH 104B,YANG XU,T R,8:00 am - 9:15 am,GIRV 2128
MATH 108A,LONG D D,M W F,1:00pm - 1:50pm,TD-W 2600
MATH 108A,GARCIA-CERVER,T R,9:30 am - 10:45am,PHELP2516
MATH CS 108A,CASTEELS K L,T R,11:00am - 12:50pm,CRST 164B
MATH 108B,PONCE G,T R,2:00pm - 3:15pm,NH 1105
MATH 108B,YE R,M W F,10:00am - 10:50am,TD-W 2600
MATH 111B,ZHAO XIAOLEI,M W F,11:00am - 11:50am,PHELP2524
MATH 115A,ZHANG YITANG,M W F,2:00pm - 2:50pm,GIRV 1119
MATH 117,TIAN K T,T R,8:00 am - 9:15 am,SH 1430
MATH 117,GOODEARL K,M W F,9:00 am - 9:50 am,ARTS 1349
MATH 117,VEGA GONZALEZ,M W F,11:00am - 11:50am,ARTS 1353
MATH CS 117,HUISGEN-ZIMME,M W F,10:00am - 11:15am,CRST 164B
MATH 118B,SIDERIS T C,T R,9:30 am - 10:45am,GIRV 1115
MATH 118B,AKEMANN C A,T R,12:30pm - 1:45pm,GIRV 1112
MATH 119B,BIRNIR B,T R,3:30pm - 4:45pm,GIRV 1112
MATH CS 120,BUENO CACHADI,M W,12:00pm - 1:15pm,CRST 164B
MATH 122A,PUTINAR M,T R,11:00am - 12:15pm,GIRV 1115
MATH CS 122A,LABUTIN D A,T R,1:00pm - 2:15pm,CRST 164B
MATH 124A,SIDERIS T C,T R,2:00pm - 3:15pm,PHELP2516
MATH 137A,CASTEELS K L,M W F,10:00am - 10:50am,ARTS 1349
MATH 193,T B A,,,T B A
MATH 194GS,CASTEELS K L,T,4:00pm - 4:50pm,CRST 164B
MATH 197A,T B A,,,T B A
MATH 197B,CASTEELS K L,,,T B A
MATH 199,T B A,,,T B A
MATH 199RA,T B A,,,T B A
