courseID,enrollCode,days,time,loction
MS 1AB,BUEHNER T D,M,1:00pm - 1:50pm,PHELP1309
MS 1AB,BUEHNER T D,R,9:00 am - 9:50 am,PHELP1309
MS 2AB,BUEHNER T D,T,11:00am - 11:50am,PHELP1309
MS 2AB,BUEHNER T D,W,11:00am - 11:50am,PHELP1309
MS 22,BUEHNER T D,M W F,6:30 am - 7:30 am,RECENFIELD
MS 99,BUEHNER T D,M W F,8:00 am - 8:50 am,PHELP1309
MS 132,BUEHNER T D,T R,1:00pm - 1:50pm,PHELP1309
MS 132,37846,R,2:00pm - 4:50pm,PHELP1309
MS 142,BUEHNER T D,T,2:30pm - 4:20pm,PHELP1309
MS 142,37861,R,2:00pm - 4:50pm,PHELP1309
MS 190,BUEHNER T D,W,8:00 am - 8:50 am,451 123
MS 199,BUEHNER T D,M W F,8:00 am - 8:50 am,PHELP1309
