courseID,enrollCode,days,time,loction
MCDB 1B,BUEHNER T DFINKELSTEIN R||LOW S H||NGUYEN A T||,M W F,12:00pm - 12:50pm,CAMPBHALL
MCDB 1B,BUEHNER T DFINKELSTEIN R||LOW S H||NGUYEN A T||GONZALEZ NINO||WILTON M B||,M W F,12:00pm - 12:50pm,BUCHN1910
MCDB 1B,34546,F,9:00 am - 9:50 am,BSIF 1217
MCDB 1B,34553,F,10:00am - 10:50am,BSIF 1217
MCDB 1B,34561,R,2:00pm - 2:50pm,BSIF 1217
MCDB 1B,34579,R,1:00pm - 1:50pm,BSIF 1217
MCDB 1B,34587,R,9:00 am - 9:50 am,BSIF 1217
MCDB 1B,34595,R,10:00am - 10:50am,BSIF 1217
MCDB 1B,34603,W,3:00pm - 3:50pm,BSIF 1217
MCDB 1B,34611,W,4:00pm - 4:50pm,BSIF 1217
MCDB 1BL,BUEHNER T DFINKELSTEIN R||LOW S H||NGUYEN A T||GONZALEZ NINO||WILTON M B||NGUYEN A T||PICCIANI DE S||,T,8:00 am - 10:50am,BSIF 2211
MCDB 1BL,BUEHNER T DFINKELSTEIN R||LOW S H||NGUYEN A T||GONZALEZ NINO||WILTON M B||NGUYEN A T||PICCIANI DE S||NGUYEN A T||WILSON S K||,T,8:00 am - 10:50am,BSIF 2112
MCDB 1BL,BUEHNER T DFINKELSTEIN R||LOW S H||NGUYEN A T||GONZALEZ NINO||WILTON M B||NGUYEN A T||PICCIANI DE S||NGUYEN A T||WILSON S K||NGUYEN A T||PICCIANI DE S||,T,1:00pm - 3:50pm,BSIF 2211
MCDB 1BL,BUEHNER T DFINKELSTEIN R||LOW S H||NGUYEN A T||GONZALEZ NINO||WILTON M B||NGUYEN A T||PICCIANI DE S||NGUYEN A T||WILSON S K||NGUYEN A T||PICCIANI DE S||NGUYEN A T||MANISCALCO M||,T,1:00pm - 3:50pm,BSIF 2112
MCDB 1BL,BUEHNER T DFINKELSTEIN R||LOW S H||NGUYEN A T||GONZALEZ NINO||WILTON M B||NGUYEN A T||PICCIANI DE S||NGUYEN A T||WILSON S K||NGUYEN A T||PICCIANI DE S||NGUYEN A T||MANISCALCO M||NGUYEN A T||MIRSAFAVI R Y||,T,7:00pm - 9:50pm,BSIF 2211
MCDB 1BL,BUEHNER T DFINKELSTEIN R||LOW S H||NGUYEN A T||GONZALEZ NINO||WILTON M B||NGUYEN A T||PICCIANI DE S||NGUYEN A T||WILSON S K||NGUYEN A T||PICCIANI DE S||NGUYEN A T||MANISCALCO M||NGUYEN A T||MIRSAFAVI R Y||NGUYEN A T||CEDENO T H||,T,7:00pm - 9:50pm,BSIF 2112
MCDB 1BL,BUEHNER T DFINKELSTEIN R||LOW S H||NGUYEN A T||GONZALEZ NINO||WILTON M B||NGUYEN A T||PICCIANI DE S||NGUYEN A T||WILSON S K||NGUYEN A T||PICCIANI DE S||NGUYEN A T||MANISCALCO M||NGUYEN A T||MIRSAFAVI R Y||NGUYEN A T||CEDENO T H||NGUYEN A T||LAPERRIERE S||,W,9:00 am - 11:50am,BSIF 2211
MCDB 1BL,BUEHNER T DFINKELSTEIN R||LOW S H||NGUYEN A T||GONZALEZ NINO||WILTON M B||NGUYEN A T||PICCIANI DE S||NGUYEN A T||WILSON S K||NGUYEN A T||PICCIANI DE S||NGUYEN A T||MANISCALCO M||NGUYEN A T||MIRSAFAVI R Y||NGUYEN A T||CEDENO T H||NGUYEN A T||LAPERRIERE S||NGUYEN A T||KLOPE M M||,W,9:00 am - 11:50am,BSIF 2112
MCDB 1BL,BUEHNER T DFINKELSTEIN R||LOW S H||NGUYEN A T||GONZALEZ NINO||WILTON M B||NGUYEN A T||PICCIANI DE S||NGUYEN A T||WILSON S K||NGUYEN A T||PICCIANI DE S||NGUYEN A T||MANISCALCO M||NGUYEN A T||MIRSAFAVI R Y||NGUYEN A T||CEDENO T H||NGUYEN A T||LAPERRIERE S||NGUYEN A T||KLOPE M M||NGUYEN A T||LAPERRIERE S||,W,1:00pm - 3:50pm,BSIF 2211
