courseID,enrollCode,days,time,loction
MUS 1,T B AMARCUS S L||MCBRIEN K M||,,,T B A
MUS 3B,HELLIER-TINOC,M W,1:30pm - 2:50pm,MUSIC1145
MUS 3B,37911,R,9:00 am - 9:50 am,MUSIC2230
MUS 3B,37929,R,10:00am - 10:50am,MUSIC2230
MUS 4B,HELLIER-TINOCLEVY B R||HOCK M A||,M W F,8:00 am - 8:50 am,MUSIC2230
MUS 4B,HELLIER-TINOCLEVY B R||HOCK M A||LEVY B R||MURNANE E H||,M W F,8:00 am - 8:50 am,MUSIC1207
MUS 4B,HELLIER-TINOCLEVY B R||HOCK M A||LEVY B R||MURNANE E H||LEVY B R||THOMPSON B L||,M W F,8:00 am - 8:50 am,MUSIC2224
MUS 4E,HELLIER-TINOCLEVY B R||HOCK M A||LEVY B R||MURNANE E H||LEVY B R||THOMPSON B L||LEVY B R||HOCK M A||,M W F,10:00am - 10:50am,MUSIC2230
MUS 4E,HELLIER-TINOCLEVY B R||HOCK M A||LEVY B R||MURNANE E H||LEVY B R||THOMPSON B L||LEVY B R||HOCK M A||LEVY B R||MURNANE E H||,M W F,10:00am - 10:50am,MUSIC1207
MUS 4E,HELLIER-TINOCLEVY B R||HOCK M A||LEVY B R||MURNANE E H||LEVY B R||THOMPSON B L||LEVY B R||HOCK M A||LEVY B R||MURNANE E H||LEVY B R||THOMPSON B L||,M W F,10:00am - 10:50am,MUSIC2224
MUS 5B,JURKOWSKI N W,M W F,9:00 am - 9:50 am,MUSIC1145
MUS 5B,38000,T,9:00 am - 9:50 am,MUSIC2224
MUS 5B,38018,T,10:00am - 10:50am,MUSIC2224
MUS 8,EVANS M P,W,11:00am - 12:50pm,MUSIC1207
MUS 10B,SPRIGGE M A,T R,11:00am - 12:20pm,MUSIC1145
MUS 10B,38059,T,2:00pm - 2:50pm,MUSIC1207
MUS 10B,38067,T,3:00pm - 3:50pm,MUSIC1207
MUS 11,ZIGTERMAN K L,M W F,11:00am - 11:50am,MUSIC1145
MUS 11,38083,T,9:00 am - 9:50 am,MUSIC1232
MUS 11,38091,T,10:00am - 10:50am,MUSIC1232
MUS 11,38109,R,9:00 am - 9:50 am,MUSIC2224
MUS 11,38117,R,10:00am - 10:50am,MUSIC2224
MUS 11,38125,R,11:00am - 11:50am,MUSIC1213
MUS 11,38133,T,11:00am - 11:50am,MUSIC1232
MUS 11,38141,T,12:00pm - 12:50pm,MUSIC1232
MUS 11,38158,R,12:00pm - 12:50pm,MUSIC1213
MUS 11,38166,T,1:00pm - 1:50pm,MUSIC1213
MUS 11,38174,T,2:00pm - 2:50pm,MUSIC1213
MUS 15,O'CONNELL B A,T R,11:00am - 12:15pm,MUSICLLCH
MUS 15,38190,M,12:00pm - 12:50pm,MUSIC1213
MUS 15,38208,M,9:00 am - 9:50 am,MUSIC1213
MUS 15,38216,W,11:00am - 11:50am,MUSIC2224
MUS 15,38224,F,9:00 am - 9:50 am,MUSIC1207
MUS 15,38232,W,9:00 am - 9:50 am,MUSIC1213
MUS 15,38240,M,11:00am - 11:50am,MUSIC1213
MUS 15,38257,T,10:00am - 10:50am,MUSIC2230
MUS 15,38265,R,9:00 am - 9:50 am,MUSIC1207
MUS 15,38273,R,10:00am - 10:50am,MUSIC1207
MUS 15,38281,F,11:00am - 11:50am,MUSIC1207
MUS 15,38299,W,12:00pm - 12:50pm,MUSIC2224
MUS 15,38307,F,12:00pm - 12:50pm,MUSIC1207
MUS 15,38315,M,9:00 am - 9:50 am,MUSIC2224
MUS 15,38323,W,9:00 am - 9:50 am,MUSIC2224
MUS 15,38331,T,9:00 am - 9:50 am,MUSIC2230
MUS CS 15,HOGAN L A,W,4:00pm - 5:50pm,CRST OLT
MUS 16,NATHAN J S,T R,11:00am - 12:15pm,PSYCH1902
MUS 17,JACK M Z,M W F,10:00am - 10:50am,MUSIC1145
MUS 17,38356,M,9:00 am - 9:50 am,MUSIC1207
MUS 17,38364,M,11:00am - 11:50am,MUSIC1207
MUS 17,38372,T,9:00 am - 9:50 am,MUSIC1207
MUS 17,38380,T,10:00am - 10:50am,MUSIC1207
MUS 17,38398,T,11:00am - 11:50am,MUSIC1207
MUS 17,38406,T,12:00pm - 12:50pm,MUSIC1207
MUS 20A,JACK M ZBRECHER B H||MAYES B J||,M W,3:30pm - 4:45pm,MUSIC2224
MUS 20B,JACK M ZBRECHER B H||MAYES B J||BRECHER B H||NEWBERRY K S||,T R,9:30 am - 10:45am,MUSIC1213
MUS 20C,JACK M ZBRECHER B H||MAYES B J||BRECHER B H||NEWBERRY K S||BRECHER B H||MERER N H||,M W,3:30pm - 4:45pm,MUSIC1207
MUS 22D,OSQUEEZADEH B,T,5:00pm - 6:15pm,MUSIC1213
MUS 22M,MARCUS S L,,,T B A
MUS 22N,MARCUS S L,,,T B A
MUS 22O,GRIPPO J R,,,T B A
MUS 22P,RUDNICKI S,M,7:00pm - 8:50pm,MUSIC2230
MUS 24,ARAI W A,,,T B A
MUS 25,BAYRAKDARIAN,,,T B A
MUS 25,BRECHER B H,W,2:30pm - 4:00pm,MUSIC2236
MUS 25,DI FIORE L L,,,T B A
MUS 26A,GARBER N A,,,T B A
MUS 26B,GARBER N AKLOETZEL J M||ORME-STONE C||,,,T B A
MUS 26D,MOERSCHEL J A,,,T B A
MUS 26E,TORGUL E,,,T B A
MUS 26E,T B A,,,T B A
MUS 27A,RADFORD A,,,T B A
MUS 27B,BAMBACH P A,,,T B A
MUS 27C,FELBER J,,,T B A
MUS 27D,CASTRIOTTA G,,,T B A
MUS 28A,GROSS S L,,,T B A
MUS 28B,BOOTH W C,T,11:00am - 12:50pm,MUSIC2321
MUS 28C,HUNGERFORD G,,,T B A
MUS 29,NATHAN J S,,,T B A
MUS 31B,NATHAN J SKISLENKO N||YU P||,M W F,10:00am - 10:50am,MUSIC1232
MUS 31B,NATHAN J SKISLENKO N||YU P||KISLENKO N||YU P||,M W F,11:00am - 11:50am,MUSIC1232
MUS 31B,NATHAN J SKISLENKO N||YU P||KISLENKO N||YU P||KISLENKO N||PERSOLJA P||,M W F,12:00pm - 12:50pm,MUSIC1232
MUS 31X,NATHAN J SKISLENKO N||YU P||KISLENKO N||YU P||KISLENKO N||PERSOLJA P||KISLENKO N||YU P||,,,T B A
MUS 31X,NATHAN J SKISLENKO N||YU P||KISLENKO N||YU P||KISLENKO N||PERSOLJA P||KISLENKO N||YU P||KISLENKO N||PERSOLJA P||,,,T B A
MUS 32B,KISLENKO N,,,T B A
MUS 32E,T B A,,,T B A
MUS 33,BERKOWITZ P M,F,4:00pm - 7:00pm,MUSIC0309
MUS 33,ASCHE C B,,,T B A
MUS 33,KISLENKO N,,,T B A
MUS 35B,KOENIG R J,M,2:00pm - 3:30pm,
MUS 51,KISLENKO N,,,T B A
MUS 51,BALLERINO J M,,,T B A
MUS 52,BALLERINO J MKOENIG R J||EBEN J P||,,,T B A
MUS 52,BALLERINO J MKOENIG R J||EBEN J P||KOENIG R J||CHEN CHING||,,,T B A
MUS 52,BALLERINO J MKOENIG R J||EBEN J P||KOENIG R J||CHEN CHING||KOENIG R J||SEVERINI A F||,,,T B A
MUS 88,EVANS M P,T,12:00pm - 1:50pm,MUSIC1213
MUS 94,T B A,,,T B A
MUS 97,T B A,,,T B A
MUS 97B,T B A,,,T B A
MUS 98,T B A,,,T B A
MUS 99,T B A,,,T B A
MUS CS 101,HOGAN L A,,,T B A
MUS CS 101,HALADYNA J J,,,T B A
MUS 101B,HALADYNA J J,T R,2:00pm - 3:15pm,MUSIC2230
MUS CS 102,ROLLE B J,M,12:00pm - 2:50pm,CRST 154
MUS CS 105,BARLOW C F,T,3:00pm - 4:50pm,MUSIC1145
MUS CS 105,HOGAN L A,T R,12:30pm - 1:45pm,CRST 154
MUS CS 105,HALADYNA J J,W,12:00pm - 2:50pm,KERR 2110
MUS 108,HALADYNA J J,,,T B A
MUS 108,ROADS C,,,T B A
MUS 108,THOLL A A,,,T B A
MUS 109LB,THOLL A AROADS C||DUPLESSIS R J||,M,3:00pm - 5:00pm,MUSIC2215
MUS 114,CONTE E A,T R,12:30pm - 1:45pm,MUSIC1145
MUS 114,38901,M,12:00pm - 12:50pm,MUSIC1207
MUS 114,38919,W,12:00pm - 12:50pm,MUSIC1213
MUS 114,38927,W,1:00pm - 1:50pm,MUSIC1213
MUS 114,38935,T,8:00 am - 8:50 am,MUSIC1207
MUS 114,38943,M,1:00pm - 1:50pm,MUSIC1207
MUS 114,38950,M,2:00pm - 2:50pm,MUSIC1207
MUS 119A,SPRIGGE M A,T R,2:00pm - 3:15pm,ARTS 1353
MUS 122D,OSQUEEZADEH B,T,5:00pm - 6:15pm,MUSIC1213
MUS 122M,MARCUS S L,,,T B A
MUS 122O,GRIPPO J R,,,T B A
MUS 122P,RUDNICKI S,M,7:00pm - 8:50pm,MUSIC2230
MUS 124,ARAI W A,,,T B A
MUS 125,BRECHER B H,W,2:30pm - 4:00pm,MUSIC2236
MUS 125,BAYRAKDARIAN,,,T B A
MUS 125,DI FIORE L L,,,T B A
MUS 126A,GARBER N A,,,T B A
