courseID,enrollCode,days,time,loction
RG ST 1,HILLIS G A,M W,11:00am - 12:15pm,PSYCH1924
RG ST 1,47316,T,8:00 am - 8:50 am,HSSB 4202
RG ST 1,47324,M,8:00 am - 8:50 am,HSSB 3001E
RG ST 1,47332,W,8:00 am - 8:50 am,BUCHN1934
RG ST 1,47340,M,9:00 am - 9:50 am,HSSB 3001E
RG ST 1,47357,M,10:00am - 10:50am,HSSB 3001E
RG ST 1,47365,R,12:00pm - 12:50pm,HSSB 3041
RG ST 1,47373,R,1:00pm - 1:50pm,HSSB 3041
RG ST 1,47381,R,2:00pm - 2:50pm,HSSB 3001E
RG ST 4,HILLIS G A,T R,11:00am - 12:15pm,LSB 1001
RG ST 4,62851,W,8:00 am - 8:50 am,HSSB 2252
RG ST 4,62869,W,9:00 am - 9:50 am,HSSB 2252
RG ST 4,62877,W,10:00am - 10:50am,HSSB 2252
RG ST 4,62885,R,1:00pm - 1:50pm,HSSB 2252
RG ST 4,62893,R,2:00pm - 2:50pm,HSSB 2252
RG ST 4,62901,F,8:00 am - 8:50 am,HSSB 1233
RG ST 4,62919,F,9:00 am - 9:50 am,HSSB 3041
RG ST 4,62927,F,10:00am - 10:50am,HSSB 3041
RG ST 5,AMIHAY A,M W,12:30pm - 1:45pm,PHELP2516
RG ST 5,59899,W,9:00 am - 9:50 am,HSSB 3001E
RG ST 5,59907,W,10:00am - 10:50am,HSSB 3001E
RG ST 5,59915,R,2:00pm - 2:50pm,HSSB 4202
RG ST 5,59923,R,3:00pm - 3:50pm,HSSB 3001E
RG ST 7,WALKER D S,M W F,9:00 am - 9:50 am,BUCHN1920
RG ST 7,47530,T,8:00 am - 8:50 am,HSSB 3041
RG ST 7,47548,T,9:00 am - 9:50 am,HSSB 2252
RG ST 7,47555,T,10:00am - 10:50am,HSSB 4041
RG ST 7,47563,R,10:00am - 10:50am,HSSB 2202
RG ST 7,47571,F,11:00am - 11:50am,HSSB 3001E
RG ST 7,47589,R,12:00pm - 12:50pm,GIRV 2135
RG ST 7,47597,R,1:00pm - 1:50pm,HSSB 3201
RG ST 7,47605,F,10:00am - 10:50am,GIRV 1106
RG ST 10B,CAMPO M,MTWR,11:00am - 11:50am,HSSB 3041
RG ST 10B,47621,M,8:00 am - 8:50 am,HSSB 3041
RG ST 10B,47639,W,8:00 am - 8:50 am,HSSB 3041
RG ST 10B,CAMPO M,MTWR,1:00pm - 1:50pm,HSSB 3001E
RG ST 10B,47654,F,9:00 am - 9:50 am,HSSB 3001E
RG ST 10B,47662,F,10:00am - 10:50am,HSSB 3001E
RG ST 10E,CAMPO M,MTWR,9:00 am - 9:50 am,HSSB 3041
RG ST 10E,47688,R,10:00am - 10:50am,HSSB 4041
RG ST 10E,47696,R,11:00am - 11:50am,HSSB 4041
RG ST 11B,FOWLER D S,T R,9:30 am - 10:45am,HSSB 3001E
RG ST 12,WHITE D G,M W,12:30pm - 1:45pm,IV THEA1
RG ST 12,59006,M,8:00 am - 8:50 am,HSSB 2202
RG ST 12,59014,M,9:00 am - 9:50 am,GIRV 1106
RG ST 12,59022,M,10:00am - 10:50am,ELLSN2816
RG ST 12,59030,M,4:00pm - 4:50pm,GIRV 1106
RG ST 12,59048,T,8:00 am - 8:50 am,HSSB 3202
RG ST 12,59055,M,5:00pm - 5:50pm,GIRV 1106
RG ST 12,59063,M,6:00pm - 6:50pm,GIRV 2135
RG ST 12,59071,M,7:00pm - 7:50pm,GIRV 2135
RG ST 12,59089,T,3:00pm - 3:50pm,HSSB 2202
RG ST 12,59097,T,4:00pm - 4:50pm,HSSB 4202
RG ST 12,59105,W,8:00 am - 8:50 am,HSSB 4201
RG ST 12,59113,M,8:00pm - 8:50pm,GIRV 2135
RG ST 12,59121,W,10:00am - 10:50am,GIRV 2110
RG ST 12,59139,T,5:00pm - 5:50pm,GIRV 2110
RG ST 12,59147,T,6:00pm - 6:50pm,GIRV 2110
RG ST 12,59154,W,6:00pm - 6:50pm,GIRV 1106
RG ST 12,59162,W,7:00pm - 7:50pm,GIRV 1106
RG ST 12,59170,R,8:00 am - 8:50 am,GIRV 1106
RG ST 12,59188,T,7:00pm - 7:50pm,GIRV 2110
RG ST 12,59196,T,8:00pm - 8:50pm,GIRV 2110
RG ST 12,59204,W,2:00pm - 2:50pm,HSSB 3001E
RG ST 12,59212,W,8:00pm - 8:50pm,GIRV 1106
RG ST 12,59220,F,1:00pm - 1:50pm,GIRV 1106
RG ST 12,59238,F,2:00pm - 2:50pm,GIRV 1106
RG ST 12,59246,F,3:00pm - 3:50pm,GIRV 1106
RG ST 12,59253,R,4:00pm - 4:50pm,HSSB 2251
RG ST 12,59261,R,5:00pm - 5:50pm,GIRV 1106
RG ST 12,59279,F,8:00 am - 8:50 am,GIRV 1106
RG ST 12,59287,F,9:00 am - 9:50 am,GIRV 1106
RG ST 12,59295,F,10:00am - 10:50am,HSSB 1215
RG ST 12,59303,F,11:00am - 11:50am,GIRV 1106
RG ST 12,59311,F,12:00pm - 12:50pm,LSB 1101
RG ST 18,TAVES A,T R,12:30pm - 1:45pm,PHELP2516
RG ST 18,47746,W,3:00pm - 3:50pm,HSSB 3001E
RG ST 18,47753,W,6:00pm - 6:50pm,GIRV 1108
RG ST 18,47761,W,4:00pm - 4:50pm,HSSB 3001E
RG ST 18,47779,W,7:00pm - 7:50pm,GIRV 1108
RG ST 24,THOMAS C M,M W,9:30 am - 10:45am,BUCHN1940
RG ST 24,47795,M,11:00am - 11:50am,HSSB 1228
RG ST 24,47803,T,8:00 am - 8:50 am,GIRV 2110
RG ST 24,47811,W,12:00pm - 12:50pm,HSSB 3001E
RG ST 24,47829,R,6:00pm - 6:50pm,GIRV 2110
RG ST 24,58941,R,1:00pm - 1:50pm,HSSB 1224
RG ST 24,58958,R,2:00pm - 2:50pm,LSB 1101
RG ST 24,58966,R,7:00pm - 7:50pm,GIRV 2110
RG ST 24,58974,W,11:00am - 11:50am,HSSB 3001E
RG ST 57B,RIAZI T,MTWR,9:00 am - 9:50 am,HSSB 4201
RG ST 57E,KEYNEJAD N P,MTWR,11:00am - 11:50am,HSSB 3024
RG ST 58B,FEIZMOHAMMADP,MTWR,9:00 am - 9:50 am,HSSB 2201
RG ST 65B,RAMBELLI F,MTWR,10:00am - 10:50am,HSSB 2201
RG ST 65E,RAMBELLI F,MTWR,11:00am - 11:50am,HSSB 2201
RG ST 70B,RAMBELLI F,MTWR,9:00 am - 9:50 am,GIRV 2120
RG ST 70E,RAMBELLI F,MTWR,12:00pm - 12:50pm,HSSB 2201
RG ST 80B,WISEMAN W A,M W,5:00pm - 6:15pm,NH 1006
RG ST 80B,59337,T,3:00pm - 3:50pm,GIRV 2135
RG ST 80B,59345,T,4:00pm - 4:50pm,HSSB 2202
RG ST 80B,59352,W,9:00 am - 9:50 am,GIRV 1106
RG ST 80B,59360,W,10:00am - 10:50am,GIRV 1106
RG ST 80B,59378,W,11:00am - 11:50am,HSSB 1228
RG ST 80B,59386,R,2:00pm - 2:50pm,GIRV 2110
RG ST 80B,59394,R,5:00pm - 5:50pm,GIRV 2110
RG ST 80B,59402,R,4:00pm - 4:50pm,ELLSN2816
RG ST 98,AFARY J,,,T B A
RG ST 99,T B A,,,T B A
RG ST 104,WALKER D S,T R,2:00pm - 3:15pm,HSSB 3041
RG ST 113,HECHT R,M W,5:00pm - 6:15pm,BUCHN1940
RG ST 113,62760,M,7:00pm - 9:50pm,BUCHN1940
RG ST 114E,TALAMANTEZ I,T R,8:00 am - 9:15 am,HSSB 3201
RG ST 114X,SNYDER J R,T R,5:00pm - 6:15pm,TD-W 1701
RG ST 115G,GARR W R,M W,9:30 am - 10:45am,SH 1430
RG ST 116B,THOMAS C M,M W,11:00am - 12:15pm,PHELP1444
RG ST 119A,AHMAD A A,T R,9:30 am - 10:45am,PHELP2532
