courseID,enrollCode,days,time,loction
SLAV 2,MCCLAIN K L,M WRF,10:00am - 10:50am,PHELP3523
SLAV 2,MCCLAIN K L,M WRF,2:00pm - 2:50pm,HSSB 2251
SLAV 5,MCLELLAN L,M W F,11:00am - 11:50am,HSSB 1215
SLAV 5,,F,10:00am - 10:50am,GIRV 2124
SLAV 101E,MCLELLAN L,M W F,1:00pm - 1:50pm,HSSB 2201
SLAV 101E,,F,12:00pm - 12:50pm,HSSB 1210
SLAV 117G,MOVSESIAN H,T R,9:30 am - 10:45am,PHELP1425
SLAV 130A,SPIEKER S,T,5:00pm - 7:50pm,ARTS 1341
SLAV 145,MCCLAIN K L,M W,3:30pm - 4:45pm,HSSB 2201
SLAV 192,T B A,,,T B A
SLAV 197,T B A,,,T B A
SLAV 198,T B A,,,T B A
SLAV 199,T B A,,,T B A
