courseID,enrollCode,days,time,loction
SOC 1,WINANT H,T R,9:30 am - 10:45am,IV THEA1
SOC 1,48678,F,9:00 am - 9:50 am,PHELP1448
SOC 1,48686,M,3:00pm - 3:50pm,PHELP2514
SOC 1,48694,F,11:00am - 11:50am,GIRV 2127
SOC 1,48702,M,8:00 am - 8:50 am,HSSB 1228
SOC 1,48710,T,7:00pm - 7:50pm,PHELP1445
SOC 1,48728,W,4:00pm - 4:50pm,PHELP3519
SOC 1,48736,F,12:00pm - 12:50pm,PHELP2514
SOC 1,48744,M,8:00 am - 8:50 am,HSSB 1227
SOC 1,48751,R,5:00pm - 5:50pm,NH 1109
SOC 1,48769,M,8:00 am - 8:50 am,HSSB 4202
SOC 1,48777,M,3:00pm - 3:50pm,HSSB 1232
SOC 1,48785,T,7:00pm - 7:50pm,PHELP2532
SOC 1,48793,M,7:00pm - 7:50pm,HSSB 4201
SOC 1,48801,F,8:00 am - 8:50 am,HSSB 1214
SOC 1,48819,W,7:00pm - 7:50pm,HSSB 2251
SOC 1,48827,R,7:00pm - 7:50pm,SH 1609
SOC 1,48835,W,8:00pm - 8:50pm,HSSB 3201
SOC 1,48843,M,9:00 am - 9:50 am,GIRV 2116
SOC 1,48850,M,8:00 am - 8:50 am,HSSB 4201
SOC 1,48868,M,8:00 am - 8:50 am,HSSB 3202
SOC 1,48876,W,8:00 am - 8:50 am,LSB 1101
SOC 1,48884,M,12:00pm - 12:50pm,GIRV 2115
SOC 1H,WINANT H,W,12:00pm - 12:50pm,GIRV 2135
SOC 91,LUNA Z T,F,1:00pm - 1:50pm,SSMS 3017
SOC 91,GORDON A F,,,T B A
SOC 99,T B A,,,T B A
SOC 108,CHARLES M,M W,8:00 am - 9:15 am,SSMS 1303&
SOC 108,48934,F,9:00 am - 9:50 am,SSMS 1005
SOC 108,48942,F,9:00 am - 9:50 am,SSMS 1007
SOC 108,48959,F,10:00am - 10:50am,SSMS 1005
SOC 108,48967,F,10:00am - 10:50am,SSMS 1007
SOC 108A,MANSKI B R,T R,8:00 am - 9:15 am,TD-W 2600
SOC 108A,52548,F,8:00 am - 8:50 am,HSSB 3202
SOC 108A,52555,F,9:00 am - 9:50 am,HSSB 1206
SOC 108A,52563,F,10:00am - 10:50am,HSSB 1227
SOC 108A,52571,F,10:00am - 10:50am,HSSB 1224
SOC 108C,TOBER T L,M W,8:00 am - 9:15 am,ED 1213
SOC 108C,48983,F,8:00 am - 8:50 am,GIRV 2110
