courseID,enrollCode,days,time,loction
W&L CS 5,T B A,F,3:00pm - 4:50pm,CRST OLT
W&L CS 10,T B A,M W,9:00 am - 10:50am,CRST 136
W&L CS 30,T B A,T R,9:30 am - 10:45am,CRST 143
W&L CS 130,T B A,M W,1:00pm - 3:50pm,CRST 160B
W&L CS 141,T B A,F,12:00pm - 2:20pm,CRST 143
W&L CS 152CA,T B A,T R,12:00pm - 1:15pm,CRST 136
W&L CS 160FF,T B A,M W,9:30 am - 10:45am,CRST 143
W&L CS 170,T B A,M W,11:00am - 12:15pm,CRST 160B
W&L CS 190,T B A,,,T B A
W&L CS 190,T B A,,,T B A
W&L CS 190,T B A,,,T B A
W&L CS 190,T B A,,,T B A
