,subjectName,courseID,lecOrSection,proName,enrollCode,days,time,location
1,Anthropology,ANTH 2,1,WALSH C,T B A,M W F,11:00am - 11:50am,IV THEA1
2,Anthropology,ANTH 2,0,WALSH C,26,F,2:00pm - 2:50pm,LSB 1101
3,Anthropology,ANTH 2,0,WALSH C,34,W,8:00 am - 8:50 am,HSSB 1223
4,Anthropology,ANTH 2,0,WALSH C,42,W,5:00pm - 5:50pm,GIRV 2127
5,Anthropology,ANTH 2,0,WALSH C,59,F,12:00pm - 12:50pm,HSSB 1224
6,Anthropology,ANTH 2,0,WALSH C,67,M,1:00pm - 1:50pm,GIRV 1116
7,Anthropology,ANTH 2,0,WALSH C,75,W,6:00pm - 6:50pm,HSSB 1233
8,Anthropology,ANTH 2,0,WALSH C,83,R,2:00pm - 2:50pm,BUCHN1934
9,Anthropology,ANTH 2,0,WALSH C,91,T,3:00pm - 3:50pm,PHELP2536
10,Anthropology,ANTH 2,0,WALSH C,109,M,2:00pm - 2:50pm,HSSB 1206
11,Anthropology,ANTH 2,0,WALSH C,117,F,9:00 am - 9:50 am,GIRV 1116
12,Anthropology,ANTH 3,1,SMITH S T,T B A,M W F,10:00am - 10:50am,MUSICLLCH
13,Anthropology,ANTH 3,0,SMITH S T,133,T,8:00 am - 8:50 am,HSSB 1232
14,Anthropology,ANTH 3,0,SMITH S T,141,W,4:00pm - 4:50pm,GIRV 2119
15,Anthropology,ANTH 3,0,SMITH S T,158,R,9:00 am - 9:50 am,GIRV 2123
16,Anthropology,ANTH 3,0,SMITH S T,166,T,1:00pm - 1:50pm,SH 1430
17,Anthropology,ANTH 3,0,SMITH S T,174,W,11:00am - 11:50am,GIRV 2116
18,Anthropology,ANTH 3,0,SMITH S T,182,F,1:00pm - 1:50pm,BUCHN1934
19,Anthropology,ANTH 3,0,SMITH S T,190,W,5:00pm - 5:50pm,HSSB 1236
20,Anthropology,ANTH 3,0,SMITH S T,208,T,3:00pm - 3:50pm,PHELP1508
21,Anthropology,ANTH 3,0,SMITH S T,216,M,11:00am - 11:50am,HSSB 1227
22,Anthropology,ANTH 3,0,SMITH S T,224,F,9:00 am - 9:50 am,387 1015
23,Anthropology,ANTH 3,0,SMITH S T,232,M,1:00pm - 1:50pm,PHELP1445
24,Anthropology,ANTH 5,1,GAULIN S J,T B A,M W,5:00pm - 6:15pm,BRDA 1610
25,Anthropology,ANTH 5,0,GAULIN S J,257,F,11:00am - 11:50am,HSSB 2251
26,Anthropology,ANTH 5,0,GAULIN S J,265,T,3:00pm - 3:50pm,NH 1109
27,Anthropology,ANTH 5,0,GAULIN S J,273,F,12:00pm - 12:50pm,BUCHN1934
28,Anthropology,ANTH 5,0,GAULIN S J,281,R,9:00 am - 9:50 am,GIRV 2120
29,Anthropology,ANTH 5,0,GAULIN S J,299,R,3:00pm - 3:50pm,SH 1609
30,Anthropology,ANTH 5,0,GAULIN S J,307,R,6:00pm - 6:50pm,HSSB 1227
31,Anthropology,ANTH 5,0,GAULIN S J,315,M,9:00 am - 9:50 am,GIRV 2129
32,Anthropology,ANTH 5,0,GAULIN S J,323,T,5:00pm - 5:50pm,HSSB 1228
33,Anthropology,ANTH 5,0,GAULIN S J,331,R,4:00pm - 4:50pm,HSSB 2251
34,Anthropology,ANTH 5,0,GAULIN S J,349,F,9:00 am - 9:50 am,PHELP2532
35,Anthropology,ANTH 9,1,T B A,T B A,T R,12:30pm - 1:45pm,SSMS 1304
36,Anthropology,ANTH 99,1,T B A,T B A,T B A,T B A,T B A
37,Anthropology,ANTH 105,1,MCALLISTER L,T B A,M W F,9:00 am - 9:50 am,CHEM 1171
38,Anthropology,ANTH 138,1,HARTHORN B H,T B A,T R,11:00am - 12:15pm,HSSB 2001A
39,Anthropology,ANTH 178,1,KENNETT D J,T B A,T B A,T B A,T B A
40,Anthropology,ANTH 180B,1,MCCOOL W C,T B A,T R,3:30pm - 4:45pm,HSSB 1021
41,Anthropology,ANTH 182M,1,WILSON G D,T B A,T R,12:30pm - 1:45pm,HSSB 1021
42,Anthropology,ANTH 183,1,KENNETT D J,T B A,T B A,T B A,T B A
43,Anthropology,ANTH 190,1,T B A,T B A,T B A,T B A,T B A
44,Anthropology,ANTH 194,1,T B A,T B A,T B A,T B A,T B A
45,Anthropology,ANTH 194P,1,T B A,T B A,T B A,T B A,T B A
46,Anthropology,ANTH 195A,1,T B A,T B A,T,1:00pm - 3:50pm,T B A
47,Anthropology,ANTH 195B,1,T B A,T B A,T B A,T B A,T B A
48,Anthropology,ANTH 195C,1,T B A,T B A,T B A,T B A,T B A
49,Anthropology,ANTH 197DJ,1,MCCLURE S B,T B A,M W,11:00am - 12:15pm,PHELP1425
50,Anthropology,ANTH 197EB,1,T B A,T B A,T R,8:00 am - 9:15 am,GIRV 2129
51,Anthropology,ANTH 197MB,1,BROWN M,T B A,MT,3:00pm - 4:50pm,BIOEN1209
52,Anthropology,ANTH 197SM,1,MCCLURE S B,T B A,M W,9:30 am - 10:45am,PHELP1425
53,Anthropology,ANTH 198,1,T B A,T B A,T B A,T B A,T B A
54,Anthropology,ANTH 199,1,T B A,T B A,T B A,T B A,T B A
55,Anthropology,ANTH 199RA,1,T B A,T B A,T B A,T B A,T B A
56,Art,ART 1A,1,TASCHIAN H J,T B A,T R,12:30pm - 1:45pm,BUCHN1930
57,Art,ART 1A,0,TASCHIAN H J,810,W,1:00pm - 1:50pm,ARTS 1344
58,Art,ART 1A,0,TASCHIAN H J,828,R,10:00am - 10:50am,ARTS 1344
59,Art,ART 1A,0,TASCHIAN H J,836,W,12:00pm - 12:50pm,ARTS 1344
60,Art,ART 1A,0,TASCHIAN H J,844,R,11:00am - 11:50am,ARTS 1344
61,Art,ART 1C,1,SORKIN JENNI,T B A,R,5:00pm - 6:50pm,EMBARHALL
62,Art,ART 7A,1,FULBECK L K,T B A,M,5:00pm - 6:50pm,TD-W 1701
63,Art,ART 7A,0,FULBECK L K,877,T R,12:00pm - 1:50pm,ARTS 1345
64,Art,ART 7A,0,FULBECK L K,885,W F,11:00am - 12:50pm,ARTS 1345
65,Art,ART 7A,0,FULBECK L K,893,T R,9:00 am - 10:50am,ARTS 1345
66,Art,ART 7A,0,FULBECK L K,901,W F,1:00pm - 2:50pm,ARTS 1345
67,Art,ART 7A,0,FULBECK L K,919,T R,2:00pm - 3:50pm,ARTS 1345
68,Art,ART 7A,0,FULBECK L K,927,W F,9:00 am - 10:50am,ARTS 1345
69,Art,ART 10,1,ELLIS C M,T B A,M W,5:00pm - 7:50pm,ARTS 2628
70,Art,ART 12,1,BAKER E A,T B A,T R,9:00 am - 11:50am,ARTS 0641
71,Art,ART 14,1,BRICCETTI R E,T B A,M W,9:00 am - 11:50am,ARTS 2235
72,Art,ART 22,1,DE JESUS ESCA,T B A,T R,9:00 am - 11:50am,ARTS 2220
73,Art,ART 100,1,ARGENT P,T B A,T R,1:00pm - 2:50pm,ARTS 2422
74,Art,ART 101,1,CALLISTER J,T B A,W,1:00pm - 3:50pm,ARTS 2432
75,Art,ART CS 101,1,MIRACLE J W,T B A,F,9:00 am - 1:50pm,CRST 120
76,Art,ART CS 101,1,CONNALLY D E,T B A,M,2:00pm - 4:20pm,CRST 136
77,Art,ART 106PP,1,BAKER E A,T B A,F,1:00pm - 3:50pm,ARTS 0641
78,Art,ART 110,1,ELLIS C M,T B A,M W,1:00pm - 3:50pm,ARTS 2235
79,Art,ART CS 112,1,BRUGGEMAN I V,T B A,W,9:00 am - 11:50am,CRST 107
80,Art,ART CS 112,1,CONNALLY D E,T B A,W,5:00pm - 7:20pm,CRST 136
81,Art,ART CS 112,1,PITCHER H,T B A,M,9:00 am - 12:50pm,CRST 120
82,Art,ART 113,1,BECKMAN L B,T B A,T,1:00pm - 4:50pm,ARTS 2220
83,Art,ART 117,1,BELTZ E A,T B A,F,10:00am - 2:20pm,ARTS 2636
84,Art,ART 118,1,BELTZ E A,T B A,M W,9:00 am - 11:50am,ARTS 2636
85,Art,ART 120EF,1,BRICCETTI R E,T B A,T R,9:00 am - 11:50am,ARTS 1237
86,Art,ART 122CC,1,JEVBRATT L V,T B A,M W,1:00pm - 3:50pm,ARTS 2220
87,Art,ART 123,1,BRUGGEMAN I V,T B A,T R,9:00 am - 11:50am,ARTS 0254
88,Art,ART 130,1,GARDNER C,T B A,T R,2:00pm - 3:15pm,ARTS 1344
89,Art,ART 134,1,MOULTON S M,T B A,R,1:00pm - 4:50pm,ARTS 1237
90,Art,ART 137,1,FULBECK L K,T B A,M W,10:00am - 11:50am,ARTS 1237
91,Art,ART 185LJ,1,JEVBRATT L V,T B A,M W,10:00am - 11:50am,ARTS 2220
92,Art,ART 192ES,1,T B A,T B A,T B A,T B A,T B A
93,Art,ART 192IA,1,T B A,T B A,T B A,T B A,T B A
94,Art,ART 196,1,YASUDA K,T B A,W,4:00pm - 6:50pm,ARTS 1344
95,Art,ART 199,1,T B A,T B A,T B A,T B A,T B A
96,Art,ART 199RA,1,T B A,T B A,T B A,T B A,T B A
97,Art(CreativeStudies),ART CS 101,1,T B A,T B A,F,9:00 am - 1:50pm,CRST 120
98,Art(CreativeStudies),ART CS 101,1,T B A,T B A,M,2:00pm - 4:20pm,CRST 136
