,subjectName,courseID,lecOrSection,proName,enrollCode,days,time,location
1,Anthropology,ANTH 2,1,HOELLE J A||SMYTH L M||WADE M L||,,M W,2:00pm - 3:15pm,IV THEA1
2,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,26,W,8:00 am - 8:50 am,HSSB 1237
3,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,34,M,5:00pm - 5:50pm,HSSB 4201
4,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,42,R,8:00 am - 8:50 am,HSSB 1237
5,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,59,F,12:00pm - 12:50pm,HSSB 1232
6,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,67,T,2:00pm - 2:50pm,HSSB 1215
7,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,75,W,8:00 am - 8:50 am,HSSB 1236
8,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,83,W,5:00pm - 5:50pm,NH 1111
9,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,91,F,10:00am - 10:50am,NH 1111
10,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,109,T,4:00pm - 4:50pm,GIRV 2127
11,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,117,F,9:00 am - 9:50 am,HSSB 1227
12,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,125,T,8:00 am - 8:50 am,HSSB 1232
13,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,133,M,4:00pm - 4:50pm,HSSB 4202
14,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,141,F,8:00 am - 8:50 am,HSSB 1207
15,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,158,M,1:00pm - 1:50pm,GIRV 2115
16,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,166,M,9:00 am - 9:50 am,GIRV 2108
17,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,174,T,8:00 am - 8:50 am,HSSB 1231
18,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,182,R,8:00 am - 8:50 am,HSSB 1236
19,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,190,F,11:00am - 11:50am,HSSB 1232
20,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,208,F,9:00 am - 9:50 am,HSSB 1224
21,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,216,T,6:00pm - 6:50pm,HSSB 3202
22,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,224,R,4:00pm - 4:50pm,PHELP3519
23,Anthropology,ANTH 2,0,HOELLE J A||SMYTH L M||WADE M L||,232,R,5:00pm - 5:50pm,HSSB 4202
24,Anthropology,ANTH 7,1,TOOBY J,,T R,5:00pm - 6:15pm,BRDA 1610
25,Anthropology,ANTH 7,0,TOOBY J,257,M,6:00pm - 6:50pm,LSB 1101
26,Anthropology,ANTH 7,0,TOOBY J,265,M,4:00pm - 4:50pm,GIRV 2116
27,Anthropology,ANTH 7,0,TOOBY J,273,M,2:00pm - 2:50pm,GIRV 2112
28,Anthropology,ANTH 7,0,TOOBY J,281,M,3:00pm - 3:50pm,GIRV 2116
29,Anthropology,ANTH 7,0,TOOBY J,299,W,5:00pm - 5:50pm,HSSB 1232
30,Anthropology,ANTH 7,0,TOOBY J,307,W,6:00pm - 6:50pm,LSB 1101
31,Anthropology,ANTH 7,0,TOOBY J,55863,M,4:00pm - 4:50pm,HSSB 1228
32,Anthropology,ANTH 7,0,TOOBY J,55871,F,10:00am - 10:50am,HSSB 1231
33,Anthropology,ANTH 7,0,TOOBY J,55889,F,11:00am - 11:50am,SH 1609
34,Anthropology,ANTH 9,1,LAWSON D W,,M W,3:30pm - 4:45pm,PHELP1525
35,Anthropology,ANTH 25,1,FRUHSTUCK S,,T R,9:30 am - 10:45am,TD-W 2600
36,Anthropology,ANTH 25,0,FRUHSTUCK S,64428,R,12:00pm - 12:50pm,HSSB 3202
37,Anthropology,ANTH 25,0,FRUHSTUCK S,64436,R,1:00pm - 1:50pm,HSSB 1215
38,Anthropology,ANTH 25,0,FRUHSTUCK S,64444,F,10:00am - 10:50am,HSSB 2201
39,Anthropology,ANTH 99,1,T B A,,,,T B A
40,Anthropology,ANTH 100,1,GIDDING A D,,M W,11:00am - 12:15pm,GIRV 2128
41,Anthropology,ANTH 112Z,1,WILSON G D,,T R,9:30 am - 10:45am,PHELP1444
42,Anthropology,ANTH 129,1,SALDIVAR TANA,,W,11:00am - 1:50pm,HSSB 2001A
43,Anthropology,ANTH 129MG,1,KRAFT T S,,T R,12:30pm - 1:45pm,HSSB 5024
44,Anthropology,ANTH 131CA,1,JOHNSON J R,,T R,11:00am - 12:15pm,HSSB 1173
45,Anthropology,ANTH 151T,1,GAULIN S J||AGEY E R||,,T R,2:00pm - 3:15pm,BIOEN1001
46,Anthropology,ANTH 162,1,VANDERWARKER,,M W,9:30 am - 10:45am,HSSB 2001A
47,Anthropology,ANTH 170,1,LAWSON D W,,T R,3:30pm - 4:45pm,HSSB 2001A
48,Anthropology,ANTH 171,1,BODDY A M||ALAMI GOURAFT||,,T R,9:30 am - 10:45am,BUCHN1930
49,Anthropology,ANTH 176B,1,BROOKS J F,,M W,2:00pm - 3:15pm,PHELP1260
50,Anthropology,ANTH 178,1,VANDERWARKER,,,,T B A
51,Anthropology,ANTH 180A,1,ANDERSON A S,,T R,3:30pm - 4:45pm,HSSB 1021
52,Anthropology,ANTH 183,1,KENNETT D J,,,,T B A
53,Anthropology,ANTH 183,1,HOELLE J A,,,,T B A
54,Anthropology,ANTH 190,1,T B A,,,,T B A
55,Anthropology,ANTH 194,1,VANDERWARKER,,,,T B A
56,Anthropology,ANTH 194P,1,T B A,,,,T B A
57,Anthropology,ANTH 195B,1,ALDANA G V,,,,T B A
58,Anthropology,ANTH 195B,1,WILSON G D,,,,T B A
59,Anthropology,ANTH 195B,1,VANDERWARKER,,,,T B A
60,Anthropology,ANTH 195B,1,GAMBLE L H,,,,T B A
61,Anthropology,ANTH 195C,1,BODDY A M,,,,T B A
62,Anthropology,ANTH 195C,1,HARTHORN B H,,,,T B A
63,Anthropology,ANTH 195C,1,FRUHSTUCK S,,,,T B A
64,Anthropology,ANTH 195C,1,GAULIN S J,,,,T B A
65,Anthropology,ANTH 195C,1,SMITH S T,,,,T B A
66,Anthropology,ANTH 195C,1,GURVEN M D,,,,T B A
67,Anthropology,ANTH 198,1,T B A,,,,T B A
68,Anthropology,ANTH 199,1,T B A,,,,T B A
69,Anthropology,ANTH 199RA,1,T B A,,,,T B A
70,Art,ART 1A,1,TASCHIAN H J,,T R,12:30pm - 1:45pm,PSYCH1924
71,Art,ART 1A,0,TASCHIAN H J,828,W,10:00am - 10:50am,ARTS 1344
72,Art,ART 1A,0,TASCHIAN H J,836,T,2:00pm - 2:50pm,ARTS 1344
73,Art,ART 1A,0,TASCHIAN H J,844,W,11:00am - 11:50am,ARTS 1344
74,Art,ART 1A,0,TASCHIAN H J,851,T,3:00pm - 3:50pm,ARTS 1344
